# Tier 1 ETFs Universe - Sector and Broad-Market ETFs May 2026 (DEC-118 / DEC-494). Pass 53 schema standardization + Pass 53 turn rename from tier1_etfs.csv per owner directive 2026-05-05 — migrated to B++ format alongside other universe CSVs.
# SCHEMA: Symbol, Company, Sector (asset-class label), added_date (NULL = always-active reference instrument), removed_date (NULL = currently active), Category (extension column — Broad Market / Sector / Bonds / Commodities / Volatility / International)
# PIT FILTER: (added_date IS NULL OR added_date <= as_of) AND (removed_date IS NULL OR removed_date > as_of). For ETFs all dates NULL = always available.
# NOTE: ETFs are reference instruments (not membership-driven like S&P 500). Schema columns added for cross-tier consistency per Pass 53 owner directive.
Symbol,Company,Sector,added_date,removed_date,Category
SPY,SPDR S&P 500 ETF Trust,Broad Market,,,Broad Market
QQQ,Invesco QQQ Trust,Technology,,,Broad Market
IWM,iShares Russell 2000 ETF,Small Cap,,,Broad Market
DIA,SPDR Dow Jones Industrial Average ETF,Broad Market,,,Broad Market
VTI,Vanguard Total Stock Market ETF,Broad Market,,,Broad Market
XLK,Technology Select Sector SPDR Fund,Information Technology,,,Sector
XLF,Financial Select Sector SPDR Fund,Financials,,,Sector
XLE,Energy Select Sector SPDR Fund,Energy,,,Sector
XLV,Health Care Select Sector SPDR Fund,Health Care,,,Sector
XLI,Industrial Select Sector SPDR Fund,Industrials,,,Sector
XLY,Consumer Discretionary Select Sector SPDR Fund,Consumer Discretionary,,,Sector
XLP,Consumer Staples Select Sector SPDR Fund,Consumer Staples,,,Sector
XLU,Utilities Select Sector SPDR Fund,Utilities,,,Sector
XLB,Materials Select Sector SPDR Fund,Materials,,,Sector
XLRE,Real Estate Select Sector SPDR Fund,Real Estate,,,Sector
VXX,iPath Series B S&P 500 VIX Short-Term Futures ETN,Volatility,,,Volatility
TLT,iShares 20+ Year Treasury Bond ETF,Fixed Income,,,Bonds
HYG,iShares iBoxx High Yield Corporate Bond ETF,Fixed Income,,,Bonds
LQD,iShares iBoxx Investment Grade Corporate Bond ETF,Fixed Income,,,Bonds
IEF,iShares 7-10 Year Treasury Bond ETF,Fixed Income,,,Bonds
SHY,iShares 1-3 Year Treasury Bond ETF,Fixed Income,,,Bonds
GLD,SPDR Gold Shares,Commodities,,,Commodities
SLV,iShares Silver Trust,Commodities,,,Commodities
GDX,VanEck Gold Miners ETF,Commodities,,,Commodities
USO,United States Oil Fund LP,Commodities,,,Commodities
EEM,iShares MSCI Emerging Markets ETF,Emerging Markets,,,International
EFA,iShares MSCI EAFE ETF,International,,,International
