# T3 Tier 3 Universe_Momentum Top-100_Jun 2022 to May 2026.csv — DEC-496 Pass 53 SCREENER-FIRST output
# Built: 2026-05-05 via Polygon /v2/aggs/grouped/locale/us/market/stocks/{date}
# Methodology: J-T 12-1 (lookback 252d, skip 21d, risk-adj OFF, tie-breakers vol-asc → ADV-desc)
# Window: 2020-01-01 to 2026-05-05 (77 monthly snapshots)
# Liquidity floor: $5M min daily dollar volume on D-21
# T1 exclusion: T1a + T1c PIT membership at each snapshot
# SCHEMA: Symbol, Company, Sector, added_date (first month rank ≤100), removed_date (first month rank >100), MomentumScore, MarketCapB (blank — not from grouped endpoint), LastPrice
# PIT FILTER: (added_date IS NULL OR added_date <= as_of) AND (removed_date IS NULL OR removed_date > as_of)
Symbol,Company,Sector,added_date,removed_date,MomentumScore,MarketCapB,LastPrice
AA,,Materials,2022-06-01,2022-08-01,0.801676,,64.5
AAOI,,Information Technology,2023-09-01,2024-01-01,2.268841,,58.12
AAOI,,Information Technology,2024-03-01,2024-04-01,2.268841,,58.12
AAOI,,Information Technology,2024-06-03,2024-08-01,2.268841,,58.12
AAOI,,Information Technology,2025-02-03,2025-03-03,2.268841,,58.12
AAOI,,Information Technology,2025-07-01,2025-10-01,2.268841,,58.12
AAOI,,Information Technology,2026-04-01,2026-05-01,2.268841,,58.12
AAON,,Industrials,2023-05-01,2023-07-03,0.868197,,66.15
ABAT,,Materials,2025-11-03,2026-01-01,4.693461,,5.39
ABSI,,Industrials,2024-05-01,2024-06-03,3.165414,,5.54
ACCD,,Unknown,2023-06-01,2023-07-03,1.482226,,16.06
ACET,,Health Care,2022-08-01,2022-10-03,0.578645,,220.0
ACET,,Health Care,2022-11-01,2022-12-01,0.578645,,220.0
ACHC,,Health Care,2022-11-01,2022-12-01,0.367071,,76.72
ACHR,,Consumer Discretionary,2023-10-02,2023-11-01,1.872024,,9.65
ACHR,,Consumer Discretionary,2024-01-01,2024-03-01,1.872024,,9.65
ACHR,,Consumer Discretionary,2025-05-01,2025-12-01,1.872024,,9.65
ACI,,Consumer Staples,2022-06-01,2022-07-01,0.652266,,31.36
ACIW,,Information Technology,2024-10-01,2024-12-02,1.543291,,50.23
ACLS,,Industrials,2022-07-01,2022-09-01,0.738977,,138.04
ACLS,,Industrials,2023-03-01,2024-01-01,0.738977,,138.04
ACLX,,Health Care,2023-03-01,2023-08-01,1.606614,,82.76
ACLX,,Health Care,2023-09-01,2023-10-02,1.606614,,82.76
ACLX,,Health Care,2023-11-01,2023-12-01,1.606614,,82.76
ACLX,,Health Care,2024-03-01,2024-04-01,1.606614,,82.76
ACLX,,Health Care,2024-11-01,2024-12-02,1.606614,,82.76
ACMR,,Industrials,2023-11-01,2024-02-01,1.442717,,42.43
ACMR,,Industrials,2024-05-01,2024-07-01,1.442717,,42.43
ACMR,,Industrials,2025-12-01,2026-01-01,1.442717,,42.43
ACVA,,Industrials,2023-07-03,2023-10-02,0.954008,,14.87
ACVA,,Industrials,2023-12-01,2024-02-01,0.954008,,14.87
ADMA,,Health Care,2024-07-01,2025-07-01,1.577287,,24.51
ADPT,,Health Care,2025-04-01,2026-02-02,2.135135,,19.72
ADSE,,Industrials,2024-03-01,2024-04-01,1.310345,,6.7
ADTN,,Information Technology,2025-04-01,2025-06-02,1.081264,,9.22
AEHR,,Industrials,2022-09-01,2022-10-03,2.712329,,32.52
AEHR,,Industrials,2023-02-01,2023-12-01,2.712329,,32.52
AEHR,,Industrials,2026-04-01,,2.712329,,32.52
AEIS,,Information Technology,2026-04-01,,2.086918,,310.76
AEO,,Consumer Discretionary,2024-06-03,2024-07-01,1.292705,,24.83
AERI,,Unknown,2022-11-01,2022-12-01,0.534553,,15.1
AEVA,,Consumer Discretionary,2025-05-01,2025-07-01,2.918033,,14.34
AEVA,,Consumer Discretionary,2025-10-01,2026-01-01,2.918033,,14.34
AEVA,,Consumer Discretionary,2026-02-02,2026-04-01,2.918033,,14.34
AEYE,,Information Technology,2024-06-03,2024-08-01,4.908096,,27.0
AEYE,,Information Technology,2024-09-02,2024-10-01,4.908096,,27.0
AFRM,,Financials,2024-01-01,2024-07-01,1.511439,,68.06
AFRM,,Financials,2025-08-01,2025-09-01,1.511439,,68.06
AG,,Materials,2026-01-01,,2.340872,,20.68
AGFY,,Unknown,2025-01-01,2025-02-03,1.755259,,54.55
AGI,,Materials,2023-03-01,2023-04-03,0.697889,,12.87
AGI,,Materials,2023-06-01,2023-07-03,0.697889,,12.87
AGIO,,Health Care,2025-01-01,2025-02-03,1.573936,,58.66
AGX,,Consumer Discretionary,2024-08-01,2024-09-02,2.738585,,566.62
AGX,,Consumer Discretionary,2024-12-02,2025-05-01,2.738585,,566.62
AGX,,Consumer Discretionary,2025-06-02,2025-10-01,2.738585,,566.62
AGX,,Consumer Discretionary,2026-01-01,2026-02-02,2.738585,,566.62
AGX,,Consumer Discretionary,2026-04-01,,2.738585,,566.62
AGYS,,Information Technology,2023-02-01,2023-07-03,0.915769,,78.24
AHR,,Financials,2025-03-03,2025-09-01,1.170277,,36.07
AI,,Information Technology,2023-08-01,2024-02-01,1.789423,,29.01
AIMC,,Unknown,2023-04-03,2023-05-01,0.521137,,61.53
AISP,,Information Technology,2025-02-03,2025-03-03,3.360759,,6.89
AJRD,,Unknown,2023-04-03,2023-05-01,0.462019,,56.2
AKRO,,Unknown,2022-12-01,2023-10-02,1.162564,,42.17
AKRO,,Unknown,2024-11-01,2024-12-02,1.162564,,42.17
AKRO,,Unknown,2025-05-01,2025-07-01,1.162564,,42.17
AKUS,,Unknown,2023-01-02,2023-02-01,0.548235,,13.16
ALAB,,Information Technology,2025-09-01,2025-12-01,1.683948,,198.8
ALDX,,Health Care,2023-05-01,2023-08-01,1.348371,,9.37
ALGM,,Information Technology,2023-05-01,2023-06-01,1.082753,,50.84
ALGM,,Information Technology,2023-07-03,2023-10-02,1.082753,,50.84
ALGS,,Health Care,2025-02-03,2025-03-03,1.346087,,40.47
ALHC,,Financials,2023-02-01,2023-03-01,1.387314,,17.69
ALHC,,Financials,2025-03-03,2025-07-01,1.387314,,17.69
ALKT,,Information Technology,2023-12-01,2024-01-01,0.892795,,32.84
ALKT,,Information Technology,2024-09-02,2024-10-01,0.892795,,32.84
ALLT,,Information Technology,2025-02-03,2025-05-01,1.577419,,7.99
ALLT,,Information Technology,2025-08-01,2025-09-01,1.577419,,7.99
ALMS,,Health Care,2026-03-02,2026-04-01,4.794393,,24.8
ALMS,,Health Care,2026-05-01,,4.794393,,24.8
ALNT,,Industrials,2025-10-01,2025-11-03,1.88048,,62.42
