# T3 momentum_watchlist.csv — DEC-496 Pass 53 SCREENER-FIRST output
# Built: 2026-05-05 via Polygon /v2/aggs/grouped/locale/us/market/stocks/{date}
# Methodology: J-T 12-1 (lookback 252d, skip 21d, risk-adj OFF, tie-breakers vol-asc → ADV-desc)
# Window: 2020-01-01 to 2026-05-05 (77 monthly snapshots)
# Liquidity floor: $5M min daily dollar volume on D-21
# T1 exclusion: T1a + T1c PIT membership at each snapshot
# SCHEMA: Symbol, Company, Sector, added_date (first month rank ≤100), removed_date (first month rank >100), MomentumScore, MarketCapB (blank — not from grouped endpoint), LastPrice
# PIT FILTER: (added_date IS NULL OR added_date <= as_of) AND (removed_date IS NULL OR removed_date > as_of)
Symbol,Company,Sector,added_date,removed_date,MomentumScore,MarketCapB,LastPrice
AA,,,2022-06-01,2022-08-01,0.801676,,64.5
AAOI,,,2023-09-01,2024-01-01,2.268841,,58.12
AAOI,,,2024-03-01,2024-04-01,2.268841,,58.12
AAOI,,,2024-06-03,2024-08-01,2.268841,,58.12
AAOI,,,2025-07-01,2025-10-01,2.268841,,58.12
AAOI,,,2026-04-01,2026-05-01,2.268841,,58.12
AAON,,,2023-05-01,2023-07-03,0.868197,,66.15
ABAT,,,2025-11-03,2026-01-01,4.693461,,5.39
ABSI,,,2024-05-01,2024-06-03,3.165414,,5.54
ABVX,,,2025-09-01,2025-10-01,4.566054,,66.57
ACCD,,,2023-06-01,2023-07-03,1.482226,,16.06
ACET,,,2022-08-01,2022-10-03,0.578645,,220.0
ACET,,,2022-11-01,2022-12-01,0.578645,,220.0
ACHR,,,2023-10-02,2023-11-01,1.872024,,9.65
ACHR,,,2024-01-01,2024-03-01,1.872024,,9.65
ACHR,,,2025-06-02,2025-12-01,1.872024,,9.65
ACI,,,2022-06-01,2022-07-01,0.652266,,31.36
ACIW,,,2024-10-01,2024-11-01,1.219512,,49.14
ACLS,,,2022-08-01,2022-09-01,0.738977,,138.04
ACLS,,,2023-04-03,2024-01-01,0.738977,,138.04
ACLX,,,2023-03-01,2023-08-01,1.606614,,82.76
ACLX,,,2023-09-01,2023-10-02,1.606614,,82.76
ACLX,,,2024-03-01,2024-04-01,1.606614,,82.76
ACLX,,,2024-11-01,2024-12-02,1.606614,,82.76
ACMR,,,2023-11-01,2024-02-01,1.618022,,26.73
ACMR,,,2024-05-01,2024-07-01,1.618022,,26.73
ACVA,,,2023-07-03,2023-10-02,0.670498,,13.08
ACVA,,,2023-12-01,2024-01-01,0.670498,,13.08
ADMA,,,2024-07-01,2025-07-01,1.577287,,24.51
ADPT,,,2025-04-01,2026-02-02,2.135135,,19.72
ADSE,,,2024-03-01,2024-04-01,1.310345,,6.7
ADTN,,,2025-05-01,2025-06-02,1.081264,,9.22
AEHR,,,2023-02-01,2023-12-01,2.712329,,32.52
AEHR,,,2026-04-01,,2.712329,,32.52
AEIS,,,2026-04-01,,2.086918,,310.76
AEO,,,2024-06-03,2024-07-01,1.292705,,24.83
AERI,,,2022-11-01,2022-12-01,0.534553,,15.1
AEVA,,,2025-05-01,2025-07-01,2.918033,,14.34
AEVA,,,2025-10-01,2026-01-01,2.918033,,14.34
AEVA,,,2026-02-02,2026-04-01,2.918033,,14.34
AEYE,,,2024-06-03,2024-08-01,4.908096,,27.0
AEYE,,,2024-09-02,2024-10-01,4.908096,,27.0
AFRM,,,2024-01-01,2024-07-01,1.511439,,68.06
AFRM,,,2025-08-01,2025-09-01,1.511439,,68.06
AG,,,2026-02-02,,2.340872,,20.68
AGFY,,,2025-01-01,2025-02-03,1.755259,,54.55
AGI,,,2023-06-01,2023-07-03,0.697889,,12.87
AGIO,,,2025-01-01,2025-02-03,1.573936,,58.66
AGQ,,,2026-01-01,2026-03-02,2.619836,,172.63
AGQ,,,2026-04-01,2026-05-01,2.619836,,172.63
AGX,,,2024-08-01,2024-09-02,2.738585,,566.62
AGX,,,2024-12-02,2025-05-01,2.738585,,566.62
AGX,,,2025-06-02,2025-10-01,2.738585,,566.62
AGX,,,2026-01-01,2026-02-02,2.738585,,566.62
AGX,,,2026-04-01,,2.738585,,566.62
AGYS,,,2023-02-01,2023-07-03,0.915769,,78.24
AHI,,,2023-08-01,2023-09-01,1.327273,,5.12
AHR,,,2025-04-01,2025-09-01,1.170277,,36.07
AI,,,2023-09-01,2024-02-01,1.789423,,29.01
AIMC,,,2023-04-03,2023-05-01,0.521137,,61.53
AISP,,,2025-02-03,2025-03-03,3.360759,,6.89
AKRO,,,2022-12-01,2023-10-02,1.162564,,42.17
AKRO,,,2025-05-01,2025-07-01,1.162564,,42.17
ALAB,,,2025-09-01,2025-12-01,1.683948,,198.8
ALAR,,,2024-10-01,2024-11-01,2.102725,,14.8
ALAR,,,2024-12-02,2025-01-01,2.102725,,14.8
ALDX,,,2023-05-01,2023-08-01,1.348371,,9.37
ALGM,,,2023-05-01,2023-06-01,1.082753,,50.84
ALGM,,,2023-09-01,2023-10-02,1.082753,,50.84
ALGS,,,2025-02-03,2025-03-03,1.346087,,40.47
ALHC,,,2023-02-01,2023-03-01,1.387314,,17.69
