strategy,exit_method,8K_filed_during_hold,n,win_rate,avg_pnl_pct,total_pnl_pct
macd_crossover,atr_trail_1x,no,2,0.5,-0.8809,-1.7618
macd_crossover,atr_trail_1x,yes,3,0.3333333333333333,-2.1403,-6.4209
macd_crossover,atr_trail_2x,no,2,0.0,-2.31935,-4.6387
macd_crossover,atr_trail_2x,yes,3,0.6666666666666666,5.0755333333333335,15.226600000000001
macd_crossover,atr_trail_mae_conditional,no,2,0.5,-0.8809,-1.7618
macd_crossover,atr_trail_mae_conditional,yes,3,0.3333333333333333,-2.1403,-6.4209
macd_crossover,atr_trail_vix_conditional,no,2,0.5,-0.77675,-1.5535
macd_crossover,atr_trail_vix_conditional,yes,3,0.3333333333333333,-1.6059333333333334,-4.8178
macd_crossover,break_even_at_1r,no,2,0.0,-0.9334,-1.8668
macd_crossover,break_even_at_1r,yes,3,0.0,-2.189833333333333,-6.5695
macd_crossover,breakeven_plus_trail,no,2,0.0,-1.8668,-3.7336
macd_crossover,breakeven_plus_trail,yes,3,0.3333333333333333,4.688033333333332,14.064099999999998
macd_crossover,chandelier_3x,no,2,0.0,-0.09285,-0.1857
macd_crossover,chandelier_3x,yes,3,0.3333333333333333,6.126633333333333,18.3799
macd_crossover,class_time_stop,no,2,0.0,-6.6537500000000005,-13.307500000000001
macd_crossover,class_time_stop,yes,3,0.3333333333333333,-1.029,-3.0869999999999997
macd_crossover,earnings_blackout,no,2,0.0,-9.640799999999999,-19.281599999999997
macd_crossover,earnings_blackout,yes,3,0.3333333333333333,-18.0789,-54.2367
macd_crossover,fixed_4r_2r,no,2,0.0,-2.76465,-5.5293
macd_crossover,fixed_4r_2r,yes,3,0.3333333333333333,0.06563333333333314,0.1968999999999994
macd_crossover,hybrid_50pct_target,no,2,0.0,-9.640799999999999,-19.281599999999997
macd_crossover,hybrid_50pct_target,yes,3,0.6666666666666666,-11.0222,-33.0666
macd_crossover,ma_exit_ema9,no,2,0.0,-0.64405,-1.2881
macd_crossover,ma_exit_ema9,yes,3,0.3333333333333333,-1.3518,-4.0554
macd_crossover,mfe_lockin_trail,no,2,0.5,-0.8809,-1.7618
