strategy,exit_method,day_of_week_at_entry,n,win_rate,avg_pnl_pct,total_pnl_pct
macd_crossover,atr_trail_1x,mon,4,0.25,-2.082825,-8.3313
macd_crossover,atr_trail_1x,tue,1,1.0,0.1486,0.1486
macd_crossover,atr_trail_2x,mon,4,0.25,2.5234250000000005,10.093700000000002
macd_crossover,atr_trail_2x,tue,1,1.0,0.4942,0.4942
macd_crossover,atr_trail_mae_conditional,mon,4,0.25,-2.082825,-8.3313
macd_crossover,atr_trail_mae_conditional,tue,1,1.0,0.1486,0.1486
macd_crossover,atr_trail_vix_conditional,mon,4,0.25,-1.82055,-7.2822
macd_crossover,atr_trail_vix_conditional,tue,1,1.0,0.9109,0.9109
macd_crossover,break_even_at_1r,mon,4,0.0,-2.109075,-8.4363
macd_crossover,break_even_at_1r,tue,1,0.0,0.0,0.0
macd_crossover,breakeven_plus_trail,mon,4,0.25,2.5826249999999993,10.330499999999997
macd_crossover,breakeven_plus_trail,tue,1,0.0,0.0,0.0
macd_crossover,chandelier_3x,mon,4,0.25,4.61865,18.4746
macd_crossover,chandelier_3x,tue,1,0.0,-0.2804,-0.2804
macd_crossover,class_time_stop,mon,4,0.25,-2.240825,-8.9633
macd_crossover,class_time_stop,tue,1,0.0,-7.4312,-7.4312
macd_crossover,earnings_blackout,mon,4,0.25,-12.3931,-49.5724
macd_crossover,earnings_blackout,tue,1,0.0,-23.9459,-23.9459
macd_crossover,fixed_4r_2r,mon,4,0.25,0.1425249999999998,0.5700999999999992
macd_crossover,fixed_4r_2r,tue,1,0.0,-5.9025,-5.9025
macd_crossover,hybrid_50pct_target,mon,4,0.25,-14.193774999999999,-56.775099999999995
macd_crossover,hybrid_50pct_target,tue,1,1.0,4.4269,4.4269
macd_crossover,ma_exit_ema9,mon,4,0.0,-2.0136749999999997,-8.054699999999999
macd_crossover,ma_exit_ema9,tue,1,1.0,2.7112,2.7112
macd_crossover,mfe_lockin_trail,mon,4,0.25,-2.082825,-8.3313
macd_crossover,mfe_lockin_trail,tue,1,1.0,0.1486,0.1486
macd_crossover,multi_tier_partial,mon,4,0.25,-2.024125,-8.0965
macd_crossover,multi_tier_partial,tue,1,1.0,1.0828,1.0828
macd_crossover,next_pivot_target,mon,4,0.5,-2.657175,-10.6287
macd_crossover,next_pivot_target,tue,1,1.0,8.8538,8.8538
macd_crossover,r_multiple_2r,mon,4,0.0,-2.311425,-9.2457
macd_crossover,r_multiple_2r,tue,1,1.0,5.9025,5.9025
macd_crossover,r_multiple_3r,mon,4,0.0,-2.311425,-9.2457
macd_crossover,r_multiple_3r,tue,1,1.0,8.8538,8.8538
macd_crossover,regime_flip,mon,4,0.25,-2.5566749999999994,-10.226699999999997
macd_crossover,regime_flip,tue,1,0.0,-4.0747,-4.0747
macd_crossover,reverse_signal,mon,4,0.25,-2.082825,-8.3313
macd_crossover,reverse_signal,tue,1,1.0,0.1486,0.1486
macd_crossover,smc_mitigation_zone,mon,4,0.0,-1.861075,-7.4443
macd_crossover,smc_mitigation_zone,tue,1,1.0,0.1574,0.1574
macd_crossover,time_stop_10d,mon,4,0.25,-2.8116250000000003,-11.246500000000001
macd_crossover,time_stop_10d,tue,1,1.0,6.4568,6.4568
macd_crossover,time_stop_20d,mon,4,0.25,-2.5566749999999994,-10.226699999999997
macd_crossover,time_stop_20d,tue,1,0.0,-4.0747,-4.0747
macd_crossover,trailing_10pct,mon,4,0.25,-2.4993499999999997,-9.997399999999999
macd_crossover,trailing_10pct,tue,1,0.0,-2.2019,-2.2019
