strategy,exit_method,mfe_bucket,n,win_rate,avg_pnl_pct,total_pnl_pct
macd_crossover,atr_trail_1x,q4_ge_10pct,5,0.4,-1.63654,-8.1827
macd_crossover,atr_trail_2x,q4_ge_10pct,5,0.4,2.1175800000000002,10.587900000000001
macd_crossover,atr_trail_mae_conditional,q4_ge_10pct,5,0.4,-1.63654,-8.1827
macd_crossover,atr_trail_vix_conditional,q4_ge_10pct,5,0.4,-1.27426,-6.3713
macd_crossover,break_even_at_1r,q4_ge_10pct,5,0.0,-1.6872599999999998,-8.4363
macd_crossover,breakeven_plus_trail,q4_ge_10pct,5,0.2,2.0660999999999996,10.330499999999997
macd_crossover,chandelier_3x,q4_ge_10pct,5,0.2,3.6388399999999996,18.1942
macd_crossover,class_time_stop,q4_ge_10pct,5,0.2,-3.2789,-16.3945
macd_crossover,earnings_blackout,q4_ge_10pct,5,0.2,-14.703660000000003,-73.51830000000001
macd_crossover,fixed_4r_2r,q4_ge_10pct,5,0.2,-1.06648,-5.332400000000001
macd_crossover,hybrid_50pct_target,q4_ge_10pct,5,0.4,-10.46964,-52.3482
macd_crossover,ma_exit_ema9,q4_ge_10pct,5,0.2,-1.0687,-5.3435
macd_crossover,mfe_lockin_trail,q4_ge_10pct,5,0.4,-1.63654,-8.1827
macd_crossover,multi_tier_partial,q4_ge_10pct,5,0.4,-1.40274,-7.0137
macd_crossover,next_pivot_target,q4_ge_10pct,5,0.6,-0.3549800000000001,-1.7749000000000004
macd_crossover,r_multiple_2r,q4_ge_10pct,5,0.2,-0.6686400000000001,-3.3432000000000004
macd_crossover,r_multiple_3r,q4_ge_10pct,5,0.2,-0.07838000000000012,-0.3919000000000006
macd_crossover,regime_flip,q4_ge_10pct,5,0.2,-2.8602799999999995,-14.301399999999997
macd_crossover,reverse_signal,q4_ge_10pct,5,0.4,-1.63654,-8.1827
macd_crossover,smc_mitigation_zone,q4_ge_10pct,5,0.2,-1.4573800000000001,-7.2869
macd_crossover,time_stop_10d,q4_ge_10pct,5,0.4,-0.9579400000000001,-4.789700000000001
macd_crossover,time_stop_20d,q4_ge_10pct,5,0.2,-2.8602799999999995,-14.301399999999997
macd_crossover,trailing_10pct,q4_ge_10pct,5,0.2,-2.4398600000000004,-12.199300000000001
macd_crossover,trailing_15pct,q4_ge_10pct,5,0.2,-4.067740000000001,-20.338700000000003
macd_crossover,trailing_5pct,q4_ge_10pct,5,0.2,-2.3182,-11.591000000000001
po3_bullish,atr_trail_1x,q1_lt_2pct,1,0.0,-4.4475,-4.4475
po3_bullish,atr_trail_1x,q4_ge_10pct,5,0.2,-0.11172000000000004,-0.5586000000000002
po3_bullish,atr_trail_2x,q1_lt_2pct,1,0.0,-8.895,-8.895
po3_bullish,atr_trail_2x,q4_ge_10pct,5,0.4,-0.3261600000000001,-1.6308000000000007
po3_bullish,atr_trail_mae_conditional,q1_lt_2pct,1,0.0,-4.4475,-4.4475
po3_bullish,atr_trail_mae_conditional,q4_ge_10pct,5,0.2,-0.11172000000000004,-0.5586000000000002
po3_bullish,atr_trail_vix_conditional,q1_lt_2pct,1,0.0,-3.3356,-3.3356
po3_bullish,atr_trail_vix_conditional,q4_ge_10pct,5,0.2,0.08650000000000002,0.4325000000000001
po3_bullish,break_even_at_1r,q1_lt_2pct,1,0.0,-4.4475,-4.4475
po3_bullish,break_even_at_1r,q4_ge_10pct,5,0.2,-1.1576799999999998,-5.788399999999999
po3_bullish,breakeven_plus_trail,q1_lt_2pct,1,1.0,1.4538,1.4538
po3_bullish,breakeven_plus_trail,q4_ge_10pct,5,0.6,3.9414000000000002,19.707
po3_bullish,chandelier_3x,q1_lt_2pct,1,0.0,-1.7016,-1.7016
po3_bullish,chandelier_3x,q4_ge_10pct,5,0.4,0.2386000000000001,1.1930000000000005
po3_bullish,class_time_stop,q1_lt_2pct,1,1.0,3.8872,3.8872
po3_bullish,class_time_stop,q4_ge_10pct,5,0.8,4.805059999999999,24.025299999999998
po3_bullish,earnings_blackout,q1_lt_2pct,1,1.0,1.4538,1.4538
po3_bullish,earnings_blackout,q4_ge_10pct,5,1.0,9.0018,45.009
po3_bullish,fixed_4r_2r,q1_lt_2pct,1,0.0,-8.895,-8.895
po3_bullish,fixed_4r_2r,q4_ge_10pct,5,0.6,4.8203000000000005,24.1015
po3_bullish,hybrid_50pct_target,q1_lt_2pct,1,1.0,1.4538,1.4538
po3_bullish,hybrid_50pct_target,q4_ge_10pct,5,1.0,6.3271999999999995,31.636
po3_bullish,ma_exit_ema9,q1_lt_2pct,1,0.0,-1.9155,-1.9155
po3_bullish,ma_exit_ema9,q4_ge_10pct,5,0.2,-0.060020000000000094,-0.3001000000000005
po3_bullish,mfe_lockin_trail,q1_lt_2pct,1,0.0,-4.4475,-4.4475
po3_bullish,mfe_lockin_trail,q4_ge_10pct,5,0.2,-0.04713999999999992,-0.23569999999999958
po3_bullish,multi_tier_partial,q1_lt_2pct,1,0.0,-4.4475,-4.4475
po3_bullish,multi_tier_partial,q4_ge_10pct,5,0.4,-0.23556,-1.1778
po3_bullish,next_pivot_target,q1_lt_2pct,1,1.0,0.9128,0.9128
po3_bullish,next_pivot_target,q4_ge_10pct,5,1.0,0.97438,4.8719
po3_bullish,r_multiple_2r,q1_lt_2pct,1,0.0,-4.4475,-4.4475
po3_bullish,r_multiple_2r,q4_ge_10pct,5,0.2,-0.94018,-4.7009
po3_bullish,r_multiple_3r,q1_lt_2pct,1,0.0,-4.4475,-4.4475
po3_bullish,r_multiple_3r,q4_ge_10pct,5,0.2,-0.94018,-4.7009
po3_bullish,regime_flip,q1_lt_2pct,1,0.0,-0.1061,-0.1061
po3_bullish,regime_flip,q4_ge_10pct,5,0.8,3.44832,17.2416
po3_bullish,reverse_signal,q1_lt_2pct,1,0.0,-4.4475,-4.4475
po3_bullish,reverse_signal,q4_ge_10pct,5,0.2,-0.11172000000000004,-0.5586000000000002
po3_bullish,smc_mitigation_zone,q1_lt_2pct,1,0.0,-1.9155,-1.9155
po3_bullish,smc_mitigation_zone,q4_ge_10pct,5,0.2,0.20860000000000004,1.0430000000000001
po3_bullish,time_stop_10d,q1_lt_2pct,1,0.0,-8.2174,-8.2174
po3_bullish,time_stop_10d,q4_ge_10pct,5,1.0,2.9597,14.7985
po3_bullish,time_stop_20d,q1_lt_2pct,1,0.0,-0.1061,-0.1061
po3_bullish,time_stop_20d,q4_ge_10pct,5,0.8,3.44832,17.2416
po3_bullish,trailing_10pct,q1_lt_2pct,1,1.0,1.4538,1.4538
po3_bullish,trailing_10pct,q4_ge_10pct,5,1.0,9.0018,45.009
po3_bullish,trailing_15pct,q1_lt_2pct,1,1.0,1.4538,1.4538
po3_bullish,trailing_15pct,q4_ge_10pct,5,1.0,9.0018,45.009
po3_bullish,trailing_5pct,q1_lt_2pct,1,0.0,-5.0,-5.0
po3_bullish,trailing_5pct,q4_ge_10pct,5,0.4,1.1918,5.959
xs_low_beta_long,atr_trail_1x,q4_ge_10pct,7,0.0,-0.4461857142857143,-3.1233
xs_low_beta_long,atr_trail_2x,q4_ge_10pct,7,0.42857142857142855,1.4732142857142858,10.3125
xs_low_beta_long,atr_trail_mae_conditional,q4_ge_10pct,7,0.0,-0.4461857142857143,-3.1233
xs_low_beta_long,atr_trail_vix_conditional,q4_ge_10pct,7,0.0,-0.33649999999999997,-2.3554999999999997
xs_low_beta_long,break_even_at_1r,q4_ge_10pct,7,0.0,-0.3249142857142857,-2.2744
xs_low_beta_long,breakeven_plus_trail,q4_ge_10pct,7,0.5714285714285714,4.243914285714285,29.7074
xs_low_beta_long,chandelier_3x,q4_ge_10pct,7,0.5714285714285714,5.3386571428571425,37.370599999999996
xs_low_beta_long,class_time_stop,q4_ge_10pct,7,0.5714285714285714,3.3745285714285713,23.6217
xs_low_beta_long,earnings_blackout,q4_ge_10pct,7,0.8571428571428571,5.3846,37.6922
xs_low_beta_long,fixed_4r_2r,q4_ge_10pct,7,0.5714285714285714,1.7047142857142856,11.933
xs_low_beta_long,hybrid_50pct_target,q4_ge_10pct,7,1.0,4.319271428571429,30.2349
xs_low_beta_long,ma_exit_ema9,q4_ge_10pct,7,0.42857142857142855,1.5423428571428572,10.7964
xs_low_beta_long,mfe_lockin_trail,q4_ge_10pct,7,0.0,-0.4461857142857143,-3.1233
xs_low_beta_long,multi_tier_partial,q4_ge_10pct,7,0.8571428571428571,0.435,3.045
xs_low_beta_long,next_pivot_target,q4_ge_10pct,7,0.8571428571428571,0.4938428571428572,3.4569000000000005
xs_low_beta_long,r_multiple_2r,q4_ge_10pct,7,0.5714285714285714,1.1369571428571428,7.958699999999999
xs_low_beta_long,r_multiple_3r,q4_ge_10pct,7,0.42857142857142855,1.0303142857142857,7.2122
xs_low_beta_long,regime_flip,q4_ge_10pct,7,0.5714285714285714,2.873542857142857,20.1148
xs_low_beta_long,reverse_signal,q4_ge_10pct,7,0.0,-0.4461857142857143,-3.1233
xs_low_beta_long,smc_mitigation_zone,q4_ge_10pct,7,0.0,-0.4461857142857143,-3.1233
xs_low_beta_long,time_stop_10d,q4_ge_10pct,7,0.7142857142857143,1.5038714285714287,10.5271
xs_low_beta_long,time_stop_20d,q4_ge_10pct,7,0.5714285714285714,2.873542857142857,20.1148
xs_low_beta_long,trailing_10pct,q4_ge_10pct,7,0.8571428571428571,4.404442857142857,30.8311
xs_low_beta_long,trailing_15pct,q4_ge_10pct,7,0.8571428571428571,5.028728571428572,35.201100000000004
xs_low_beta_long,trailing_5pct,q4_ge_10pct,7,0.5714285714285714,4.4802,31.3614
xs_quality_top_quintile_long,atr_trail_1x,q4_ge_10pct,5,0.4,-0.07739999999999995,-0.3869999999999998
xs_quality_top_quintile_long,atr_trail_2x,q4_ge_10pct,5,0.2,2.08446,10.4223
xs_quality_top_quintile_long,atr_trail_mae_conditional,q4_ge_10pct,5,0.4,-0.07739999999999995,-0.3869999999999998
xs_quality_top_quintile_long,atr_trail_vix_conditional,q4_ge_10pct,5,0.2,-1.0351,-5.1754999999999995
xs_quality_top_quintile_long,break_even_at_1r,q4_ge_10pct,5,0.2,2.2178199999999997,11.089099999999998
xs_quality_top_quintile_long,breakeven_plus_trail,q4_ge_10pct,5,0.6,14.999500000000001,74.9975
xs_quality_top_quintile_long,chandelier_3x,q4_ge_10pct,5,0.6,6.79016,33.9508
xs_quality_top_quintile_long,class_time_stop,q4_ge_10pct,5,1.0,5.9468000000000005,29.734
xs_quality_top_quintile_long,earnings_blackout,q4_ge_10pct,5,1.0,20.5691,102.8455
xs_quality_top_quintile_long,fixed_4r_2r,q4_ge_10pct,5,0.8,8.2196,41.098
