strategy,exit_method,vol_band,n,win_rate,avg_pnl_pct,total_pnl_pct
macd_crossover,atr_trail_1x,low_lt_15,4,0.5,-1.578975,-6.3159
macd_crossover,atr_trail_1x,mid_15_25,1,0.0,-1.8668,-1.8668
macd_crossover,atr_trail_2x,low_lt_15,4,0.5,3.6246,14.4984
macd_crossover,atr_trail_2x,mid_15_25,1,0.0,-3.9105,-3.9105
macd_crossover,atr_trail_mae_conditional,low_lt_15,4,0.5,-1.578975,-6.3159
macd_crossover,atr_trail_mae_conditional,mid_15_25,1,0.0,-1.8668,-1.8668
macd_crossover,atr_trail_vix_conditional,low_lt_15,4,0.5,-1.126125,-4.5045
macd_crossover,atr_trail_vix_conditional,mid_15_25,1,0.0,-1.8668,-1.8668
macd_crossover,break_even_at_1r,low_lt_15,4,0.0,-1.642375,-6.5695
macd_crossover,break_even_at_1r,mid_15_25,1,0.0,-1.8668,-1.8668
macd_crossover,breakeven_plus_trail,low_lt_15,4,0.25,3.5160249999999995,14.064099999999998
macd_crossover,breakeven_plus_trail,mid_15_25,1,0.0,-3.7336,-3.7336
macd_crossover,chandelier_3x,low_lt_15,4,0.25,4.570875,18.2835
macd_crossover,chandelier_3x,mid_15_25,1,0.0,-0.0893,-0.0893
macd_crossover,class_time_stop,low_lt_15,4,0.25,-1.9522750000000002,-7.809100000000001
macd_crossover,class_time_stop,mid_15_25,1,0.0,-8.5854,-8.5854
macd_crossover,earnings_blackout,low_lt_15,4,0.25,-16.233225,-64.9329
macd_crossover,earnings_blackout,mid_15_25,1,0.0,-8.5854,-8.5854
macd_crossover,fixed_4r_2r,low_lt_15,4,0.25,-0.3554750000000002,-1.4219000000000008
macd_crossover,fixed_4r_2r,mid_15_25,1,0.0,-3.9105,-3.9105
macd_crossover,hybrid_50pct_target,low_lt_15,4,0.5,-10.9407,-43.7628
macd_crossover,hybrid_50pct_target,mid_15_25,1,0.0,-8.5854,-8.5854
macd_crossover,ma_exit_ema9,low_lt_15,4,0.25,-1.16725,-4.669
macd_crossover,ma_exit_ema9,mid_15_25,1,0.0,-0.6745,-0.6745
macd_crossover,mfe_lockin_trail,low_lt_15,4,0.5,-1.578975,-6.3159
macd_crossover,mfe_lockin_trail,mid_15_25,1,0.0,-1.8668,-1.8668
macd_crossover,multi_tier_partial,low_lt_15,4,0.5,-1.2867250000000001,-5.1469000000000005
macd_crossover,multi_tier_partial,mid_15_25,1,0.0,-1.8668,-1.8668
macd_crossover,next_pivot_target,low_lt_15,4,0.5,-0.5022250000000001,-2.0089000000000006
macd_crossover,next_pivot_target,mid_15_25,1,1.0,0.234,0.234
macd_crossover,r_multiple_2r,low_lt_15,4,0.25,-0.3691000000000001,-1.4764000000000004
macd_crossover,r_multiple_2r,mid_15_25,1,0.0,-1.8668,-1.8668
macd_crossover,r_multiple_3r,low_lt_15,4,0.25,0.36872499999999986,1.4748999999999994
macd_crossover,r_multiple_3r,mid_15_25,1,0.0,-1.8668,-1.8668
macd_crossover,regime_flip,low_lt_15,4,0.25,-1.4289999999999994,-5.7159999999999975
macd_crossover,regime_flip,mid_15_25,1,0.0,-8.5854,-8.5854
macd_crossover,reverse_signal,low_lt_15,4,0.5,-1.578975,-6.3159
macd_crossover,reverse_signal,mid_15_25,1,0.0,-1.8668,-1.8668
macd_crossover,smc_mitigation_zone,low_lt_15,4,0.25,-1.6531,-6.6124
macd_crossover,smc_mitigation_zone,mid_15_25,1,0.0,-0.6745,-0.6745
macd_crossover,time_stop_10d,low_lt_15,4,0.5,0.3675499999999998,1.4701999999999993
macd_crossover,time_stop_10d,mid_15_25,1,0.0,-6.2599,-6.2599
macd_crossover,time_stop_20d,low_lt_15,4,0.25,-1.4289999999999994,-5.7159999999999975
macd_crossover,time_stop_20d,mid_15_25,1,0.0,-8.5854,-8.5854
macd_crossover,trailing_10pct,low_lt_15,4,0.25,-0.9034750000000003,-3.613900000000001
macd_crossover,trailing_10pct,mid_15_25,1,0.0,-8.5854,-8.5854
macd_crossover,trailing_15pct,low_lt_15,4,0.25,-2.9383250000000007,-11.753300000000003
macd_crossover,trailing_15pct,mid_15_25,1,0.0,-8.5854,-8.5854
macd_crossover,trailing_5pct,low_lt_15,4,0.25,-1.64775,-6.591
macd_crossover,trailing_5pct,mid_15_25,1,0.0,-5.0,-5.0
po3_bullish,atr_trail_1x,low_lt_15,6,0.16666666666666666,-0.83435,-5.0061
po3_bullish,atr_trail_2x,low_lt_15,6,0.3333333333333333,-1.7543,-10.5258
po3_bullish,atr_trail_mae_conditional,low_lt_15,6,0.16666666666666666,-0.83435,-5.0061
po3_bullish,atr_trail_vix_conditional,low_lt_15,6,0.16666666666666666,-0.48385000000000006,-2.9031000000000002
po3_bullish,break_even_at_1r,low_lt_15,6,0.16666666666666666,-1.7059833333333332,-10.235899999999999
po3_bullish,breakeven_plus_trail,low_lt_15,6,0.6666666666666666,3.5267999999999997,21.1608
po3_bullish,chandelier_3x,low_lt_15,6,0.3333333333333333,-0.08476666666666659,-0.5085999999999995
po3_bullish,class_time_stop,low_lt_15,6,0.8333333333333334,4.652083333333333,27.912499999999998
po3_bullish,earnings_blackout,low_lt_15,6,1.0,7.743799999999999,46.462799999999994
po3_bullish,fixed_4r_2r,low_lt_15,6,0.5,2.534416666666667,15.206500000000002
po3_bullish,hybrid_50pct_target,low_lt_15,6,1.0,5.514966666666666,33.0898
po3_bullish,ma_exit_ema9,low_lt_15,6,0.16666666666666666,-0.3692666666666667,-2.2156000000000002
po3_bullish,mfe_lockin_trail,low_lt_15,6,0.16666666666666666,-0.7805333333333334,-4.6832
po3_bullish,multi_tier_partial,low_lt_15,6,0.3333333333333333,-0.9375499999999999,-5.625299999999999
po3_bullish,next_pivot_target,low_lt_15,6,1.0,0.9641166666666666,5.7847
po3_bullish,r_multiple_2r,low_lt_15,6,0.16666666666666666,-1.524733333333333,-9.148399999999999
po3_bullish,r_multiple_3r,low_lt_15,6,0.16666666666666666,-1.524733333333333,-9.148399999999999
po3_bullish,regime_flip,low_lt_15,6,0.6666666666666666,2.855916666666667,17.1355
po3_bullish,reverse_signal,low_lt_15,6,0.16666666666666666,-0.83435,-5.0061
po3_bullish,smc_mitigation_zone,low_lt_15,6,0.16666666666666666,-0.1454166666666666,-0.8724999999999996
po3_bullish,time_stop_10d,low_lt_15,6,0.8333333333333334,1.09685,6.5811
po3_bullish,time_stop_20d,low_lt_15,6,0.6666666666666666,2.855916666666667,17.1355
po3_bullish,trailing_10pct,low_lt_15,6,1.0,7.743799999999999,46.462799999999994
po3_bullish,trailing_15pct,low_lt_15,6,1.0,7.743799999999999,46.462799999999994
po3_bullish,trailing_5pct,low_lt_15,6,0.3333333333333333,0.1598333333333332,0.9589999999999992
xs_low_beta_long,atr_trail_1x,low_lt_15,7,0.0,-0.4461857142857143,-3.1233
xs_low_beta_long,atr_trail_2x,low_lt_15,7,0.42857142857142855,1.4732142857142858,10.3125
xs_low_beta_long,atr_trail_mae_conditional,low_lt_15,7,0.0,-0.4461857142857143,-3.1233
xs_low_beta_long,atr_trail_vix_conditional,low_lt_15,7,0.0,-0.33649999999999997,-2.3554999999999997
xs_low_beta_long,break_even_at_1r,low_lt_15,7,0.0,-0.3249142857142857,-2.2744
