exit_method,regime_at_entry,sector,cap_band,vol_band,hold_duration_band,n,win_rate,avg_pnl_pct,total_pnl_pct,sharpe_proxy
atr_trail_1x,bull,Consumer Discretionary,unknown,low_lt_15,long_ge_11d,9,0.3333333333333333,-0.9748444444444444,-8.7736,-1.125242070655981
atr_trail_1x,bull,Health Care,unknown,low_lt_15,long_ge_11d,5,0.2,0.04835999999999999,0.24179999999999996,0.04049045550792587
atr_trail_2x,bull,Consumer Discretionary,unknown,low_lt_15,long_ge_11d,9,0.4444444444444444,2.6725666666666665,24.0531,0.711663436848845
atr_trail_2x,bull,Health Care,unknown,low_lt_15,long_ge_11d,5,0.4,0.8089999999999999,4.045,0.445768134133572
atr_trail_mae_conditional,bull,Consumer Discretionary,unknown,low_lt_15,long_ge_11d,9,0.3333333333333333,-0.9748444444444444,-8.7736,-1.125242070655981
atr_trail_mae_conditional,bull,Health Care,unknown,low_lt_15,long_ge_11d,5,0.2,0.04835999999999999,0.24179999999999996,0.04049045550792587
atr_trail_vix_conditional,bull,Consumer Discretionary,unknown,low_lt_15,long_ge_11d,9,0.2222222222222222,-1.3915,-12.5235,-1.7485841084858134
atr_trail_vix_conditional,bull,Health Care,unknown,low_lt_15,long_ge_11d,5,0.2,0.41370000000000007,2.0685000000000002,0.35469251034058963
break_even_at_1r,bull,Consumer Discretionary,unknown,low_lt_15,long_ge_11d,9,0.1111111111111111,-0.004066666666666861,-0.03660000000000174,-0.001839315305211101
break_even_at_1r,bull,Health Care,unknown,low_lt_15,long_ge_11d,5,0.2,-0.4795,-2.3975,-0.6583885839630197
breakeven_plus_trail,bull,Consumer Discretionary,unknown,low_lt_15,long_ge_11d,9,0.6666666666666666,12.362400000000001,111.2616,2.8370676311361738
breakeven_plus_trail,bull,Health Care,unknown,low_lt_15,long_ge_11d,5,0.8,4.771,23.855,1.4187245077485549
chandelier_3x,bull,Consumer Discretionary,unknown,low_lt_15,long_ge_11d,9,0.5555555555555556,5.7153,51.4377,1.7481486352140956
chandelier_3x,bull,Health Care,unknown,low_lt_15,long_ge_11d,5,0.6,5.18258,25.9129,1.4764118875046301
class_time_stop,bull,Consumer Discretionary,unknown,low_lt_15,long_ge_11d,9,0.8888888888888888,6.532188888888888,58.789699999999996,2.1525865339353363
class_time_stop,bull,Health Care,unknown,low_lt_15,long_ge_11d,5,0.8,6.753819999999999,33.769099999999995,2.6421316057307647
earnings_blackout,bull,Consumer Discretionary,unknown,low_lt_15,long_ge_11d,9,0.8888888888888888,12.795966666666667,115.1637,2.203105643293837
earnings_blackout,bull,Health Care,unknown,low_lt_15,long_ge_11d,5,0.8,5.9579,29.7895,1.9441552721986837
fixed_4r_2r,bull,Consumer Discretionary,unknown,low_lt_15,long_ge_11d,9,0.6666666666666666,5.977222222222222,53.795,1.8189875841388996
fixed_4r_2r,bull,Health Care,unknown,low_lt_15,long_ge_11d,5,0.8,5.08722,25.4361,2.296838198125579
hybrid_50pct_target,bull,Consumer Discretionary,unknown,low_lt_15,long_ge_11d,9,1.0,9.201244444444445,82.8112,5.114756111773869
hybrid_50pct_target,bull,Health Care,unknown,low_lt_15,long_ge_11d,5,1.0,5.735519999999999,28.677599999999998,4.406872230152668
ma_exit_ema9,bull,Consumer Discretionary,unknown,low_lt_15,long_ge_11d,9,0.2222222222222222,0.1402000000000002,1.2618000000000018,0.057652370654898304
ma_exit_ema9,bull,Health Care,unknown,low_lt_15,long_ge_11d,5,0.6,2.78272,13.913599999999999,1.305203466669752
mfe_lockin_trail,bull,Consumer Discretionary,unknown,low_lt_15,long_ge_11d,9,0.3333333333333333,-0.9343777777777778,-8.4094,-1.047849969301065
mfe_lockin_trail,bull,Health Care,unknown,low_lt_15,long_ge_11d,5,0.2,0.11293999999999996,0.5646999999999998,0.09001065386150522
