strategy,exit_method,8K_filed_during_hold,n,win_rate,avg_pnl_pct,total_pnl_pct
macd_fast_crossover,atr_trail_1x,no,2,0.5,-2.9024,-5.8048
macd_fast_crossover,atr_trail_1x,yes,4,0.5,1.1172749999999998,4.469099999999999
macd_fast_crossover,atr_trail_2x,no,2,0.5,-6.6187000000000005,-13.237400000000001
macd_fast_crossover,atr_trail_2x,yes,4,0.75,1.7463,6.9852
macd_fast_crossover,atr_trail_mae_conditional,no,2,0.5,-2.9024,-5.8048
macd_fast_crossover,atr_trail_mae_conditional,yes,4,0.5,1.1172749999999998,4.469099999999999
macd_fast_crossover,atr_trail_vix_conditional,no,2,0.0,-3.1715999999999998,-6.3431999999999995
macd_fast_crossover,atr_trail_vix_conditional,yes,4,0.25,-0.11959999999999998,-0.47839999999999994
macd_fast_crossover,break_even_at_1r,no,2,0.0,-3.83465,-7.6693
macd_fast_crossover,break_even_at_1r,yes,4,0.25,0.4375,1.75
macd_fast_crossover,breakeven_plus_trail,no,2,0.5,-6.6187000000000005,-13.237400000000001
macd_fast_crossover,breakeven_plus_trail,yes,4,0.25,0.464725,1.8589
macd_fast_crossover,chandelier_3x,no,2,0.0,-0.296,-0.592
macd_fast_crossover,chandelier_3x,yes,4,0.0,-0.15255,-0.6102
macd_fast_crossover,class_time_stop,no,2,1.0,16.45565,32.9113
macd_fast_crossover,class_time_stop,yes,4,0.25,-3.994025,-15.9761
macd_fast_crossover,earnings_blackout,no,2,1.0,20.6403,41.2806
macd_fast_crossover,earnings_blackout,yes,4,0.25,-13.349825000000001,-53.399300000000004
macd_fast_crossover,fixed_4r_2r,no,2,0.5,-6.6187000000000005,-13.237400000000001
macd_fast_crossover,fixed_4r_2r,yes,4,0.5,2.588475,10.3539
macd_fast_crossover,hybrid_50pct_target,no,2,1.0,11.4818,22.9636
macd_fast_crossover,hybrid_50pct_target,yes,4,0.75,-3.692625,-14.7705
macd_fast_crossover,ma_exit_ema9,no,2,0.5,-0.28295000000000003,-0.5659000000000001
macd_fast_crossover,ma_exit_ema9,yes,4,0.5,1.4288500000000002,5.715400000000001
macd_fast_crossover,mfe_lockin_trail,no,2,0.5,-2.9024,-5.8048
macd_fast_crossover,mfe_lockin_trail,yes,4,0.5,0.6175999999999999,2.4703999999999997
macd_fast_crossover,multi_tier_partial,no,2,0.5,-3.1197,-6.2394
macd_fast_crossover,multi_tier_partial,yes,4,0.75,1.094075,4.3763
macd_fast_crossover,next_pivot_target,no,2,0.5,-6.6652000000000005,-13.330400000000001
macd_fast_crossover,next_pivot_target,yes,4,0.75,2.727,10.908
macd_fast_crossover,r_multiple_2r,no,2,0.5,-2.9024,-5.8048
