strategy,exit_method,vix_at_entry,n,win_rate,avg_pnl_pct,total_pnl_pct
macd_fast_crossover,atr_trail_1x,12.45,5,0.4,-0.5926800000000002,-2.963400000000001
macd_fast_crossover,atr_trail_1x,13.24,1,1.0,1.6277,1.6277
macd_fast_crossover,atr_trail_2x,12.45,5,0.6,-1.57598,-7.8799
macd_fast_crossover,atr_trail_2x,13.24,1,1.0,1.6277,1.6277
macd_fast_crossover,atr_trail_mae_conditional,12.45,5,0.4,-0.5926800000000002,-2.963400000000001
macd_fast_crossover,atr_trail_mae_conditional,13.24,1,1.0,1.6277,1.6277
macd_fast_crossover,atr_trail_vix_conditional,12.45,5,0.2,-1.2105599999999999,-6.0527999999999995
macd_fast_crossover,atr_trail_vix_conditional,13.24,1,0.0,-0.7688,-0.7688
macd_fast_crossover,break_even_at_1r,12.45,5,0.2,-1.1365,-5.6825
macd_fast_crossover,break_even_at_1r,13.24,1,0.0,-0.2368,-0.2368
macd_fast_crossover,breakeven_plus_trail,12.45,5,0.2,-2.6012399999999998,-13.0062
macd_fast_crossover,breakeven_plus_trail,13.24,1,1.0,1.6277,1.6277
macd_fast_crossover,chandelier_3x,12.45,5,0.0,-0.17902,-0.8951
macd_fast_crossover,chandelier_3x,13.24,1,0.0,-0.3071,-0.3071
macd_fast_crossover,class_time_stop,12.45,5,0.4,3.0615,15.307500000000001
macd_fast_crossover,class_time_stop,13.24,1,1.0,1.6277,1.6277
macd_fast_crossover,earnings_blackout,12.45,5,0.4,-2.7492799999999997,-13.7464
macd_fast_crossover,earnings_blackout,13.24,1,1.0,1.6277,1.6277
macd_fast_crossover,fixed_4r_2r,12.45,5,0.4,-0.9022399999999999,-4.5112
macd_fast_crossover,fixed_4r_2r,13.24,1,1.0,1.6277,1.6277
macd_fast_crossover,hybrid_50pct_target,12.45,5,0.8,1.3130799999999998,6.565399999999999
macd_fast_crossover,hybrid_50pct_target,13.24,1,1.0,1.6277,1.6277
macd_fast_crossover,ma_exit_ema9,12.45,5,0.4,0.7043600000000001,3.5218000000000003
macd_fast_crossover,ma_exit_ema9,13.24,1,1.0,1.6277,1.6277
macd_fast_crossover,mfe_lockin_trail,12.45,5,0.4,-0.9924200000000001,-4.9621
macd_fast_crossover,mfe_lockin_trail,13.24,1,1.0,1.6277,1.6277
macd_fast_crossover,multi_tier_partial,12.45,5,0.6,-0.6112399999999999,-3.0561999999999996
macd_fast_crossover,multi_tier_partial,13.24,1,1.0,1.1931,1.1931
macd_fast_crossover,next_pivot_target,12.45,5,0.6,-0.79142,-3.9571
macd_fast_crossover,next_pivot_target,13.24,1,1.0,1.5347,1.5347
macd_fast_crossover,r_multiple_2r,12.45,5,0.6,0.8964999999999999,4.482499999999999
macd_fast_crossover,r_multiple_2r,13.24,1,1.0,1.6277,1.6277
macd_fast_crossover,r_multiple_3r,12.45,5,0.4,0.48768,2.4384
macd_fast_crossover,r_multiple_3r,13.24,1,1.0,1.6277,1.6277
macd_fast_crossover,regime_flip,12.45,5,0.6,4.10446,20.5223
macd_fast_crossover,regime_flip,13.24,1,1.0,1.6277,1.6277
macd_fast_crossover,reverse_signal,12.45,5,0.4,-0.5926800000000002,-2.963400000000001
macd_fast_crossover,reverse_signal,13.24,1,1.0,1.6277,1.6277
macd_fast_crossover,smc_mitigation_zone,12.45,5,0.2,-1.8965800000000002,-9.4829
macd_fast_crossover,smc_mitigation_zone,13.24,1,1.0,2.3564,2.3564
macd_fast_crossover,time_stop_10d,12.45,5,0.8,7.11866,35.5933
macd_fast_crossover,time_stop_10d,13.24,1,1.0,1.6277,1.6277
macd_fast_crossover,time_stop_20d,12.45,5,0.6,4.10446,20.5223
macd_fast_crossover,time_stop_20d,13.24,1,1.0,1.6277,1.6277
macd_fast_crossover,trailing_10pct,12.45,5,0.2,-4.437340000000001,-22.186700000000002
macd_fast_crossover,trailing_10pct,13.24,1,1.0,1.6277,1.6277
macd_fast_crossover,trailing_15pct,12.45,5,0.2,-7.5237799999999995,-37.6189
macd_fast_crossover,trailing_15pct,13.24,1,1.0,1.6277,1.6277
macd_fast_crossover,trailing_5pct,12.45,5,0.6,0.37154000000000004,1.8577000000000001
macd_fast_crossover,trailing_5pct,13.24,1,1.0,1.6277,1.6277
xs_low_beta_long,atr_trail_1x,12.45,5,0.0,-0.25526,-1.2763
xs_low_beta_long,atr_trail_1x,13.2,1,0.0,-1.7317,-1.7317
xs_low_beta_long,atr_trail_1x,14.33,1,0.0,-0.1153,-0.1153
