ticker,strategy,entry_date,direction,entry_price,exit_method,pnl_pct,win,hold_days,exit_price,exit_date,exit_reason,regime_at_entry,sector,confidence_tier,cap_band,vol_band,hold_duration_band,win_loss_outcome,universe_tier,smart_money_signal_present,vix_at_entry,entry_atr_ratio,mae_bucket,mfe_bucket,regime_changed_during_hold,earnings_during_hold,circuit_breaker_active_during_hold,news_sentiment_shift_during_hold,8K_filed_during_hold,day_of_week_at_entry,days_from_quarter_end_at_entry,vix_term_structure,hy_oas_band_at_entry,adv_bucket,volume_rank_within_sector,sector_momentum_vs_spy_at_entry
APLD,macd_fast_crossover,2024-01-01,short,6.8106,multi_tier_partial,-7.4325,False,3,7.3168,2024-01-04,multi_tier_trail_batch227b,bull,Information Technology,HIGH,unknown,low_lt_15,medium_4_10d,loss,unknown,yes,12.45,0.07432531641852407,q4_ge_10pct,q4_ge_10pct,no,no,no_data,low_1_5,no,mon,90,unknown,normal_3_5,5_25M,unknown,spy_mild_up_0_5pct
EAT,macd_fast_crossover,2024-01-01,short,42.8159,multi_tier_partial,-1.092,False,1,43.2834,2024-01-02,multi_tier_trail_batch227b,bull,Consumer Discretionary,HIGH,unknown,low_lt_15,long_ge_11d,loss,unknown,yes,12.45,0.027520150224566105,q4_ge_10pct,q4_ge_10pct,no,yes,no_data,high_gt_20,yes,mon,90,unknown,normal_3_5,25_100M,unknown,spy_mild_up_0_5pct
CAT,macd_fast_crossover,2024-01-01,short,292.973,multi_tier_partial,1.2796,True,4,289.2241,2024-01-05,multi_tier_1R_trail_batch227b,bull,Industrials,MEDIUM_HIGH,unknown,low_lt_15,long_ge_11d,loss,T1a,yes,12.45,0.019106197499428275,q4_ge_10pct,q4_ge_10pct,no,no,no_data,high_gt_20,yes,mon,90,unknown,normal_3_5,ge_500M,unknown,spy_mild_up_0_5pct
CE,macd_fast_crossover,2024-01-01,short,153.2802,multi_tier_partial,3.5009,True,18,147.914,2024-01-19,multi_tier_1R_2R_trail_batch227b,bull,Materials,MEDIUM_HIGH,unknown,low_lt_15,long_ge_11d,loss,T1a,yes,12.45,0.01932278272079499,q4_ge_10pct,q4_ge_10pct,no,yes,no_data,high_gt_20,yes,mon,90,unknown,normal_3_5,100_500M,unknown,spy_mild_up_0_5pct
AEE,macd_fast_crossover,2024-01-01,long,72.2086,multi_tier_partial,0.6878,True,1,72.7052,2024-01-02,multi_tier_1R_trail_batch227b,bull,Utilities,MEDIUM_HIGH,unknown,low_lt_15,long_ge_11d,win,T1a,yes,12.45,0.022810302373955454,q4_ge_10pct,q4_ge_10pct,no,yes,no_data,high_gt_20,yes,mon,90,unknown,normal_3_5,100_500M,unknown,spy_mild_up_0_5pct
CLS,macd_fast_crossover,2024-03-26,short,46.6595,multi_tier_partial,1.1931,True,1,46.1028,2024-03-27,multi_tier_1R_trail_batch227b,bull,Information Technology,LOW,unknown,low_lt_15,medium_4_10d,win,T3,yes,13.24,0.04052979564718867,q4_ge_10pct,q4_ge_10pct,no,no,no_data,none,no,tue,5,unknown,normal_3_5,25_100M,unknown,spy_mild_up_0_5pct
APLD,macd_fast_crossover,2024-01-01,short,6.8106,reverse_signal,-7.4325,False,3,7.3168,2024-01-04,atr_trailing_stop,bull,Information Technology,HIGH,unknown,low_lt_15,medium_4_10d,loss,unknown,yes,12.45,0.07432531641852407,q4_ge_10pct,q4_ge_10pct,no,no,no_data,low_1_5,no,mon,90,unknown,normal_3_5,5_25M,unknown,spy_mild_up_0_5pct
EAT,macd_fast_crossover,2024-01-01,short,42.8159,reverse_signal,-1.092,False,1,43.2834,2024-01-02,atr_trailing_stop,bull,Consumer Discretionary,HIGH,unknown,low_lt_15,long_ge_11d,loss,unknown,yes,12.45,0.027520150224566105,q4_ge_10pct,q4_ge_10pct,no,yes,no_data,high_gt_20,yes,mon,90,unknown,normal_3_5,25_100M,unknown,spy_mild_up_0_5pct
CAT,macd_fast_crossover,2024-01-01,short,292.973,reverse_signal,0.9641,True,4,290.1485,2024-01-05,atr_trailing_stop,bull,Industrials,MEDIUM_HIGH,unknown,low_lt_15,long_ge_11d,loss,T1a,yes,12.45,0.019106197499428275,q4_ge_10pct,q4_ge_10pct,no,no,no_data,high_gt_20,yes,mon,90,unknown,normal_3_5,ge_500M,unknown,spy_mild_up_0_5pct
CE,macd_fast_crossover,2024-01-01,short,153.2802,reverse_signal,4.7059,True,18,146.0671,2024-01-19,atr_trailing_stop,bull,Materials,MEDIUM_HIGH,unknown,low_lt_15,long_ge_11d,loss,T1a,yes,12.45,0.01932278272079499,q4_ge_10pct,q4_ge_10pct,no,yes,no_data,high_gt_20,yes,mon,90,unknown,normal_3_5,100_500M,unknown,spy_mild_up_0_5pct
