strategy,exit_method,circuit_breaker_active_during_hold,n,win_rate,avg_pnl_pct,total_pnl_pct
macd_fast_crossover,atr_trail_1x,no_data,7,0.42857142857142855,-0.6339285714285715,-4.437500000000001
macd_fast_crossover,atr_trail_2x,no_data,7,0.5714285714285714,-1.7794,-12.4558
macd_fast_crossover,atr_trail_mae_conditional,no_data,7,0.42857142857142855,-0.6339285714285715,-4.437500000000001
macd_fast_crossover,atr_trail_vix_conditional,no_data,7,0.14285714285714285,-1.3242142857142858,-9.2695
macd_fast_crossover,break_even_at_1r,no_data,7,0.14285714285714285,-1.2887285714285714,-9.0211
macd_fast_crossover,breakeven_plus_trail,no_data,7,0.2857142857142857,-2.5117285714285713,-17.5821
macd_fast_crossover,chandelier_3x,no_data,7,0.0,-0.1980142857142857,-1.3860999999999999
macd_fast_crossover,class_time_stop,no_data,7,0.42857142857142855,1.3419142857142858,9.393400000000002
macd_fast_crossover,earnings_blackout,no_data,7,0.42857142857142855,-2.808642857142857,-19.6605
macd_fast_crossover,fixed_4r_2r,no_data,7,0.42857142857142855,-1.2981571428571428,-9.0871
macd_fast_crossover,hybrid_50pct_target,no_data,7,0.7142857142857143,0.09304285714285689,0.6512999999999982
macd_fast_crossover,ma_exit_ema9,no_data,7,0.42857142857142855,0.6140714285714287,4.298500000000001
macd_fast_crossover,mfe_lockin_trail,no_data,7,0.42857142857142855,-0.9194571428571429,-6.4362
macd_fast_crossover,multi_tier_partial,no_data,7,0.5714285714285714,-0.7092714285714286,-4.9649
macd_fast_crossover,next_pivot_target,no_data,7,0.5714285714285714,-1.4234571428571428,-9.9642
macd_fast_crossover,r_multiple_2r,no_data,7,0.5714285714285714,0.4297714285714284,3.008399999999999
macd_fast_crossover,r_multiple_3r,no_data,7,0.42857142857142855,0.13775714285714288,0.9643000000000002
macd_fast_crossover,regime_flip,no_data,7,0.5714285714285714,2.289028571428571,16.0232
macd_fast_crossover,reverse_signal,no_data,7,0.42857142857142855,-0.6339285714285715,-4.437500000000001
macd_fast_crossover,smc_mitigation_zone,no_data,7,0.2857142857142857,-1.4611857142857143,-10.2283
macd_fast_crossover,time_stop_10d,no_data,7,0.7142857142857143,4.574857142857143,32.024
macd_fast_crossover,time_stop_20d,no_data,7,0.5714285714285714,2.289028571428571,16.0232
macd_fast_crossover,trailing_10pct,no_data,7,0.2857142857142857,-4.0144,-28.1008
macd_fast_crossover,trailing_15pct,no_data,7,0.2857142857142857,-6.219,-43.533
macd_fast_crossover,trailing_5pct,no_data,7,0.5714285714285714,-0.21637142857142858,-1.5146
risk_off_bond_equity_short,atr_trail_1x,no_data,5,0.2,-0.65556,-3.2778
risk_off_bond_equity_short,atr_trail_2x,no_data,5,0.6,-0.9232199999999999,-4.616099999999999
risk_off_bond_equity_short,atr_trail_mae_conditional,no_data,5,0.2,-0.65556,-3.2778
risk_off_bond_equity_short,atr_trail_vix_conditional,no_data,5,0.0,-0.748,-3.74
risk_off_bond_equity_short,break_even_at_1r,no_data,5,0.0,-1.7404199999999999,-8.7021
risk_off_bond_equity_short,breakeven_plus_trail,no_data,5,0.2,-0.15277999999999992,-0.7638999999999996
risk_off_bond_equity_short,chandelier_3x,no_data,5,0.0,-0.48339999999999994,-2.417
risk_off_bond_equity_short,class_time_stop,no_data,5,0.4,-4.82292,-24.1146
risk_off_bond_equity_short,earnings_blackout,no_data,5,0.4,-10.75118,-53.7559
risk_off_bond_equity_short,fixed_4r_2r,no_data,5,0.2,-0.54808,-2.7404
risk_off_bond_equity_short,hybrid_50pct_target,no_data,5,0.4,-11.76266,-58.8133
risk_off_bond_equity_short,ma_exit_ema9,no_data,5,0.6,0.21944000000000002,1.0972000000000002
risk_off_bond_equity_short,mfe_lockin_trail,no_data,5,0.2,-0.62234,-3.1117
risk_off_bond_equity_short,multi_tier_partial,no_data,5,0.6,-0.27558000000000005,-1.3779000000000003
risk_off_bond_equity_short,next_pivot_target,no_data,5,0.4,-1.1675200000000001,-5.8376
risk_off_bond_equity_short,r_multiple_2r,no_data,5,0.4,0.7628999999999999,3.8145
risk_off_bond_equity_short,r_multiple_3r,no_data,5,0.2,-0.06146000000000011,-0.3073000000000006
risk_off_bond_equity_short,regime_flip,no_data,5,0.4,-3.5499,-17.7495
risk_off_bond_equity_short,reverse_signal,no_data,5,0.2,-0.65556,-3.2778
risk_off_bond_equity_short,smc_mitigation_zone,no_data,5,0.4,-0.34040000000000004,-1.7020000000000002
risk_off_bond_equity_short,time_stop_10d,no_data,5,0.6,0.6025200000000001,3.0126000000000004
risk_off_bond_equity_short,time_stop_20d,no_data,5,0.4,-3.5499,-17.7495
risk_off_bond_equity_short,trailing_10pct,no_data,5,0.2,-1.5601399999999996,-7.800699999999998
risk_off_bond_equity_short,trailing_15pct,no_data,5,0.2,-5.95806,-29.7903
risk_off_bond_equity_short,trailing_5pct,no_data,5,0.0,-1.22606,-6.1303
xs_low_beta_long,atr_trail_1x,no_data,6,0.0,-0.23013333333333333,-1.3808
xs_low_beta_long,atr_trail_2x,no_data,6,0.3333333333333333,1.4479,8.6874
xs_low_beta_long,atr_trail_mae_conditional,no_data,6,0.0,-0.23013333333333333,-1.3808
xs_low_beta_long,atr_trail_vix_conditional,no_data,6,0.0,-0.17431666666666668,-1.0459
xs_low_beta_long,break_even_at_1r,no_data,6,0.0,-0.08865,-0.5319
xs_low_beta_long,breakeven_plus_trail,no_data,6,0.5,4.748233333333334,28.489400000000003
xs_low_beta_long,chandelier_3x,no_data,6,0.5,5.71765,34.3059
xs_low_beta_long,class_time_stop,no_data,6,0.6666666666666666,3.8774333333333337,23.2646
xs_low_beta_long,earnings_blackout,no_data,6,0.8333333333333334,6.097616666666667,36.5857
xs_low_beta_long,fixed_4r_2r,no_data,6,0.5,1.2397166666666666,7.4383
xs_low_beta_long,hybrid_50pct_target,no_data,6,1.0,4.854733333333333,29.1284
xs_low_beta_long,ma_exit_ema9,no_data,6,0.5,1.595716666666667,9.574300000000001
xs_low_beta_long,mfe_lockin_trail,no_data,6,0.0,-0.23013333333333333,-1.3808
xs_low_beta_long,multi_tier_partial,no_data,6,1.0,0.9769,5.8614
xs_low_beta_long,next_pivot_target,no_data,6,1.0,1.0743166666666668,6.445900000000001
xs_low_beta_long,r_multiple_2r,no_data,6,0.6666666666666666,1.5654666666666666,9.3928
xs_low_beta_long,r_multiple_3r,no_data,6,0.3333333333333333,0.43735000000000007,2.6241000000000003
xs_low_beta_long,regime_flip,no_data,6,0.6666666666666666,3.326283333333333,19.9577
xs_low_beta_long,reverse_signal,no_data,6,0.0,-0.23013333333333333,-1.3808
xs_low_beta_long,smc_mitigation_zone,no_data,6,0.0,-0.23013333333333333,-1.3808
xs_low_beta_long,time_stop_10d,no_data,6,0.6666666666666666,1.3624666666666665,8.1748
xs_low_beta_long,time_stop_20d,no_data,6,0.6666666666666666,3.326283333333333,19.9577
xs_low_beta_long,trailing_10pct,no_data,6,0.8333333333333334,4.894516666666667,29.3671
xs_low_beta_long,trailing_15pct,no_data,6,0.8333333333333334,5.682433333333333,34.0946
xs_low_beta_long,trailing_5pct,no_data,6,0.5,5.03315,30.1989
