strategy,exit_method,universe_tier,n,win_rate,avg_pnl_pct,total_pnl_pct
macd_fast_crossover,atr_trail_1x,T1a,3,0.6666666666666666,1.8537,5.5611
macd_fast_crossover,atr_trail_1x,T2,1,0.0,-3.1018,-3.1018
macd_fast_crossover,atr_trail_1x,T3,1,1.0,1.6277,1.6277
macd_fast_crossover,atr_trail_1x,unknown,2,0.0,-4.26225,-8.5245
macd_fast_crossover,atr_trail_2x,T1a,3,0.6666666666666666,0.8458,2.5374
macd_fast_crossover,atr_trail_2x,T2,1,0.0,-6.2036,-6.2036
macd_fast_crossover,atr_trail_2x,T3,1,1.0,1.6277,1.6277
macd_fast_crossover,atr_trail_2x,unknown,2,0.5,-5.2086500000000004,-10.417300000000001
macd_fast_crossover,atr_trail_mae_conditional,T1a,3,0.6666666666666666,1.8537,5.5611
macd_fast_crossover,atr_trail_mae_conditional,T2,1,0.0,-3.1018,-3.1018
macd_fast_crossover,atr_trail_mae_conditional,T3,1,1.0,1.6277,1.6277
macd_fast_crossover,atr_trail_mae_conditional,unknown,2,0.0,-4.26225,-8.5245
macd_fast_crossover,atr_trail_vix_conditional,T1a,3,0.3333333333333333,-0.031633333333333326,-0.09489999999999998
macd_fast_crossover,atr_trail_vix_conditional,T2,1,0.0,-2.4479,-2.4479
macd_fast_crossover,atr_trail_vix_conditional,T3,1,0.0,-0.7688,-0.7688
macd_fast_crossover,atr_trail_vix_conditional,unknown,2,0.0,-2.9789499999999998,-5.9578999999999995
macd_fast_crossover,break_even_at_1r,T1a,3,0.0,-0.0363,-0.1089
macd_fast_crossover,break_even_at_1r,T2,1,0.0,-3.1018,-3.1018
macd_fast_crossover,break_even_at_1r,T3,1,0.0,-0.2368,-0.2368
macd_fast_crossover,break_even_at_1r,unknown,2,0.5,-2.7868,-5.5736
macd_fast_crossover,breakeven_plus_trail,T1a,3,0.0,0.0,0.0
macd_fast_crossover,breakeven_plus_trail,T2,1,0.0,-6.2036,-6.2036
macd_fast_crossover,breakeven_plus_trail,T3,1,1.0,1.6277,1.6277
macd_fast_crossover,breakeven_plus_trail,unknown,2,0.5,-6.5031,-13.0062
macd_fast_crossover,chandelier_3x,T1a,3,0.0,-0.1535,-0.4605
macd_fast_crossover,chandelier_3x,T2,1,0.0,-0.1839,-0.1839
macd_fast_crossover,chandelier_3x,T3,1,0.0,-0.3071,-0.3071
macd_fast_crossover,chandelier_3x,unknown,2,0.0,-0.2173,-0.4346
macd_fast_crossover,class_time_stop,T1a,3,0.3333333333333333,-3.9753333333333334,-11.926
