entry_date,sector,trades,total_trades,sector_pct
2023-07-03,Broad Market,1,2,50.0
2023-07-03,Communication Services,1,2,50.0
2023-07-05,Consumer Discretionary,1,2,50.0
2023-07-05,Information Technology,1,2,50.0
2023-07-06,Information Technology,1,1,100.0
2023-07-10,Information Technology,1,1,100.0
2023-07-31,Communication Services,1,1,100.0
2023-08-14,Information Technology,1,1,100.0
2023-09-11,Information Technology,1,1,100.0
2023-09-18,Information Technology,1,1,100.0
2023-10-02,Consumer Discretionary,1,1,100.0
2023-10-03,Broad Market,1,1,100.0
2023-11-27,Information Technology,1,1,100.0
2023-12-25,Communication Services,1,1,100.0
