strategy,exit_method,win_loss_outcome,n,win_rate,avg_pnl_pct,total_pnl_pct
avwap_252_breakout,atr_trail_1x,loss,2,0.0,-2.8951000000000002,-5.7902000000000005
avwap_252_breakout,atr_trail_1x,win,4,0.25,-0.5037,-2.0148
avwap_252_breakout,atr_trail_2x,loss,2,0.5,-2.22885,-4.4577
avwap_252_breakout,atr_trail_2x,win,4,0.0,-2.25205,-9.0082
avwap_252_breakout,atr_trail_mae_conditional,loss,2,0.0,-2.8951000000000002,-5.7902000000000005
avwap_252_breakout,atr_trail_mae_conditional,win,4,0.25,-0.5037,-2.0148
avwap_252_breakout,atr_trail_vix_conditional,loss,2,0.0,-4.4769,-8.9538
avwap_252_breakout,atr_trail_vix_conditional,win,4,0.25,-0.987675,-3.9507
avwap_252_breakout,break_even_at_1r,loss,2,0.0,-4.8314,-9.6628
avwap_252_breakout,break_even_at_1r,win,4,0.0,-1.02875,-4.115
avwap_252_breakout,breakeven_plus_trail,loss,2,0.0,0.0,0.0
avwap_252_breakout,breakeven_plus_trail,win,4,0.5,9.233375,36.9335
avwap_252_breakout,chandelier_3x,loss,2,0.0,-2.29205,-4.5841
avwap_252_breakout,chandelier_3x,win,4,0.25,1.4607500000000002,5.843000000000001
avwap_252_breakout,class_time_stop,loss,2,1.0,5.26435,10.5287
avwap_252_breakout,class_time_stop,win,4,0.75,1.2136249999999995,4.854499999999998
avwap_252_breakout,earnings_blackout,loss,2,0.5,22.860500000000002,45.721000000000004
avwap_252_breakout,earnings_blackout,win,4,0.25,46.996399999999994,187.98559999999998
avwap_252_breakout,fixed_4r_2r,loss,2,0.5,9.49445,18.9889
avwap_252_breakout,fixed_4r_2r,win,4,0.5,3.37425,13.497
avwap_252_breakout,hybrid_50pct_target,loss,2,0.5,-5.16695,-10.3339
avwap_252_breakout,hybrid_50pct_target,win,4,0.75,5.546774999999999,22.187099999999997
avwap_252_breakout,ma_exit_ema9,loss,2,0.0,-3.3491,-6.6982
avwap_252_breakout,ma_exit_ema9,win,4,0.75,2.4928,9.9712
avwap_252_breakout,mfe_lockin_trail,loss,2,0.0,-2.8951000000000002,-5.7902000000000005
avwap_252_breakout,mfe_lockin_trail,win,4,0.25,-0.31182499999999996,-1.2472999999999999
avwap_252_breakout,multi_tier_partial,loss,2,0.0,-2.8951000000000002,-5.7902000000000005
avwap_252_breakout,multi_tier_partial,win,4,0.75,0.170625,0.6825
avwap_252_breakout,next_pivot_target,loss,2,1.0,0.2099,0.4198
avwap_252_breakout,next_pivot_target,win,4,0.75,1.3937249999999999,5.5748999999999995
avwap_252_breakout,r_multiple_2r,loss,2,0.0,-4.8314,-9.6628
avwap_252_breakout,r_multiple_2r,win,4,0.5,1.492,5.968
avwap_252_breakout,r_multiple_3r,loss,2,0.0,-4.8314,-9.6628
avwap_252_breakout,r_multiple_3r,win,4,0.25,0.04042499999999982,0.1616999999999993
avwap_252_breakout,regime_flip,loss,2,0.0,-5.61835,-11.2367
avwap_252_breakout,regime_flip,win,4,0.75,1.6834250000000002,6.733700000000001
avwap_252_breakout,reverse_signal,loss,2,0.0,-2.8951000000000002,-5.7902000000000005
avwap_252_breakout,reverse_signal,win,4,0.25,-0.5037,-2.0148
avwap_252_breakout,smc_mitigation_zone,loss,2,0.0,-2.8161500000000004,-5.632300000000001
avwap_252_breakout,smc_mitigation_zone,win,4,0.5,-0.45135,-1.8054
avwap_252_breakout,time_stop_10d,loss,2,0.5,1.89875,3.7975
avwap_252_breakout,time_stop_10d,win,4,0.25,2.0513500000000002,8.205400000000001
avwap_252_breakout,time_stop_20d,loss,2,0.0,-5.61835,-11.2367
avwap_252_breakout,time_stop_20d,win,4,0.75,1.6834250000000002,6.733700000000001
avwap_252_breakout,trailing_10pct,loss,2,0.0,-5.325950000000001,-10.651900000000001
avwap_252_breakout,trailing_10pct,win,4,0.5,6.341799999999999,25.367199999999997
avwap_252_breakout,trailing_15pct,loss,2,0.0,-7.3558,-14.7116
avwap_252_breakout,trailing_15pct,win,4,0.25,1.81825,7.273
avwap_252_breakout,trailing_5pct,loss,2,0.0,-2.34945,-4.6989
avwap_252_breakout,trailing_5pct,win,4,0.0,-1.4787,-5.9148
buyback_8k_recent_long,atr_trail_1x,loss,5,0.2,-1.6854600000000002,-8.4273
buyback_8k_recent_long,atr_trail_1x,win,9,0.4444444444444444,0.23077777777777778,2.077
buyback_8k_recent_long,atr_trail_2x,loss,5,0.2,-2.79624,-13.9812
buyback_8k_recent_long,atr_trail_2x,win,9,0.8888888888888888,6.205788888888889,55.8521
buyback_8k_recent_long,atr_trail_mae_conditional,loss,5,0.2,-1.6854600000000002,-8.4273
buyback_8k_recent_long,atr_trail_mae_conditional,win,9,0.4444444444444444,0.23077777777777778,2.077
buyback_8k_recent_long,atr_trail_vix_conditional,loss,5,0.2,-2.27942,-11.3971
buyback_8k_recent_long,atr_trail_vix_conditional,win,9,0.3333333333333333,-0.24918888888888885,-2.2426999999999997
buyback_8k_recent_long,break_even_at_1r,loss,5,0.0,-1.23184,-6.1592
buyback_8k_recent_long,break_even_at_1r,win,9,0.1111111111111111,2.326966666666667,20.942700000000002
buyback_8k_recent_long,breakeven_plus_trail,loss,5,0.2,-2.2281199999999997,-11.1406
buyback_8k_recent_long,breakeven_plus_trail,win,9,0.6666666666666666,13.597488888888888,122.3774
buyback_8k_recent_long,chandelier_3x,loss,5,0.2,-3.357,-16.785
buyback_8k_recent_long,chandelier_3x,win,9,0.7777777777777778,6.125966666666667,55.1337
buyback_8k_recent_long,class_time_stop,loss,5,0.8,2.07282,10.3641
buyback_8k_recent_long,class_time_stop,win,9,1.0,7.99078888888889,71.9171
buyback_8k_recent_long,earnings_blackout,loss,5,0.6,15.908979999999996,79.54489999999998
buyback_8k_recent_long,earnings_blackout,win,9,0.8888888888888888,56.66486666666666,509.9838
buyback_8k_recent_long,fixed_4r_2r,loss,5,0.2,-2.2186399999999997,-11.0932
buyback_8k_recent_long,fixed_4r_2r,win,9,1.0,9.127044444444444,82.1434
buyback_8k_recent_long,hybrid_50pct_target,loss,5,0.4,-3.68738,-18.4369
buyback_8k_recent_long,hybrid_50pct_target,win,9,1.0,10.397166666666667,93.5745
buyback_8k_recent_long,ma_exit_ema9,loss,5,0.2,-2.07252,-10.3626
buyback_8k_recent_long,ma_exit_ema9,win,9,0.7777777777777778,1.5219555555555555,13.6976
buyback_8k_recent_long,mfe_lockin_trail,loss,5,0.2,-1.6854600000000002,-8.4273
buyback_8k_recent_long,mfe_lockin_trail,win,9,0.4444444444444444,0.5844333333333332,5.259899999999999
buyback_8k_recent_long,multi_tier_partial,loss,5,0.4,-0.5556000000000001,-2.7780000000000005
buyback_8k_recent_long,multi_tier_partial,win,9,0.6666666666666666,0.5570111111111111,5.0131
buyback_8k_recent_long,next_pivot_target,loss,5,0.6,-0.7037,-3.5185
buyback_8k_recent_long,next_pivot_target,win,9,1.0,4.648077777777778,41.8327
buyback_8k_recent_long,r_multiple_2r,loss,5,0.2,-1.1093,-5.5465
buyback_8k_recent_long,r_multiple_2r,win,9,0.7777777777777778,3.4739222222222224,31.2653
buyback_8k_recent_long,r_multiple_3r,loss,5,0.2,-0.6895999999999999,-3.4479999999999995
buyback_8k_recent_long,r_multiple_3r,win,9,0.7777777777777778,5.146133333333334,46.315200000000004
buyback_8k_recent_long,regime_flip,loss,5,0.4,-0.46345999999999987,-2.3172999999999995
buyback_8k_recent_long,regime_flip,win,9,1.0,9.641166666666667,86.7705
buyback_8k_recent_long,reverse_signal,loss,5,0.2,-1.6854600000000002,-8.4273
buyback_8k_recent_long,reverse_signal,win,9,0.4444444444444444,0.23077777777777778,2.077
buyback_8k_recent_long,smc_mitigation_zone,loss,5,0.2,-1.6854600000000002,-8.4273
buyback_8k_recent_long,smc_mitigation_zone,win,9,0.4444444444444444,0.21922222222222226,1.9730000000000003
buyback_8k_recent_long,time_stop_10d,loss,5,0.2,-2.2173,-11.0865
buyback_8k_recent_long,time_stop_10d,win,9,0.8888888888888888,6.216955555555556,55.952600000000004
buyback_8k_recent_long,time_stop_20d,loss,5,0.4,-0.46345999999999987,-2.3172999999999995
buyback_8k_recent_long,time_stop_20d,win,9,1.0,9.641166666666667,86.7705
buyback_8k_recent_long,trailing_10pct,loss,5,0.4,-1.7807000000000002,-8.903500000000001
buyback_8k_recent_long,trailing_10pct,win,9,1.0,15.535144444444446,139.8163
buyback_8k_recent_long,trailing_15pct,loss,5,0.6,23.38572,116.9286
buyback_8k_recent_long,trailing_15pct,win,9,0.8888888888888888,13.378888888888888,120.41
buyback_8k_recent_long,trailing_5pct,loss,5,0.2,-3.06406,-15.3203
buyback_8k_recent_long,trailing_5pct,win,9,0.8888888888888888,5.5517,49.9653
cpr_narrow_bullish,atr_trail_1x,loss,7,0.14285714285714285,-1.9973714285714286,-13.9816
cpr_narrow_bullish,atr_trail_1x,win,4,0.25,-1.45085,-5.8034
cpr_narrow_bullish,atr_trail_2x,loss,7,0.14285714285714285,-3.7785285714285712,-26.4497
cpr_narrow_bullish,atr_trail_2x,win,4,0.75,2.9898499999999997,11.959399999999999
cpr_narrow_bullish,atr_trail_mae_conditional,loss,7,0.14285714285714285,-1.9973714285714286,-13.9816
cpr_narrow_bullish,atr_trail_mae_conditional,win,4,0.25,-1.45085,-5.8034
cpr_narrow_bullish,atr_trail_vix_conditional,loss,7,0.14285714285714285,-2.2274,-15.5918
cpr_narrow_bullish,atr_trail_vix_conditional,win,4,0.25,-1.802175,-7.2087
cpr_narrow_bullish,break_even_at_1r,loss,7,0.0,-1.809257142857143,-12.6648
cpr_narrow_bullish,break_even_at_1r,win,4,0.25,0.66435,2.6574
cpr_narrow_bullish,breakeven_plus_trail,loss,7,0.0,-3.0953714285714287,-21.6676
