strategy,exit_method,news_sentiment_shift_during_hold,n,win_rate,avg_pnl_pct,total_pnl_pct
buyback_8k_recent_long,atr_trail_1x,high_gt_20,3,0.3333333333333333,-0.7392666666666666,-2.2178
buyback_8k_recent_long,atr_trail_1x,low_1_5,5,0.2,-1.20764,-6.0382
buyback_8k_recent_long,atr_trail_1x,mid_6_20,5,0.4,-1.4197799999999998,-7.0988999999999995
buyback_8k_recent_long,atr_trail_1x,none,1,0.0,-0.1282,-0.1282
buyback_8k_recent_long,atr_trail_2x,high_gt_20,3,0.6666666666666666,-0.7925333333333332,-2.3775999999999997
buyback_8k_recent_long,atr_trail_2x,low_1_5,5,0.0,-3.9867800000000004,-19.9339
buyback_8k_recent_long,atr_trail_2x,mid_6_20,5,0.2,-4.85102,-24.2551
buyback_8k_recent_long,atr_trail_2x,none,1,1.0,0.2674,0.2674
buyback_8k_recent_long,atr_trail_mae_conditional,high_gt_20,3,0.3333333333333333,-0.7392666666666666,-2.2178
buyback_8k_recent_long,atr_trail_mae_conditional,low_1_5,5,0.2,-1.20764,-6.0382
buyback_8k_recent_long,atr_trail_mae_conditional,mid_6_20,5,0.4,-1.4197799999999998,-7.0988999999999995
buyback_8k_recent_long,atr_trail_mae_conditional,none,1,0.0,-0.1282,-0.1282
buyback_8k_recent_long,atr_trail_vix_conditional,high_gt_20,3,0.3333333333333333,-1.3661666666666668,-4.0985000000000005
buyback_8k_recent_long,atr_trail_vix_conditional,low_1_5,5,0.2,-2.0893,-10.4465
buyback_8k_recent_long,atr_trail_vix_conditional,mid_6_20,5,0.2,-2.66082,-13.3041
buyback_8k_recent_long,atr_trail_vix_conditional,none,1,1.0,0.4175,0.4175
buyback_8k_recent_long,break_even_at_1r,high_gt_20,3,0.0,-1.0632333333333333,-3.1896999999999998
buyback_8k_recent_long,break_even_at_1r,low_1_5,5,0.0,-2.07684,-10.3842
buyback_8k_recent_long,break_even_at_1r,mid_6_20,5,0.0,-1.4001199999999998,-7.0005999999999995
buyback_8k_recent_long,break_even_at_1r,none,1,0.0,-0.1282,-0.1282
buyback_8k_recent_long,breakeven_plus_trail,high_gt_20,3,0.0,-2.0463999999999998,-6.1392
buyback_8k_recent_long,breakeven_plus_trail,low_1_5,5,0.2,-1.59812,-7.9906
buyback_8k_recent_long,breakeven_plus_trail,mid_6_20,5,0.0,-4.137639999999999,-20.6882
buyback_8k_recent_long,breakeven_plus_trail,none,1,0.0,0.0,0.0
