strategy,exit_method,sector,n,win_rate,avg_pnl_pct,total_pnl_pct
buyback_8k_recent_long,atr_trail_1x,Communication Services,1,0.0,-3.0696,-3.0696
buyback_8k_recent_long,atr_trail_1x,Consumer Discretionary,2,0.5,-0.6804500000000001,-1.3609000000000002
buyback_8k_recent_long,atr_trail_1x,Consumer Staples,3,0.3333333333333333,-0.11086666666666667,-0.3326
buyback_8k_recent_long,atr_trail_1x,Financials,1,0.0,-0.1282,-0.1282
buyback_8k_recent_long,atr_trail_1x,Health Care,1,0.0,-2.536,-2.536
buyback_8k_recent_long,atr_trail_1x,Industrials,2,0.0,-1.5151,-3.0302
buyback_8k_recent_long,atr_trail_1x,Information Technology,4,0.5,-1.2564,-5.0256
buyback_8k_recent_long,atr_trail_2x,Communication Services,1,0.0,-6.1392,-6.1392
buyback_8k_recent_long,atr_trail_2x,Consumer Discretionary,2,0.5,-2.5025000000000004,-5.005000000000001
buyback_8k_recent_long,atr_trail_2x,Consumer Staples,3,0.6666666666666666,-0.3804333333333334,-1.1413000000000002
buyback_8k_recent_long,atr_trail_2x,Financials,1,1.0,0.2674,0.2674
buyback_8k_recent_long,atr_trail_2x,Health Care,1,0.0,-5.2507,-5.2507
buyback_8k_recent_long,atr_trail_2x,Industrials,2,0.0,-3.9517999999999995,-7.903599999999999
buyback_8k_recent_long,atr_trail_2x,Information Technology,4,0.0,-5.2817,-21.1268
buyback_8k_recent_long,atr_trail_mae_conditional,Communication Services,1,0.0,-3.0696,-3.0696
buyback_8k_recent_long,atr_trail_mae_conditional,Consumer Discretionary,2,0.5,-0.6804500000000001,-1.3609000000000002
buyback_8k_recent_long,atr_trail_mae_conditional,Consumer Staples,3,0.3333333333333333,-0.11086666666666667,-0.3326
buyback_8k_recent_long,atr_trail_mae_conditional,Financials,1,0.0,-0.1282,-0.1282
buyback_8k_recent_long,atr_trail_mae_conditional,Health Care,1,0.0,-2.536,-2.536
buyback_8k_recent_long,atr_trail_mae_conditional,Industrials,2,0.0,-1.5151,-3.0302
buyback_8k_recent_long,atr_trail_mae_conditional,Information Technology,4,0.5,-1.2564,-5.0256
buyback_8k_recent_long,atr_trail_vix_conditional,Communication Services,1,0.0,-4.9503,-4.9503
buyback_8k_recent_long,atr_trail_vix_conditional,Consumer Discretionary,2,0.5,-0.21920000000000006,-0.4384000000000001
buyback_8k_recent_long,atr_trail_vix_conditional,Consumer Staples,3,0.3333333333333333,-0.5935,-1.7805
buyback_8k_recent_long,atr_trail_vix_conditional,Financials,1,1.0,0.4175,0.4175
buyback_8k_recent_long,atr_trail_vix_conditional,Health Care,1,0.0,-3.8934,-3.8934
buyback_8k_recent_long,atr_trail_vix_conditional,Industrials,2,0.0,-2.73345,-5.4669
buyback_8k_recent_long,atr_trail_vix_conditional,Information Technology,4,0.25,-2.8299,-11.3196
buyback_8k_recent_long,break_even_at_1r,Communication Services,1,0.0,-3.0696,-3.0696
buyback_8k_recent_long,break_even_at_1r,Consumer Discretionary,2,0.0,-0.08635,-0.1727
buyback_8k_recent_long,break_even_at_1r,Consumer Staples,3,0.0,-0.7021000000000001,-2.1063
