strategy,regime,trades,win_rate,avg_pnl,total_roi
avwap_252_breakout,neutral,3,0.0,-4.0013,-12.0039
buyback_8k_recent_long,neutral,14,0.1429,-4.1319,-57.8469
cmf_flip,neutral,3,0.3333,-3.7372,-11.2116
cpr_narrow_bullish,neutral,17,0.2941,-1.2046,-20.4777
htf_aligned_breakout_long,neutral,3,0.3333,3.1353,9.406
hull_rsi,neutral,3,0.3333,1.961,5.8831
monthly_bias_momentum_long,neutral,24,0.375,1.717,41.2088
po3_bullish,neutral,12,0.25,-2.2916,-27.4993
po3_htf_aligned_long,neutral,4,0.25,-2.2792,-9.1167
smc_fvg_retest_long,neutral,3,0.0,-6.4986,-19.4957
smc_inverse_fvg,crisis_CRISIS_FLAG,7,0.1429,-4.1082,-28.7573
smc_inverse_fvg,neutral,95,0.1789,-4.3312,-411.4638
supertrend_macd,neutral,4,0.25,-4.1153,-16.4613
williams_r_oversold,neutral,7,0.4286,3.0098,21.0684
xs_momentum_top_decile,neutral,18,0.3889,-0.1758,-3.1642
