strategy,exit_method,mae_bucket,n,win_rate,avg_pnl_pct,total_pnl_pct
buyback_8k_recent_long,atr_trail_1x,q1_lt_2pct,5,0.2,-1.2049800000000002,-6.024900000000001
buyback_8k_recent_long,atr_trail_1x,q4_ge_10pct,8,0.0,-2.441225,-19.5298
buyback_8k_recent_long,atr_trail_2x,q1_lt_2pct,5,0.6,2.2584,11.292
buyback_8k_recent_long,atr_trail_2x,q4_ge_10pct,8,0.375,-1.5053875,-12.0431
buyback_8k_recent_long,atr_trail_mae_conditional,q1_lt_2pct,5,0.2,-1.2049800000000002,-6.024900000000001
buyback_8k_recent_long,atr_trail_mae_conditional,q4_ge_10pct,8,0.0,-2.441225,-19.5298
buyback_8k_recent_long,atr_trail_vix_conditional,q1_lt_2pct,5,0.6,2.60916,13.0458
buyback_8k_recent_long,atr_trail_vix_conditional,q4_ge_10pct,8,0.0,-3.5308375,-28.2467
buyback_8k_recent_long,break_even_at_1r,q1_lt_2pct,5,0.0,-1.1277000000000001,-5.6385000000000005
buyback_8k_recent_long,break_even_at_1r,q4_ge_10pct,8,0.0,-2.7839,-22.2712
buyback_8k_recent_long,breakeven_plus_trail,q1_lt_2pct,5,0.6,5.5256799999999995,27.6284
buyback_8k_recent_long,breakeven_plus_trail,q4_ge_10pct,8,0.25,-1.5310375,-12.2483
buyback_8k_recent_long,chandelier_3x,q1_lt_2pct,5,0.8,3.9604799999999996,19.8024
buyback_8k_recent_long,chandelier_3x,q4_ge_10pct,8,0.25,-2.2224000000000004,-17.779200000000003
buyback_8k_recent_long,class_time_stop,q1_lt_2pct,5,1.0,7.583239999999999,37.916199999999996
buyback_8k_recent_long,class_time_stop,q4_ge_10pct,8,0.375,-4.1744875,-33.3959
buyback_8k_recent_long,earnings_blackout,q1_lt_2pct,5,0.8,9.755439999999998,48.77719999999999
buyback_8k_recent_long,earnings_blackout,q4_ge_10pct,8,0.375,6.0094875,48.0759
buyback_8k_recent_long,fixed_4r_2r,q1_lt_2pct,5,0.6,4.3063400000000005,21.5317
buyback_8k_recent_long,fixed_4r_2r,q4_ge_10pct,8,0.25,-1.7457125000000002,-13.965700000000002
buyback_8k_recent_long,hybrid_50pct_target,q1_lt_2pct,5,1.0,5.3492,26.746
buyback_8k_recent_long,hybrid_50pct_target,q4_ge_10pct,8,0.375,-3.7561375000000004,-30.049100000000003
buyback_8k_recent_long,ma_exit_ema9,q1_lt_2pct,5,0.6,2.50838,12.5419
buyback_8k_recent_long,ma_exit_ema9,q4_ge_10pct,8,0.25,-1.7280625,-13.8245
buyback_8k_recent_long,mfe_lockin_trail,q1_lt_2pct,5,0.2,-1.2049800000000002,-6.024900000000001
buyback_8k_recent_long,mfe_lockin_trail,q4_ge_10pct,8,0.0,-2.441225,-19.5298
buyback_8k_recent_long,multi_tier_partial,q1_lt_2pct,5,0.4,-0.7639,-3.8195
buyback_8k_recent_long,multi_tier_partial,q4_ge_10pct,8,0.0,-2.25555,-18.0444
buyback_8k_recent_long,next_pivot_target,q1_lt_2pct,5,0.8,1.1900799999999998,5.950399999999999
buyback_8k_recent_long,next_pivot_target,q4_ge_10pct,8,0.375,-2.2789875,-18.2319
buyback_8k_recent_long,r_multiple_2r,q1_lt_2pct,5,0.4,0.98916,4.9458
buyback_8k_recent_long,r_multiple_2r,q4_ge_10pct,8,0.0,-2.9096125,-23.2769
buyback_8k_recent_long,r_multiple_3r,q1_lt_2pct,5,0.4,2.01462,10.0731
buyback_8k_recent_long,r_multiple_3r,q4_ge_10pct,8,0.0,-2.9096125,-23.2769
buyback_8k_recent_long,regime_flip,q1_lt_2pct,5,0.8,5.81602,29.080099999999998
buyback_8k_recent_long,regime_flip,q4_ge_10pct,8,0.375,-3.848,-30.784
buyback_8k_recent_long,reverse_signal,q1_lt_2pct,5,0.2,-1.2049800000000002,-6.024900000000001
buyback_8k_recent_long,reverse_signal,q4_ge_10pct,8,0.0,-2.441225,-19.5298
buyback_8k_recent_long,smc_mitigation_zone,q1_lt_2pct,5,0.2,-1.2049800000000002,-6.024900000000001
buyback_8k_recent_long,smc_mitigation_zone,q4_ge_10pct,8,0.0,-2.441225,-19.5298
buyback_8k_recent_long,time_stop_10d,q1_lt_2pct,5,0.8,2.0702000000000003,10.351
buyback_8k_recent_long,time_stop_10d,q4_ge_10pct,8,0.25,-3.5659,-28.5272
buyback_8k_recent_long,time_stop_20d,q1_lt_2pct,5,0.8,5.81602,29.080099999999998
buyback_8k_recent_long,time_stop_20d,q4_ge_10pct,8,0.375,-3.848,-30.784
buyback_8k_recent_long,trailing_10pct,q1_lt_2pct,5,0.8,3.6366199999999997,18.1831
buyback_8k_recent_long,trailing_10pct,q4_ge_10pct,8,0.375,-2.685375,-21.483
buyback_8k_recent_long,trailing_15pct,q1_lt_2pct,5,0.6,4.08522,20.426099999999998
