strategy,exit_method,entry_atr_ratio,n,win_rate,avg_pnl_pct,total_pnl_pct
buyback_8k_recent_long,atr_trail_1x,0.012829334650976947,1,0.0,-0.3086,-0.3086
buyback_8k_recent_long,atr_trail_1x,0.014469532095515795,1,0.0,-0.9155,-0.9155
buyback_8k_recent_long,atr_trail_1x,0.015075386652735424,1,0.0,-1.5075,-1.5075
buyback_8k_recent_long,atr_trail_1x,0.01610457703155041,1,0.0,-1.099,-1.099
buyback_8k_recent_long,atr_trail_1x,0.016770735425883688,1,0.0,-0.2942,-0.2942
buyback_8k_recent_long,atr_trail_1x,0.016772677040924684,1,1.0,0.4129,0.4129
buyback_8k_recent_long,atr_trail_1x,0.017809385673513308,1,0.0,-0.1294,-0.1294
buyback_8k_recent_long,atr_trail_1x,0.017863199377191448,1,0.0,-0.6666,-0.6666
buyback_8k_recent_long,atr_trail_1x,0.017863580844420458,1,0.0,-1.7864,-1.7864
buyback_8k_recent_long,atr_trail_1x,0.018564967040538543,1,0.0,-0.3076,-0.3076
buyback_8k_recent_long,atr_trail_1x,0.018840275841729703,1,0.0,-1.1159,-1.1159
buyback_8k_recent_long,atr_trail_1x,0.019206917204952396,1,0.0,-0.4243,-0.4243
buyback_8k_recent_long,atr_trail_1x,0.019326913561663116,1,0.0,-1.0547,-1.0547
buyback_8k_recent_long,atr_trail_1x,0.020648827605037712,1,0.0,-0.476,-0.476
buyback_8k_recent_long,atr_trail_1x,0.02138207378698132,1,0.0,-2.1382,-2.1382
buyback_8k_recent_long,atr_trail_1x,0.023186095516488977,1,1.0,0.1501,0.1501
buyback_8k_recent_long,atr_trail_1x,0.024127886253407706,1,1.0,5.7033,5.7033
buyback_8k_recent_long,atr_trail_1x,0.024873348146794007,1,0.0,-2.4873,-2.4873
buyback_8k_recent_long,atr_trail_1x,0.02633403597624464,1,0.0,-2.3791,-2.3791
buyback_8k_recent_long,atr_trail_1x,0.027254129413547507,1,0.0,-1.2059,-1.2059
buyback_8k_recent_long,atr_trail_1x,0.02818979755472707,1,1.0,2.9201,2.9201
buyback_8k_recent_long,atr_trail_1x,0.02858784028925925,1,0.0,-0.7906,-0.7906
buyback_8k_recent_long,atr_trail_1x,0.033363018120550564,1,0.0,-0.1506,-0.1506
buyback_8k_recent_long,atr_trail_1x,0.03397849291367781,1,0.0,-3.3978,-3.3978
buyback_8k_recent_long,atr_trail_1x,0.03466360953516777,1,0.0,-3.4664,-3.4664
buyback_8k_recent_long,atr_trail_1x,0.04358381724048577,1,0.0,-4.3584,-4.3584
buyback_8k_recent_long,atr_trail_2x,0.012829334650976947,1,1.0,3.7583,3.7583
buyback_8k_recent_long,atr_trail_2x,0.014469532095515795,1,1.0,1.2503,1.2503
buyback_8k_recent_long,atr_trail_2x,0.015075386652735424,1,0.0,-3.0151,-3.0151
buyback_8k_recent_long,atr_trail_2x,0.01610457703155041,1,1.0,1.8047,1.8047
buyback_8k_recent_long,atr_trail_2x,0.016770735425883688,1,0.0,-1.8435,-1.8435
buyback_8k_recent_long,atr_trail_2x,0.016772677040924684,1,1.0,13.8793,13.8793
buyback_8k_recent_long,atr_trail_2x,0.017809385673513308,1,1.0,5.9615,5.9615
buyback_8k_recent_long,atr_trail_2x,0.017863199377191448,1,0.0,-2.2982,-2.2982
buyback_8k_recent_long,atr_trail_2x,0.017863580844420458,1,0.0,-3.5727,-3.5727
buyback_8k_recent_long,atr_trail_2x,0.018564967040538543,1,1.0,10.9107,10.9107
buyback_8k_recent_long,atr_trail_2x,0.018840275841729703,1,1.0,2.3622,2.3622
buyback_8k_recent_long,atr_trail_2x,0.019206917204952396,1,0.0,-2.3465,-2.3465
buyback_8k_recent_long,atr_trail_2x,0.019326913561663116,1,0.0,-2.1302,-2.1302
buyback_8k_recent_long,atr_trail_2x,0.020648827605037712,1,1.0,0.4987,0.4987
buyback_8k_recent_long,atr_trail_2x,0.02138207378698132,1,0.0,-4.2764,-4.2764
buyback_8k_recent_long,atr_trail_2x,0.023186095516488977,1,1.0,7.5276,7.5276
buyback_8k_recent_long,atr_trail_2x,0.024127886253407706,1,1.0,3.729,3.729
buyback_8k_recent_long,atr_trail_2x,0.024873348146794007,1,1.0,1.2908,1.2908
buyback_8k_recent_long,atr_trail_2x,0.02633403597624464,1,0.0,-0.3138,-0.3138
buyback_8k_recent_long,atr_trail_2x,0.027254129413547507,1,0.0,-0.4348,-0.4348
buyback_8k_recent_long,atr_trail_2x,0.02818979755472707,1,1.0,3.0044,3.0044
buyback_8k_recent_long,atr_trail_2x,0.02858784028925925,1,0.0,-2.6702,-2.6702
buyback_8k_recent_long,atr_trail_2x,0.033363018120550564,1,1.0,20.2407,20.2407
buyback_8k_recent_long,atr_trail_2x,0.03397849291367781,1,1.0,1.7924,1.7924
buyback_8k_recent_long,atr_trail_2x,0.03466360953516777,1,0.0,-2.5586,-2.5586
buyback_8k_recent_long,atr_trail_2x,0.04358381724048577,1,0.0,-9.6794,-9.6794
buyback_8k_recent_long,atr_trail_mae_conditional,0.012829334650976947,1,0.0,-0.3086,-0.3086
buyback_8k_recent_long,atr_trail_mae_conditional,0.014469532095515795,1,0.0,-0.9155,-0.9155
buyback_8k_recent_long,atr_trail_mae_conditional,0.015075386652735424,1,0.0,-1.5075,-1.5075
