strategy,exit_method,hold_duration_band,n,win_rate,avg_pnl_pct,total_pnl_pct
buyback_8k_recent_long,atr_trail_1x,long_ge_11d,22,0.13636363636363635,-0.6092500000000001,-13.403500000000001
buyback_8k_recent_long,atr_trail_1x,medium_4_10d,1,0.0,-4.3584,-4.3584
buyback_8k_recent_long,atr_trail_1x,short_le_3d,3,0.3333333333333333,-1.1705666666666665,-3.5117
buyback_8k_recent_long,atr_trail_2x,long_ge_11d,22,0.5909090909090909,2.1145636363636364,46.5204
buyback_8k_recent_long,atr_trail_2x,medium_4_10d,1,0.0,-9.6794,-9.6794
buyback_8k_recent_long,atr_trail_2x,short_le_3d,3,0.3333333333333333,2.010066666666667,6.030200000000001
buyback_8k_recent_long,atr_trail_mae_conditional,long_ge_11d,22,0.13636363636363635,-0.6092500000000001,-13.403500000000001
buyback_8k_recent_long,atr_trail_mae_conditional,medium_4_10d,1,0.0,-4.3584,-4.3584
buyback_8k_recent_long,atr_trail_mae_conditional,short_le_3d,3,0.3333333333333333,-1.1705666666666665,-3.5117
buyback_8k_recent_long,atr_trail_vix_conditional,long_ge_11d,22,0.18181818181818182,-0.49200909090909095,-10.824200000000001
buyback_8k_recent_long,atr_trail_vix_conditional,medium_4_10d,1,0.0,-9.6794,-9.6794
buyback_8k_recent_long,atr_trail_vix_conditional,short_le_3d,3,0.3333333333333333,-0.7105666666666667,-2.1317
buyback_8k_recent_long,break_even_at_1r,long_ge_11d,22,0.045454545454545456,-0.10111818181818193,-2.2246000000000024
buyback_8k_recent_long,break_even_at_1r,medium_4_10d,1,0.0,-4.3584,-4.3584
buyback_8k_recent_long,break_even_at_1r,short_le_3d,3,0.0,-1.3925666666666665,-4.1777
buyback_8k_recent_long,breakeven_plus_trail,long_ge_11d,22,0.2727272727272727,4.015213636363637,88.3347
buyback_8k_recent_long,breakeven_plus_trail,medium_4_10d,1,0.0,-8.7168,-8.7168
buyback_8k_recent_long,breakeven_plus_trail,short_le_3d,3,0.3333333333333333,-0.053766666666666595,-0.16129999999999978
buyback_8k_recent_long,chandelier_3x,long_ge_11d,22,0.4090909090909091,1.7094409090909088,37.607699999999994
buyback_8k_recent_long,chandelier_3x,medium_4_10d,1,0.0,-3.8794,-3.8794
buyback_8k_recent_long,chandelier_3x,short_le_3d,3,0.3333333333333333,1.971266666666667,5.913800000000001
buyback_8k_recent_long,class_time_stop,long_ge_11d,22,0.5,1.382277272727273,30.410100000000003
buyback_8k_recent_long,class_time_stop,medium_4_10d,1,0.0,-17.5488,-17.5488
buyback_8k_recent_long,class_time_stop,short_le_3d,3,0.6666666666666666,6.334733333333333,19.0042
buyback_8k_recent_long,earnings_blackout,long_ge_11d,22,0.8181818181818182,39.575531818181815,870.6617
buyback_8k_recent_long,earnings_blackout,medium_4_10d,1,1.0,716.4751,716.4751
buyback_8k_recent_long,earnings_blackout,short_le_3d,3,0.6666666666666666,16.3908,49.172399999999996
buyback_8k_recent_long,fixed_4r_2r,long_ge_11d,22,0.45454545454545453,1.1274499999999998,24.8039
buyback_8k_recent_long,fixed_4r_2r,medium_4_10d,1,0.0,-9.6794,-9.6794
buyback_8k_recent_long,fixed_4r_2r,short_le_3d,3,0.3333333333333333,-0.37893333333333334,-1.1368
buyback_8k_recent_long,hybrid_50pct_target,long_ge_11d,22,0.6818181818181818,3.186468181818182,70.1023
buyback_8k_recent_long,hybrid_50pct_target,medium_4_10d,1,0.0,-10.0,-10.0
buyback_8k_recent_long,hybrid_50pct_target,short_le_3d,3,1.0,6.670966666666668,20.012900000000002
buyback_8k_recent_long,ma_exit_ema9,long_ge_11d,22,0.5909090909090909,1.6656999999999997,36.645399999999995
buyback_8k_recent_long,ma_exit_ema9,medium_4_10d,1,0.0,-1.6012,-1.6012
buyback_8k_recent_long,ma_exit_ema9,short_le_3d,3,0.6666666666666666,3.4287666666666663,10.286299999999999
buyback_8k_recent_long,mfe_lockin_trail,long_ge_11d,22,0.13636363636363635,-0.5833909090909092,-12.834600000000002
buyback_8k_recent_long,mfe_lockin_trail,medium_4_10d,1,0.0,-4.3584,-4.3584
