tier,trades,win_rate,avg_pnl,profit_factor,total_roi,tier_3_consolidated
HIGH,291,0.2887,-2.031,0.6032,-591.0238,MEDIUM
HIGH,407,0.3317,-1.2692,0.7636,-516.5836,MEDIUM
HIGH,206,0.2913,-3.438,0.3838,-708.2365,MEDIUM
HIGH,247,0.2955,-1.4455,0.7126,-357.0508,MEDIUM
MEDIUM_HIGH,1,0.0,-10.8314,0.0,-10.8314,MEDIUM
HIGH,262,0.2824,-1.6047,0.705,-420.4296,MEDIUM
HIGH,229,0.2751,-2.6299,0.5629,-602.2457,MEDIUM
HIGH,289,0.3253,-1.3361,0.7402,-386.1444,MEDIUM
HIGH,282,0.3262,-0.668,0.8647,-188.3646,MEDIUM
HIGH,294,0.3435,-0.9599,0.8114,-282.2089,MEDIUM
HIGH,224,0.2812,-1.8784,0.6434,-420.7686,MEDIUM
HIGH,427,0.3138,-0.9237,0.8384,-394.4115,MEDIUM
MEDIUM_HIGH,1,0.0,-10.6263,0.0,-10.6263,MEDIUM
HIGH,213,0.2535,-2.1247,0.5728,-452.5656,MEDIUM
MEDIUM_HIGH,1,1.0,14.8381,inf,14.8381,MEDIUM
HIGH,253,0.3004,-2.5994,0.5397,-657.6399,MEDIUM
MEDIUM_HIGH,2,0.0,-5.83,0.0,-11.66,MEDIUM
HIGH,546,0.3535,-0.4513,0.9063,-246.3861,MEDIUM
HIGH,266,0.2594,-2.1091,0.6035,-561.0207,MEDIUM
MEDIUM_HIGH,1,1.0,4.3697,inf,4.3697,MEDIUM
HIGH,218,0.2385,-1.394,0.7314,-303.8858,MEDIUM
MEDIUM_HIGH,1,0.0,-0.8494,0.0,-0.8494,MEDIUM
HIGH,215,0.3163,-1.1332,0.7726,-243.635,MEDIUM
HIGH,288,0.2639,-2.4385,0.5554,-702.2759,MEDIUM
MEDIUM_HIGH,2,0.5,0.775,4.935,1.5499,MEDIUM
HIGH,191,0.2827,-3.7546,0.4623,-717.1232,MEDIUM
HIGH,388,0.3041,0.434,1.0844,168.3911,MEDIUM
MEDIUM_HIGH,2,0.0,-1.4576,0.0,-2.9153,MEDIUM
HIGH,255,0.2863,-1.7599,0.6599,-448.7659,MEDIUM
MEDIUM_HIGH,1,0.0,-4.0532,0.0,-4.0532,MEDIUM
HIGH,226,0.3009,-1.7033,0.6798,-384.9409,MEDIUM
HIGH,384,0.2526,-2.0126,0.6994,-772.8547,MEDIUM
MEDIUM,1,1.0,13.3395,inf,13.3395,LOW
HIGH,284,0.2746,-2.4608,0.5244,-698.8673,MEDIUM
MEDIUM_HIGH,2,0.0,-5.0247,0.0,-10.0494,MEDIUM
HIGH,291,0.3265,-1.6537,0.6788,-481.2274,MEDIUM
