date,event,z_score,today_dispersion,level,dd_from_peak,rolling_peak_equity,current_equity,ticker,reason,exit_price,action,new_stop
2022-05-04,dispersion_cb_triggered_dec128,4.1708,0.050551,,,,,,,,,
2022-06-16,dispersion_cb_triggered_dec128,4.4037,0.050555,,,,,,,,,
2022-07-28,dispersion_cb_triggered_dec128,5.5996,0.05392,,,,,,,,,
2022-11-08,dispersion_cb_triggered_dec128,4.3886,0.044857,,,,,,,,,
2022-11-10,dispersion_cb_triggered_dec128,3.4502,0.048038,,,,,,,,,
2022-12-13,dispersion_cb_triggered_dec128,6.5615,0.049795,,,,,,,,,
2023-02-13,halt_triggered,,,6.0,-0.201,101389.16,81011.85,,,,,
2023-02-16,,,,1.0,,,,TOST,overnight_gap_down_19.0pct,21.04,,
2023-04-14,dispersion_cb_triggered_dec128,10.0,0.102198,,,,,,,,,
2023-04-17,halt_triggered,,,6.0,-0.2673,101389.16,74289.66,,,,,
2023-06-02,halt_resumed,,,6.0,-0.2327,101389.16,77792.6,,,,,
2023-06-02,dispersion_cb_triggered_dec128,10.0,0.10902,,,,,,,,,
2023-06-05,halt_triggered,,,6.0,-0.2327,101389.16,77792.6,,,,,
2023-08-04,dispersion_cb_triggered_dec128,10.0,0.111021,,,,,,,,,
2023-08-07,halt_triggered,,,6.0,-0.2327,101389.16,77792.6,,,,,
2023-10-06,dispersion_cb_triggered_dec128,10.0,0.104434,,,,,,,,,
2023-10-09,halt_triggered,,,6.0,-0.2327,101389.16,77792.6,,,,,
2023-10-12,halt_resumed,,,6.0,-0.2008,101389.16,81030.2,,,,,
2023-10-12,dispersion_cb_triggered_dec128,10.0,0.104498,,,,,,,,,
2023-10-13,halt_triggered,,,6.0,-0.2008,101389.16,81030.2,,,,,
2023-11-15,halt_resumed,,,6.0,-0.1799,101389.16,83151.70999999999,,,,,
2023-11-15,dispersion_cb_triggered_dec128,10.0,0.104506,,,,,,,,,
2023-11-16,dispersion_cb_triggered_dec128,9.8783,0.102965,,,,,,,,,
2023-11-17,dispersion_cb_triggered_dec128,10.0,0.105573,,,,,,,,,
2023-11-20,dispersion_cb_triggered_dec128,10.0,0.103511,,,,,,,,,
2023-11-21,dispersion_cb_triggered_dec128,9.8749,0.103561,,,,,,,,,
2023-11-22,dispersion_cb_triggered_dec128,10.0,0.103104,,,,,,,,,
2023-11-24,dispersion_cb_triggered_dec128,9.2512,0.102824,,,,,,,,,
2023-11-27,dispersion_cb_triggered_dec128,9.0692,0.10218,,,,,,,,,
2023-11-28,dispersion_cb_triggered_dec128,9.0535,0.104342,,,,,,,,,
2023-11-29,dispersion_cb_triggered_dec128,9.9601,0.112043,,,,,,,,,
2023-11-30,dispersion_cb_triggered_dec128,8.1647,0.105392,,,,,,,,,
2023-12-01,dispersion_cb_triggered_dec128,8.1374,0.106277,,,,,,,,,
2023-12-04,dispersion_cb_triggered_dec128,7.9752,0.10383,,,,,,,,,
2023-12-05,dispersion_cb_triggered_dec128,8.0166,0.101893,,,,,,,,,
2023-12-06,dispersion_cb_triggered_dec128,8.6368,0.106547,,,,,,,,,
2023-12-07,dispersion_cb_triggered_dec128,9.7122,0.104816,,,,,,,,,
2023-12-08,dispersion_cb_triggered_dec128,10.0,0.104162,,,,,,,,,
2023-12-11,dispersion_cb_triggered_dec128,10.0,0.10384,,,,,,,,,
2023-12-12,dispersion_cb_triggered_dec128,10.0,0.10344,,,,,,,,,
2023-12-13,dispersion_cb_triggered_dec128,10.0,0.110385,,,,,,,,,
2023-12-14,dispersion_cb_triggered_dec128,10.0,0.112409,,,,,,,,,
2023-12-15,dispersion_cb_triggered_dec128,9.7186,0.102644,,,,,,,,,
2023-12-18,dispersion_cb_triggered_dec128,9.5193,0.103084,,,,,,,,,
2023-12-19,dispersion_cb_triggered_dec128,10.0,0.106025,,,,,,,,,
2023-12-20,dispersion_cb_triggered_dec128,10.0,0.103062,,,,,,,,,
2023-12-21,dispersion_cb_triggered_dec128,9.9262,0.106312,,,,,,,,,
2023-12-22,dispersion_cb_triggered_dec128,9.948,0.103819,,,,,,,,,
2023-12-26,dispersion_cb_triggered_dec128,10.0,0.103676,,,,,,,,,
2023-12-27,dispersion_cb_triggered_dec128,10.0,0.102993,,,,,,,,,
2023-12-28,dispersion_cb_triggered_dec128,9.869,0.102527,,,,,,,,,
2023-12-29,dispersion_cb_triggered_dec128,10.0,0.101232,,,,,,,,,
2024-01-16,halt_triggered,,,6.0,-0.2097,101389.16,80126.79000000001,,,,,
2024-03-19,halt_triggered,,,6.0,-0.2332,101389.16,77744.95,,,,,
2024-04-19,halt_resumed,,,6.0,-0.2126,101389.16,79838.63,,,,,
2024-04-22,halt_triggered,,,6.0,-0.2126,101389.16,79838.63,,,,,
2024-06-24,halt_triggered,,,6.0,-0.2344,101389.16,77628.52,,,,,
2024-08-26,halt_triggered,,,6.0,-0.239,101389.16,77153.76,,,,,
2024-10-28,halt_triggered,,,6.0,-0.2584,101389.16,75187.03,,,,,
2024-11-14,halt_resumed,,,6.0,-0.2038,101389.16,80727.44,,,,,
2024-11-15,halt_triggered,,,6.0,-0.2038,101389.16,80727.44,,,,,
2025-01-15,halt_triggered,,,6.0,-0.2289,101389.16,78177.54000000001,,,,,
2025-03-18,halt_triggered,,,6.0,-0.2351,101389.16,77550.36,,,,,
2025-04-04,,,,5.0,,,,DIA,vix_crisis_45.3,,tighten_stop,428.393
2025-04-04,,,,5.0,,,,ITW,vix_crisis_45.3,,tighten_stop,264.575
2025-04-04,,,,5.0,,,,SPY,vix_crisis_45.3,,tighten_stop,582.2834999999999
2025-04-04,,,,5.0,,,,CBOE,vix_crisis_45.3,,tighten_stop,214.9755
2025-05-20,halt_triggered,,,6.0,-0.2239,101389.16,78684.98,,,,,
2025-07-22,halt_triggered,,,6.0,-0.2475,101389.16,76294.78,,,,,
2025-09-23,halt_triggered,,,6.0,-0.267,101389.16,74316.43,,,,,
2025-10-13,halt_resumed,,,6.0,-0.1916,101389.16,81958.73,,,,,
2025-10-13,dispersion_cb_triggered_dec128,3.4947,0.054208,,,,,,,,,
2025-10-15,halt_triggered,,,6.0,-0.2016,101389.16,80950.03,,,,,
2025-12-16,halt_triggered,,,6.0,-0.2169,101389.16,79394.45,,,,,
2026-01-02,halt_resumed,,,6.0,-0.1896,101389.16,82169.65,,,,,
2026-01-09,halt_triggered,,,6.0,-0.2043,101389.16,80676.6,,,,,
2026-03-11,halt_triggered,,,6.0,-0.2162,101389.16,79473.12,,,,,
2026-03-12,halt_resumed,,,6.0,-0.1878,101389.16,82352.84,,,,,
2026-03-25,halt_triggered,,,6.0,-0.2099,101389.16,80106.22,,,,,
2026-03-27,halt_resumed,,,6.0,-0.1863,101389.16,82495.35,,,,,
2026-04-17,halt_triggered,,,6.0,-0.2099,101389.16,80104.72,,,,,
2026-04-20,,,,1.0,,,,AGIO,overnight_gap_down_15.8pct,29.58,,
2022-05-09,dispersion_cb_triggered_dec128,3.262,0.045963,,,,,,,,,
2022-05-11,dispersion_cb_triggered_dec128,3.6236,0.054948,,,,,,,,,
2022-05-26,,,,1.0,,,,DG,overnight_gap_up_15.1pct,224.78,,
2022-08-11,,,,1.0,,,,MTTR,overnight_gap_up_21.4pct,6.3,,
2022-10-11,,,,1.0,,,,JOBY,overnight_gap_up_14.0pct,4.39,,
2022-11-09,dispersion_cb_triggered_dec128,5.045,0.054829,,,,,,,,,
2022-11-10,dispersion_cb_triggered_dec128,3.4503,0.057206,,,,,,,,,
2022-12-15,dispersion_cb_triggered_dec128,6.0023,0.051965,,,,,,,,,
2023-02-08,dispersion_cb_triggered_dec128,4.4239,0.03769,,,,,,,,,
2023-03-01,dispersion_cb_triggered_dec128,4.9416,0.054875,,,,,,,,,
2023-04-25,halt_triggered,,,6.0,-0.2038,102160.7,81343.70999999999,,,,,
2023-06-27,halt_triggered,,,6.0,-0.2282,102160.7,78849.27,,,,,
2023-08-15,,,,1.0,,,,ONON,overnight_gap_down_12.7pct,30.2,,
2023-08-29,halt_triggered,,,6.0,-0.2725,102160.7,74326.08,,,,,
2023-10-17,halt_resumed,,,6.0,-0.2373,102160.7,77917.1,,,,,
2023-10-18,halt_triggered,,,6.0,-0.2373,102160.7,77917.1,,,,,
2023-12-19,halt_triggered,,,6.0,-0.2602,102160.7,75579.36,,,,,
2024-02-21,halt_triggered,,,6.0,-0.2727,102160.7,74304.06,,,,,
2024-03-12,halt_resumed,,,6.0,-0.2438,102160.7,77257.9,,,,,
2024-03-13,halt_triggered,,,6.0,-0.2438,102160.7,77257.9,,,,,
2024-05-14,halt_triggered,,,6.0,-0.2438,102160.7,77257.9,,,,,
2024-07-16,halt_triggered,,,6.0,-0.2601,102160.7,75591.58,,,,,
2024-07-25,,,,1.0,,,,F,overnight_gap_down_13.7pct,11.8,,
2024-09-17,halt_triggered,,,6.0,-0.2848,102160.7,73062.33,,,,,
2024-11-19,halt_triggered,,,6.0,-0.301,102160.7,71408.81,,,,,
2024-12-20,halt_resumed,,,6.0,-0.1195,102160.7,89948.43,,,,,
