strategy,exit_reason,is_n,is_wr_pct,is_mean_pct,is_sum_pp,oos_n,oos_wr_pct,oos_mean_pct,oos_sum_pp
adx_initiation,trailing_stop,3.0,33.33,-4.34,-13.03,1.0,0.0,-10.28,-10.28
avwap_252_breakout,circuit_breaker_1,3.0,0.0,-12.13,-36.4,2.0,0.0,-5.64,-11.28
avwap_252_breakout,end_of_backtest,0.0,0.0,0.0,0.0,2.0,100.0,7.32,14.63
avwap_252_breakout,time_stop_20d_mfe<0.5pct_batch213,1.0,0.0,-0.81,-0.81,0.0,0.0,0.0,0.0
avwap_252_breakout,trailing_stop,79.0,30.38,0.22,17.12,20.0,30.0,-2.81,-56.21
avwap_50_reclaim,circuit_breaker_1,2.0,0.0,-18.5,-37.0,6.0,0.0,-14.04,-84.26
avwap_50_reclaim,end_of_backtest,0.0,0.0,0.0,0.0,18.0,38.89,-1.91,-34.42
avwap_50_reclaim,hybrid_50pct_target_3xatr_batch285,73.0,100.0,9.15,668.29,90.0,100.0,9.36,842.6
avwap_50_reclaim,time_stop_20d_mfe<0.5pct_batch213,2.0,0.0,-6.99,-13.98,4.0,0.0,-5.19,-20.77
avwap_50_reclaim,trailing_stop,79.0,7.59,-7.79,-615.75,124.0,3.23,-11.75,-1456.41
bollinger_lower,circuit_breaker_1,1.0,0.0,-15.99,-15.99,0.0,0.0,0.0,0.0
bollinger_lower,fixed_4r_2r_stop_hit_batch284,59.0,0.0,-6.34,-373.98,5.0,0.0,-6.32,-31.62
bollinger_lower,fixed_4r_2r_target_hit_batch284,48.0,100.0,11.57,555.19,7.0,100.0,11.65,81.57
bollinger_lower,time_stop_10d_mfe<0.5pct_batch213,7.0,0.0,-1.32,-9.23,0.0,0.0,0.0,0.0
bollinger_lower,trailing_stop,288.0,0.0,-2.61,-752.43,13.0,0.0,-2.04,-26.55
bollinger_tight,end_of_backtest,0.0,0.0,0.0,0.0,4.0,100.0,29.92,119.68
bollinger_tight,time_stop_10d_mfe<0.5pct_batch213,2.0,0.0,-1.81,-3.61,1.0,0.0,-2.94,-2.94
bollinger_tight,trailing_stop,26.0,15.38,6.11,158.78,37.0,8.11,-0.71,-26.32
bollinger_upper_short,time_stop_10d_mfe<0.5pct_batch213,1.0,0.0,-5.59,-5.59,0.0,0.0,0.0,0.0
bollinger_upper_short,trailing_stop,5.0,40.0,1.02,5.12,0.0,0.0,0.0,0.0
break_retest_confluence,trailing_stop,1.0,0.0,-10.4,-10.4,1.0,0.0,-12.08,-12.08
buyback_8k_recent_long,circuit_breaker_1,1.0,0.0,-0.83,-0.83,2.0,0.0,-0.78,-1.56
buyback_8k_recent_long,end_of_backtest,0.0,0.0,0.0,0.0,3.0,33.33,-4.81,-14.43
buyback_8k_recent_long,time_stop_20d_mfe<0.5pct_batch213,1.0,0.0,-4.3,-4.3,1.0,0.0,-5.74,-5.74
buyback_8k_recent_long,trailing_stop,27.0,33.33,-1.95,-52.76,63.0,15.87,-3.2,-201.7
cmf_flip,circuit_breaker_1,1.0,100.0,22.76,22.76,0.0,0.0,0.0,0.0
cmf_flip,end_of_backtest,0.0,0.0,0.0,0.0,2.0,0.0,-1.82,-3.64
cmf_flip,time_stop_10d_mfe<0.5pct_batch213,5.0,0.0,-3.7,-18.48,0.0,0.0,0.0,0.0
cmf_flip,trailing_stop,96.0,33.33,2.03,194.64,21.0,19.05,-1.36,-28.58
cpr_narrow_bullish,circuit_breaker_1,6.0,33.33,-21.77,-130.6,7.0,0.0,-21.74,-152.17
cpr_narrow_bullish,end_of_backtest,1.0,0.0,-61.07,-61.07,32.0,43.75,-3.05,-97.73
