strategy,is_n,is_wr_pct,is_mean_pct,is_sum_pp,oos_n,oos_wr_pct,oos_mean_pct,oos_sum_pp,oos_minus_is_mean
williams_r_oversold,60,31.67,0.85,51.2,117,43.59,2.93,343.0,2.08
lead_lag_sector_rotation,15,13.33,-4.47,-67.0,6,50.0,24.58,147.5,29.05
bollinger_tight,28,14.29,5.54,155.2,42,16.67,2.15,90.4,-3.39
smc_order_block_bounce,31,29.03,-1.83,-56.8,38,42.11,2.09,79.6,3.93
smc_bos_retest_entry,10,30.0,3.37,33.7,4,50.0,11.57,46.3,8.2
stochrsi_oversold,13,30.77,-0.84,-10.9,52,42.31,0.59,30.7,1.43
smc_choch_reversal,130,27.69,-0.17,-22.7,144,27.78,0.21,30.2,0.38
ichimoku_cloud_breakout,5,60.0,2.42,12.1,10,20.0,2.76,27.6,0.33
orb_stocks_in_play_long,25,24.0,14.62,365.5,67,31.34,0.36,24.1,-14.26
bollinger_lower,403,11.91,-1.48,-596.4,25,28.0,0.94,23.4,2.42
xs_momentum_top_decile,81,46.91,-0.61,-49.4,44,45.45,0.22,9.8,0.83
ichimoku_tk_cross,8,25.0,-4.33,-34.6,2,50.0,2.86,5.7,7.19
stoch_oversold,0,0.0,0.0,0.0,1,100.0,0.91,0.9,
rsi21_slow,1,100.0,16.85,16.8,0,0.0,0.0,0.0,
roc_burst,4,0.0,-11.28,-45.1,0,0.0,0.0,0.0,
pivot_s3_capitulation,3,33.33,-4.3,-12.9,0,0.0,0.0,0.0,
bollinger_upper_short,6,33.33,-0.08,-0.5,0,0.0,0.0,0.0,
hull_rsi_short,5,20.0,-3.52,-17.6,0,0.0,0.0,0.0,
prev_day_low_bounce,11,9.09,-6.79,-74.7,0,0.0,0.0,0.0,
volume_spike_breakout,1,0.0,-15.03,-15.0,0,0.0,0.0,0.0,
smc_fvg_retest_short,5,0.0,-8.28,-41.4,0,0.0,0.0,0.0,
smc_fvg_retest_long,2,0.0,-12.28,-24.6,0,0.0,0.0,0.0,
risk_off_bond_equity_short,3,0.0,-5.94,-17.8,0,0.0,0.0,0.0,
smc_ote_long,2,50.0,-4.81,-9.6,0,0.0,0.0,0.0,
supertrend_macd,2,50.0,12.42,24.8,0,0.0,0.0,0.0,
smc_breaker_block_long,0,0.0,0.0,0.0,3,66.67,-0.4,-1.2,
htf_aligned_breakout_long,57,26.32,0.02,1.3,84,32.14,-0.02,-1.7,-0.04
pivot_s1_bounce,19,47.37,6.7,127.2,1,0.0,-5.38,-5.4,-12.07
prev_day_high_break,4,50.0,-11.91,-47.7,1,0.0,-5.78,-5.8,6.13
smc_ote_short,6,50.0,0.68,4.1,1,0.0,-7.14,-7.1,-7.82
xs_combined_momentum_low_ivol,33,18.18,-4.62,-152.4,4,50.0,-2.13,-8.5,2.49
adx_initiation,3,33.33,-4.34,-13.0,1,0.0,-10.28,-10.3,-5.94
rsi_oversold,0,0.0,0.0,0.0,1,0.0,-10.31,-10.3,
dc20_break_retest,0,0.0,0.0,0.0,1,0.0,-10.41,-10.4,
pivot_s2_bounce,5,60.0,6.23,31.1,1,0.0,-10.49,-10.5,-16.72
pivot_r2_continuation,0,0.0,0.0,0.0,1,0.0,-10.52,-10.5,
pivot_r1_breakout,53,18.87,-4.6,-244.0,43,37.21,-0.26,-11.2,4.34
break_retest_confluence,1,0.0,-10.4,-10.4,1,0.0,-12.08,-12.1,-1.68
r1_break_retest,0,0.0,0.0,0.0,1,0.0,-16.74,-16.7,
smc_premium_short,11,18.18,-5.88,-64.7,2,0.0,-10.82,-21.6,-4.94
po3_htf_aligned_short,14,35.71,0.91,12.8,4,0.0,-7.89,-31.5,-8.8
cmf_flip,102,32.35,1.95,198.9,23,17.39,-1.4,-32.2,-3.35
macd_ichimoku,11,18.18,-10.36,-114.0,4,0.0,-8.63,-34.5,1.73
smc_discount_long,0,0.0,0.0,0.0,4,0.0,-8.95,-35.8,
xs_low_beta_long,172,33.72,2.39,411.0,172,36.05,-0.21,-36.1,-2.6
insider_cluster_long,10,20.0,-7.0,-70.0,9,22.22,-4.12,-37.1,2.88
orb_stocks_in_play_short,94,30.85,-2.39,-225.1,20,35.0,-2.29,-45.8,0.11
avwap_252_breakout,83,28.92,-0.24,-20.1,24,33.33,-2.2,-52.9,-1.96
macd_fast_crossover,85,34.12,-2.04,-173.6,30,33.33,-1.85,-55.4,0.19
smc_breaker_block_short,13,23.08,-4.38,-56.9,11,18.18,-5.47,-60.1,-1.09
ultimate_oscillator,50,32.0,-1.2,-59.9,107,33.64,-0.58,-62.1,0.62
po3_htf_aligned_long,31,16.13,-3.81,-118.1,13,15.38,-5.07,-65.9,-1.26
monthly_bias_momentum_long,243,29.22,-1.13,-274.8,258,32.17,-0.41,-106.8,0.72
smc_bos_continuation,20,25.0,-2.45,-49.0,46,23.91,-2.4,-110.5,0.05
cpr_narrow_momentum,151,31.13,-3.08,-464.4,26,23.08,-4.59,-119.3,-1.51
smc_liquidity_sweep_reversal,17,23.53,-4.18,-71.0,35,20.0,-3.56,-124.7,0.61
stochrsi_overbought_short,262,37.4,-0.98,-256.8,26,19.23,-5.44,-141.4,-4.46
smc_inverse_fvg,191,28.8,-2.02,-385.6,84,27.38,-1.94,-163.1,0.08
po3_bullish,193,40.93,-1.17,-225.3,223,35.87,-0.81,-180.0,0.36
hull_rsi,364,26.1,-3.07,-1117.3,56,26.79,-3.3,-184.5,-0.23
htf_aligned_breakout_short,138,16.67,-5.59,-771.3,55,25.45,-3.75,-206.0,1.84
buyback_8k_recent_long,29,31.03,-2.0,-57.9,69,15.94,-3.24,-223.4,-1.24
xs_momentum_bottom_decile_short,276,26.09,-5.6,-1546.9,48,12.5,-6.43,-308.8,-0.83
po3_bearish,261,27.59,-1.45,-377.4,142,16.9,-5.16,-733.1,-3.72
avwap_50_reclaim,156,50.64,0.01,1.6,242,41.74,-3.11,-753.2,-3.12
cpr_narrow_bullish,375,37.07,-1.27,-477.1,375,27.2,-2.94,-1103.9,-1.67
