strategy,sharpe_adj,win_rate_adj,profit_factor_adj,haircut_pct_applied
tema_dema,0.0,0.9,inf,0.2
pivot_s2_bounce,0.0,0.9,inf,0.2
macd_fast_crossover,0.0,0.8,inf,0.4
morning_star,0.0,0.9,inf,0.2
pivot_r2_continuation,0.0,0.54,2.70019,0.2
hull_rsi,0.0,0.36360000000000003,0.6989,0.4
stochrsi_oversold,0.0,0.30344000000000004,0.4571,0.4
macd_crossover,0.0,0.30000000000000004,1.5276800000000001,0.4
bollinger_tight,0.0,0.30861,0.3807,0.2
supertrend_macd,0.0,0.26664,0.0236,0.4
bollinger_lower,0.0,0.28800000000000003,1.59463,0.2
pivot_r1_breakout,0.0,0.23528,0.7514,0.4
williams_r_oversold,0.0,0.24543,0.4819,0.2
cpr_narrow_bullish,0.0,0.20772000000000002,0.5605,0.2
cmf_flip,0.0,0.18000000000000002,0.303,0.2
williams_stoch_dual,0.0,0.0,0.0,0.2
ultimate_oscillator,0.0,0.0,0.0,0.2
pivot_s1_bounce,0.0,0.0,0.0,0.2
ichimoku_cloud_breakout,0.0,0.0,0.0,0.4
