ticker,strategy,entry_date,direction,entry_price,exit_method,pnl_pct,win,hold_days,exit_price,exit_date,regime_at_entry,sector,confidence_tier,cap_band,vol_band,hold_duration_band,win_loss_outcome,universe_tier,smart_money_signal_present,vix_at_entry,entry_atr_ratio,mae_bucket,mfe_bucket,regime_changed_during_hold,earnings_during_hold,circuit_breaker_active_during_hold,news_sentiment_shift_during_hold,8K_filed_during_hold,day_of_week_at_entry,days_from_quarter_end_at_entry,vix_term_structure,hy_oas_band_at_entry,adv_bucket,volume_rank_within_sector,sector_momentum_vs_spy_at_entry
RKLB,bollinger_tight,2022-05-05,long,6.736,trailing_10pct,-10.0,False,4,6.0624,2022-05-09,neutral,Industrials,HIGH,unknown,crisis_atr_ge_5pct,medium_4_10d,loss,T2,no,0.0,0.07338182897862233,q4_ge_10pct,q1_lt_2pct,no,no,no_data,low_1_5,no,thu,56,unknown,no_data,5_25M,unknown,no_data
NVDA,bollinger_tight,2022-05-12,long,16.8635,trailing_10pct,-2.9899,False,8,16.3593,2022-05-20,neutral,Information Technology,HIGH,unknown,crisis_atr_ge_5pct,medium_4_10d,loss,T1c,no,0.0,0.08053488303139919,q4_ge_10pct,q4_ge_10pct,no,no,no_data,high_gt_20,no,thu,49,unknown,no_data,ge_500M,unknown,no_data
SWIM,bollinger_tight,2022-05-23,long,9.3248,trailing_10pct,-10.0,False,1,8.3923,2022-05-24,neutral,Materials,HIGH,unknown,crisis_atr_ge_5pct,short_le_3d,loss,unknown,no,0.0,0.1074661118737131,q4_ge_10pct,q4_ge_10pct,no,no,no_data,none,no,mon,38,unknown,no_data,5_25M,unknown,no_data
BAC,bollinger_tight,2022-05-12,long,35.6299,trailing_10pct,-6.034,False,29,33.48,2022-06-10,neutral,Financials,HIGH,unknown,high_atr_2.5_5pct,long_ge_11d,loss,T1a,no,0.0,0.037235580228965,q4_ge_10pct,q4_ge_10pct,no,no,no_data,high_gt_20,no,thu,49,unknown,no_data,ge_500M,unknown,no_data
BAM,bollinger_tight,2022-05-05,long,48.9139,trailing_10pct,-6.8772,False,39,45.55,2022-06-13,neutral,Financials,HIGH,unknown,high_atr_2.5_5pct,long_ge_11d,loss,unknown,no,0.0,0.03377771962570966,q4_ge_10pct,q4_ge_10pct,no,no,no_data,mid_6_20,no,thu,56,unknown,no_data,25_100M,unknown,no_data
VET,bollinger_tight,2022-06-20,long,19.7585,trailing_10pct,-7.078,False,3,18.36,2022-06-23,neutral,Energy,HIGH,unknown,crisis_atr_ge_5pct,short_le_3d,loss,T3,no,0.0,0.07152364805020624,q4_ge_10pct,q4_ge_10pct,no,no,no_data,none,no,mon,10,unknown,no_data,25_100M,unknown,no_data
IFF,bollinger_tight,2022-06-20,long,110.9113,trailing_10pct,3.5909,True,63,114.894,2022-08-22,neutral,Materials,HIGH,unknown,high_atr_2.5_5pct,long_ge_11d,win,T1a,no,0.0,0.03630198185396799,q4_ge_10pct,q4_ge_10pct,no,yes,no_data,mid_6_20,yes,mon,10,unknown,no_data,100_500M,unknown,no_data
HST,bollinger_tight,2022-06-17,long,16.4448,trailing_10pct,5.5653,True,76,17.36,2022-09-01,neutral,Real Estate,HIGH,unknown,crisis_atr_ge_5pct,long_ge_11d,win,T1a,no,0.0,0.05271575209184666,q4_ge_10pct,q4_ge_10pct,no,yes,no_data,high_gt_20,yes,fri,13,unknown,no_data,100_500M,unknown,no_data
RF,bollinger_tight,2022-06-23,long,18.5689,trailing_10pct,12.3007,True,75,20.853,2022-09-06,neutral,Financials,HIGH,unknown,high_atr_2.5_5pct,long_ge_11d,win,T1a,no,0.0,0.038241360554475495,q4_ge_10pct,q4_ge_10pct,no,yes,no_data,high_gt_20,yes,thu,7,unknown,no_data,100_500M,unknown,no_data
WMB,bollinger_tight,2022-06-20,long,30.4357,trailing_10pct,5.2711,True,80,32.04,2022-09-08,neutral,Energy,HIGH,unknown,high_atr_2.5_5pct,long_ge_11d,win,T1a,no,0.0,0.03883268661473204,q4_ge_10pct,q4_ge_10pct,no,yes,no_data,high_gt_20,yes,mon,10,unknown,no_data,100_500M,unknown,no_data
