strategy,exit_method,sector,n,win_rate,avg_pnl_pct,total_pnl_pct
bollinger_lower,atr_trail_1x,Consumer Discretionary,5,0.2,-4.28476,-21.4238
bollinger_lower,atr_trail_1x,Consumer Staples,1,0.0,-1.692,-1.692
bollinger_lower,atr_trail_1x,Energy,1,0.0,-4.7366,-4.7366
bollinger_lower,atr_trail_1x,Financials,2,0.5,-0.44944999999999996,-0.8988999999999999
bollinger_lower,atr_trail_1x,Health Care,5,0.2,-2.70604,-13.530199999999999
bollinger_lower,atr_trail_1x,Industrials,5,0.4,0.45908000000000015,2.2954000000000008
bollinger_lower,atr_trail_1x,Materials,2,0.0,-5.61175,-11.2235
bollinger_lower,atr_trail_1x,Real Estate,1,0.0,-0.417,-0.417
bollinger_lower,atr_trail_1x,Unknown,2,1.0,5.9436,11.8872
bollinger_lower,atr_trail_1x,Utilities,1,0.0,-1.1082,-1.1082
bollinger_lower,atr_trail_2x,Consumer Discretionary,5,0.4,-2.8775,-14.3875
bollinger_lower,atr_trail_2x,Consumer Staples,1,1.0,1.7332,1.7332
bollinger_lower,atr_trail_2x,Energy,1,0.0,-9.4731,-9.4731
bollinger_lower,atr_trail_2x,Financials,2,0.0,-0.7434000000000001,-1.4868000000000001
bollinger_lower,atr_trail_2x,Health Care,5,0.2,-5.1116600000000005,-25.558300000000003
bollinger_lower,atr_trail_2x,Industrials,5,0.4,0.17989999999999995,0.8994999999999997
bollinger_lower,atr_trail_2x,Materials,2,0.5,-4.4133000000000004,-8.826600000000001
bollinger_lower,atr_trail_2x,Real Estate,1,1.0,1.3738,1.3738
bollinger_lower,atr_trail_2x,Unknown,2,0.5,53.37025,106.7405
bollinger_lower,atr_trail_2x,Utilities,1,0.0,-2.9363,-2.9363
bollinger_lower,break_even_at_1r,Consumer Discretionary,5,0.0,-3.22678,-16.1339
bollinger_lower,break_even_at_1r,Consumer Staples,1,0.0,-2.3529,-2.3529
bollinger_lower,break_even_at_1r,Energy,1,0.0,-4.7366,-4.7366
bollinger_lower,break_even_at_1r,Financials,2,0.0,0.0,0.0
bollinger_lower,break_even_at_1r,Health Care,5,0.0,-4.14594,-20.7297
bollinger_lower,break_even_at_1r,Industrials,5,0.2,3.70386,18.5193
bollinger_lower,break_even_at_1r,Materials,2,0.0,-7.32965,-14.6593
bollinger_lower,break_even_at_1r,Real Estate,1,0.0,0.0,0.0
bollinger_lower,break_even_at_1r,Unknown,2,0.5,53.37025,106.7405
bollinger_lower,break_even_at_1r,Utilities,1,0.0,-1.8276,-1.8276
bollinger_lower,breakeven_plus_trail,Consumer Discretionary,5,0.8,6.6569199999999995,33.2846
bollinger_lower,breakeven_plus_trail,Consumer Staples,1,1.0,54.5295,54.5295
bollinger_lower,breakeven_plus_trail,Energy,1,0.0,-9.4731,-9.4731
bollinger_lower,breakeven_plus_trail,Financials,2,0.0,0.0,0.0
bollinger_lower,breakeven_plus_trail,Health Care,5,0.4,-3.0282400000000003,-15.141200000000001
bollinger_lower,breakeven_plus_trail,Industrials,5,0.4,7.00658,35.0329
bollinger_lower,breakeven_plus_trail,Materials,2,0.5,-7.07955,-14.1591
bollinger_lower,breakeven_plus_trail,Real Estate,1,0.0,0.0,0.0
bollinger_lower,breakeven_plus_trail,Unknown,2,0.5,58.83765,117.6753
bollinger_lower,breakeven_plus_trail,Utilities,1,0.0,-3.6552,-3.6552
bollinger_lower,class_time_stop,Consumer Discretionary,5,1.0,31.618900000000004,158.0945
bollinger_lower,class_time_stop,Consumer Staples,1,1.0,4.6789,4.6789
bollinger_lower,class_time_stop,Energy,1,0.0,-4.2128,-4.2128
bollinger_lower,class_time_stop,Financials,2,1.0,9.10605,18.2121
bollinger_lower,class_time_stop,Health Care,5,0.4,-1.1796,-5.898
bollinger_lower,class_time_stop,Industrials,5,0.4,4.90518,24.5259
bollinger_lower,class_time_stop,Materials,2,0.0,-19.8905,-39.781
bollinger_lower,class_time_stop,Real Estate,1,0.0,-3.5347,-3.5347
bollinger_lower,class_time_stop,Unknown,2,0.5,53.8204,107.6408
bollinger_lower,class_time_stop,Utilities,1,0.0,-0.102,-0.102
bollinger_lower,earnings_blackout,Consumer Discretionary,5,0.6,20.088139999999996,100.44069999999998
bollinger_lower,earnings_blackout,Consumer Staples,1,1.0,60.3351,60.3351
bollinger_lower,earnings_blackout,Energy,1,1.0,96.472,96.472
bollinger_lower,earnings_blackout,Financials,2,1.0,13.3056,26.6112
bollinger_lower,earnings_blackout,Health Care,5,0.6,28.29782,141.4891
bollinger_lower,earnings_blackout,Industrials,5,1.0,481.0039,2405.0195
bollinger_lower,earnings_blackout,Materials,2,0.5,22.24675,44.4935
bollinger_lower,earnings_blackout,Real Estate,1,1.0,24.2727,24.2727
bollinger_lower,earnings_blackout,Unknown,2,1.0,61.593599999999995,123.18719999999999
bollinger_lower,earnings_blackout,Utilities,1,0.0,-10.529,-10.529
bollinger_lower,fixed_4r_2r,Consumer Discretionary,5,0.4,-0.2504000000000001,-1.2520000000000007
bollinger_lower,fixed_4r_2r,Consumer Staples,1,1.0,9.4117,9.4117
bollinger_lower,fixed_4r_2r,Energy,1,0.0,-9.4731,-9.4731
bollinger_lower,fixed_4r_2r,Financials,2,1.0,13.640550000000001,27.281100000000002
bollinger_lower,fixed_4r_2r,Health Care,5,0.2,-7.96314,-39.8157
bollinger_lower,fixed_4r_2r,Industrials,5,0.4,3.5365200000000003,17.6826
bollinger_lower,fixed_4r_2r,Materials,2,0.0,-23.71115,-47.4223
bollinger_lower,fixed_4r_2r,Real Estate,1,0.0,-6.9195,-6.9195
bollinger_lower,fixed_4r_2r,Unknown,2,0.5,8.41025,16.8205
bollinger_lower,fixed_4r_2r,Utilities,1,0.0,-3.6552,-3.6552
bollinger_lower,hybrid_50pct_target,Consumer Discretionary,5,0.8,10.006319999999999,50.0316
bollinger_lower,hybrid_50pct_target,Consumer Staples,1,1.0,16.6864,16.6864
bollinger_lower,hybrid_50pct_target,Energy,1,0.0,-10.0,-10.0
bollinger_lower,hybrid_50pct_target,Financials,2,1.0,9.42215,18.8443
bollinger_lower,hybrid_50pct_target,Health Care,5,0.4,-3.72904,-18.6452
bollinger_lower,hybrid_50pct_target,Industrials,5,0.6,3.09822,15.4911
bollinger_lower,hybrid_50pct_target,Materials,2,0.5,13.342500000000001,26.685000000000002
bollinger_lower,hybrid_50pct_target,Real Estate,1,1.0,4.9292,4.9292
bollinger_lower,hybrid_50pct_target,Unknown,2,0.5,29.665999999999997,59.331999999999994
