strategy,exit_method,trades,win_rate,profit_factor,avg_pnl_pct,total_roi_pct,max_drawdown_pct,avg_hold_days,composite_score,recommended
bollinger_tight,earnings_blackout,35,0.6286,14.3339,142.857,4999.9949,-95.6896,982.2,55.14,True
bollinger_tight,ma_exit_ema9,35,0.6,1.454,0.4221,14.7721,-12.2596,1.9,49.23,False
bollinger_tight,next_pivot_target,35,0.7143,0.5611,-1.6722,-58.5283,-70.2845,8.0,28.57,False
bollinger_tight,breakeven_plus_trail,35,0.4,1.3478,1.1951,41.8275,-47.6562,40.0,26.43,False
bollinger_tight,time_stop_20d,35,0.6,0.7415,-1.439,-50.3667,-67.1218,28.9,24.0,False
bollinger_tight,regime_flip,35,0.6,0.7415,-1.439,-50.3667,-67.1218,28.9,24.0,False
bollinger_tight,time_stop_10d,35,0.4857,0.8001,-0.8645,-30.2573,-53.419,14.5,19.43,False
bollinger_tight,class_time_stop,35,0.4571,0.5265,-3.4199,-119.6961,-143.9084,35.9,18.28,False
bollinger_tight,hybrid_50pct_target,35,0.4,0.6785,-1.9292,-67.5224,-100.7441,64.4,16.0,False
bollinger_tight,r_multiple_2r,35,0.3429,0.6712,-1.4781,-51.735,-86.222,9.4,13.72,False
bollinger_tight,fixed_4r_2r,35,0.3143,0.6187,-3.1578,-110.5216,-166.0174,37.8,12.57,False
bollinger_tight,trailing_10pct,35,0.3143,0.4439,-3.0313,-106.095,-125.1135,43.6,12.57,False
bollinger_tight,atr_trail_2x,35,0.3143,0.4105,-3.0801,-107.8044,-110.9584,20.2,12.57,False
bollinger_tight,atr_trail_1x,35,0.2571,0.1697,-2.956,-103.4588,-96.6216,4.9,10.28,False
bollinger_tight,trailing_5pct,35,0.2286,0.4141,-1.5886,-55.5994,-62.4697,10.9,9.14,False
bollinger_tight,trailing_15pct,35,0.2,0.3339,-5.0446,-176.5624,-204.3956,62.8,8.0,False
bollinger_tight,r_multiple_3r,35,0.2,0.5149,-2.4886,-87.1025,-108.9567,15.1,8.0,False
bollinger_tight,break_even_at_1r,35,0.1429,0.2889,-2.7031,-94.6096,-108.009,16.6,5.72,False
cpr_narrow_bullish,earnings_blackout,78,0.6282,2.7995,34.1476,2663.516,-344.2041,868.4,55.13,True
cpr_narrow_bullish,hybrid_50pct_target,78,0.641,1.4657,2.0597,160.66,-141.0961,80.0,39.61,False
cpr_narrow_bullish,time_stop_10d,78,0.5769,1.2778,0.7377,57.5381,-107.9368,14.4,31.41,False
cpr_narrow_bullish,next_pivot_target,78,0.7179,0.9749,-0.0637,-4.9709,-110.9734,10.2,28.72,False
cpr_narrow_bullish,time_stop_20d,78,0.4615,1.0026,0.011,0.8598,-201.1712,28.8,18.54,False
cpr_narrow_bullish,regime_flip,78,0.4615,1.0026,0.011,0.8598,-201.1712,28.8,18.54,False
cpr_narrow_bullish,class_time_stop,78,0.4359,0.7823,-1.1652,-90.8827,-261.1648,36.0,17.44,False
cpr_narrow_bullish,fixed_4r_2r,78,0.3462,1.0279,0.1442,11.2477,-226.1416,26.8,14.68,False
cpr_narrow_bullish,trailing_15pct,78,0.359,0.9918,-0.0552,-4.3064,-338.0991,95.6,14.36,False
cpr_narrow_bullish,atr_trail_2x,78,0.2692,0.4799,-2.0763,-161.9526,-222.9674,16.4,10.77,False
cpr_narrow_bullish,trailing_10pct,78,0.2436,0.4738,-2.6598,-207.463,-288.1805,39.3,9.74,False
cpr_narrow_bullish,trailing_5pct,78,0.2308,0.4228,-1.6102,-125.5956,-143.84,13.6,9.23,False
cpr_narrow_bullish,breakeven_plus_trail,78,0.2179,0.8399,-0.453,-35.3377,-175.0611,29.8,8.72,False
