strategy,exit_method,8K_filed_during_hold,n,win_rate,avg_pnl_pct,total_pnl_pct
avwap_252_breakout,atr_trail_1x,no,2,0.0,-3.14285,-6.2857
avwap_252_breakout,atr_trail_1x,no_data,1,0.0,-5.6111,-5.6111
avwap_252_breakout,atr_trail_1x,yes,2,0.0,-1.7426499999999998,-3.4852999999999996
avwap_252_breakout,atr_trail_2x,no,2,0.5,6.10725,12.2145
avwap_252_breakout,atr_trail_2x,no_data,1,1.0,5.056,5.056
avwap_252_breakout,atr_trail_2x,yes,2,0.0,-4.95165,-9.9033
avwap_252_breakout,break_even_at_1r,no,2,0.0,-6.154,-12.308
avwap_252_breakout,break_even_at_1r,no_data,1,0.0,-5.6111,-5.6111
avwap_252_breakout,break_even_at_1r,yes,2,0.0,-0.94705,-1.8941
avwap_252_breakout,breakeven_plus_trail,no,2,0.5,5.8728,11.7456
avwap_252_breakout,breakeven_plus_trail,no_data,1,1.0,9.6352,9.6352
avwap_252_breakout,breakeven_plus_trail,yes,2,0.0,-1.8941,-3.7882
avwap_252_breakout,class_time_stop,no,2,0.5,1.3557999999999995,2.711599999999999
avwap_252_breakout,class_time_stop,no_data,1,1.0,7.8803,7.8803
avwap_252_breakout,class_time_stop,yes,2,0.5,-2.3775000000000004,-4.755000000000001
avwap_252_breakout,earnings_blackout,no,2,0.0,-70.3024,-140.6048
avwap_252_breakout,earnings_blackout,no_data,1,0.0,-6.0572,-6.0572
avwap_252_breakout,earnings_blackout,yes,2,0.0,-25.25985,-50.5197
avwap_252_breakout,fixed_4r_2r,no,2,0.5,5.577000000000001,11.154000000000002
avwap_252_breakout,fixed_4r_2r,no_data,1,1.0,22.4445,22.4445
avwap_252_breakout,fixed_4r_2r,yes,2,0.5,6.834350000000001,13.668700000000001
avwap_252_breakout,hybrid_50pct_target,no,2,1.0,11.41695,22.8339
avwap_252_breakout,hybrid_50pct_target,no_data,1,1.0,13.2343,13.2343
avwap_252_breakout,hybrid_50pct_target,yes,2,0.5,1.7619499999999997,3.5238999999999994
avwap_252_breakout,ma_exit_ema9,no,2,0.0,-4.7711500000000004,-9.542300000000001
avwap_252_breakout,ma_exit_ema9,no_data,1,0.0,-7.5324,-7.5324
avwap_252_breakout,ma_exit_ema9,yes,2,0.0,-2.66775,-5.3355
avwap_252_breakout,next_pivot_target,no,2,0.5,-3.80635,-7.6127
avwap_252_breakout,next_pivot_target,no_data,1,1.0,16.8333,16.8333
avwap_252_breakout,next_pivot_target,yes,2,0.5,-4.7356,-9.4712
avwap_252_breakout,r_multiple_2r,no,2,0.0,-6.154,-12.308
avwap_252_breakout,r_multiple_2r,no_data,1,0.0,-5.6111,-5.6111
avwap_252_breakout,r_multiple_2r,yes,2,0.0,-3.12915,-6.2583
avwap_252_breakout,r_multiple_3r,no,2,0.0,-6.154,-12.308
avwap_252_breakout,r_multiple_3r,no_data,1,0.0,-5.6111,-5.6111
avwap_252_breakout,r_multiple_3r,yes,2,0.0,-3.12915,-6.2583
avwap_252_breakout,regime_flip,no,2,0.5,3.4943999999999997,6.9887999999999995
avwap_252_breakout,regime_flip,no_data,1,1.0,11.034,11.034
avwap_252_breakout,regime_flip,yes,2,0.0,-6.4931,-12.9862
avwap_252_breakout,time_stop_10d,no,2,1.0,5.661,11.322
avwap_252_breakout,time_stop_10d,no_data,1,1.0,17.545,17.545
avwap_252_breakout,time_stop_10d,yes,2,0.5,-3.32265,-6.6453
avwap_252_breakout,time_stop_20d,no,2,0.5,3.4943999999999997,6.9887999999999995
avwap_252_breakout,time_stop_20d,no_data,1,1.0,11.034,11.034
avwap_252_breakout,time_stop_20d,yes,2,0.0,-6.4931,-12.9862
avwap_252_breakout,trailing_10pct,no,2,0.0,-3.88495,-7.7699
avwap_252_breakout,trailing_10pct,no_data,1,1.0,9.6352,9.6352
avwap_252_breakout,trailing_10pct,yes,2,0.0,-6.8225,-13.645
avwap_252_breakout,trailing_15pct,no,2,0.5,4.2066,8.4132
avwap_252_breakout,trailing_15pct,no_data,1,1.0,5.5277,5.5277
avwap_252_breakout,trailing_15pct,yes,2,0.5,2.37015,4.7403
avwap_252_breakout,trailing_5pct,no,2,0.0,-2.73265,-5.4653
avwap_252_breakout,trailing_5pct,no_data,1,0.0,-5.0,-5.0
avwap_252_breakout,trailing_5pct,yes,2,0.0,-3.4602500000000003,-6.9205000000000005
avwap_50_reclaim,atr_trail_1x,no,18,0.16666666666666666,-1.7919277777777778,-32.2547
avwap_50_reclaim,atr_trail_1x,no_data,1,0.0,-0.3518,-0.3518
avwap_50_reclaim,atr_trail_1x,yes,10,0.5,-0.08542999999999985,-0.8542999999999985
avwap_50_reclaim,atr_trail_2x,no,18,0.1111111111111111,-3.2068999999999996,-57.724199999999996
avwap_50_reclaim,atr_trail_2x,no_data,1,1.0,0.7694,0.7694
avwap_50_reclaim,atr_trail_2x,yes,10,0.6,4.81736,48.1736
avwap_50_reclaim,break_even_at_1r,no,18,0.0,-2.032222222222222,-36.58
avwap_50_reclaim,break_even_at_1r,no_data,1,0.0,-0.3518,-0.3518
avwap_50_reclaim,break_even_at_1r,yes,10,0.2,-0.6618999999999998,-6.618999999999998
avwap_50_reclaim,breakeven_plus_trail,no,18,0.2222222222222222,-1.8185222222222224,-32.7334
avwap_50_reclaim,breakeven_plus_trail,no_data,1,1.0,0.7694,0.7694
avwap_50_reclaim,breakeven_plus_trail,yes,10,0.6,5.67664,56.7664
avwap_50_reclaim,class_time_stop,no,18,0.3333333333333333,-3.1481166666666667,-56.6661
avwap_50_reclaim,class_time_stop,no_data,1,1.0,0.7694,0.7694
avwap_50_reclaim,class_time_stop,yes,10,0.8,8.081290000000001,80.81290000000001
avwap_50_reclaim,earnings_blackout,no,18,0.2222222222222222,-153.07429444444446,-2755.3373
avwap_50_reclaim,earnings_blackout,no_data,1,1.0,0.7694,0.7694
avwap_50_reclaim,earnings_blackout,yes,10,0.3,-26.253810000000005,-262.53810000000004
avwap_50_reclaim,fixed_4r_2r,no,18,0.05555555555555555,-8.486422222222222,-152.7556
avwap_50_reclaim,fixed_4r_2r,no_data,1,1.0,0.7694,0.7694
avwap_50_reclaim,fixed_4r_2r,yes,10,0.5,6.1328499999999995,61.3285
avwap_50_reclaim,hybrid_50pct_target,no,18,0.5555555555555556,-57.959633333333336,-1043.2734
avwap_50_reclaim,hybrid_50pct_target,no_data,1,1.0,0.9124,0.9124
avwap_50_reclaim,hybrid_50pct_target,yes,10,0.9,-2.6632800000000003,-26.632800000000003
avwap_50_reclaim,ma_exit_ema9,no,18,0.16666666666666666,-3.076205555555555,-55.3717
avwap_50_reclaim,ma_exit_ema9,no_data,1,0.0,-0.5577,-0.5577
avwap_50_reclaim,ma_exit_ema9,yes,10,0.5,3.7787300000000004,37.7873
avwap_50_reclaim,next_pivot_target,no,18,0.8333333333333334,2.2606,40.6908
avwap_50_reclaim,next_pivot_target,no_data,1,1.0,0.4155,0.4155
avwap_50_reclaim,next_pivot_target,yes,10,0.9,5.2468699999999995,52.4687
avwap_50_reclaim,r_multiple_2r,no,18,0.2222222222222222,-1.7927333333333335,-32.269200000000005
avwap_50_reclaim,r_multiple_2r,no_data,1,0.0,-0.3518,-0.3518
avwap_50_reclaim,r_multiple_2r,yes,10,0.5,3.93688,39.3688
avwap_50_reclaim,r_multiple_3r,no,18,0.05555555555555555,-3.9990444444444444,-71.9828
avwap_50_reclaim,r_multiple_3r,no_data,1,0.0,-0.3518,-0.3518
avwap_50_reclaim,r_multiple_3r,yes,10,0.5,5.29269,52.9269
avwap_50_reclaim,regime_flip,no,18,0.16666666666666666,-3.4785500000000003,-62.6139
avwap_50_reclaim,regime_flip,no_data,1,1.0,0.8224,0.8224
avwap_50_reclaim,regime_flip,yes,10,0.7,7.384659999999999,73.8466
avwap_50_reclaim,time_stop_10d,no,18,0.5555555555555556,-0.4415833333333333,-7.9485
avwap_50_reclaim,time_stop_10d,no_data,1,0.0,-0.2923,-0.2923
avwap_50_reclaim,time_stop_10d,yes,10,0.7,3.8185899999999995,38.1859
avwap_50_reclaim,time_stop_20d,no,18,0.16666666666666666,-3.4785500000000003,-62.6139
avwap_50_reclaim,time_stop_20d,no_data,1,1.0,0.8224,0.8224
avwap_50_reclaim,time_stop_20d,yes,10,0.7,7.384659999999999,73.8466
avwap_50_reclaim,trailing_10pct,no,18,0.1111111111111111,-5.247533333333333,-94.4556
avwap_50_reclaim,trailing_10pct,no_data,1,1.0,0.7694,0.7694
avwap_50_reclaim,trailing_10pct,yes,10,0.7,2.3387599999999997,23.3876
avwap_50_reclaim,trailing_15pct,no,18,0.05555555555555555,-5.965711111111111,-107.3828
avwap_50_reclaim,trailing_15pct,no_data,1,1.0,0.7694,0.7694
avwap_50_reclaim,trailing_15pct,yes,10,0.5,1.8330100000000003,18.3301
avwap_50_reclaim,trailing_5pct,no,18,0.1111111111111111,-1.96965,-35.4537
avwap_50_reclaim,trailing_5pct,no_data,1,1.0,0.7694,0.7694
avwap_50_reclaim,trailing_5pct,yes,10,0.3,-1.78269,-17.826900000000002
cpr_narrow_bullish,atr_trail_1x,no,41,0.17073170731707318,-2.8721560975609757,-117.7584
cpr_narrow_bullish,atr_trail_1x,no_data,3,0.0,-3.8337333333333334,-11.5012
cpr_narrow_bullish,atr_trail_1x,yes,50,0.26,-1.358766,-67.9383
cpr_narrow_bullish,atr_trail_2x,no,41,0.24390243902439024,-6.612236585365854,-271.1017
cpr_narrow_bullish,atr_trail_2x,no_data,3,0.6666666666666666,3.2715,9.8145
cpr_narrow_bullish,atr_trail_2x,yes,50,0.5,3.8365160000000005,191.82580000000002
cpr_narrow_bullish,break_even_at_1r,no,41,0.024390243902439025,-5.593880487804878,-229.3491
cpr_narrow_bullish,break_even_at_1r,no_data,3,0.0,-4.7933666666666666,-14.3801
cpr_narrow_bullish,break_even_at_1r,yes,50,0.06,-3.113454,-155.6727
cpr_narrow_bullish,breakeven_plus_trail,no,41,0.24390243902439024,-2.6768658536585366,-109.75150000000001
