strategy,exit_method,days_from_quarter_end_at_entry,n,win_rate,avg_pnl_pct,total_pnl_pct
avwap_252_breakout,atr_trail_1x,11,1,0.0,-1.8941,-1.8941
avwap_252_breakout,atr_trail_1x,14,2,0.0,-4.43945,-8.8789
avwap_252_breakout,atr_trail_1x,42,1,0.0,-3.0179,-3.0179
avwap_252_breakout,atr_trail_1x,56,1,0.0,-1.5912,-1.5912
avwap_252_breakout,atr_trail_2x,11,1,0.0,-3.7882,-3.7882
avwap_252_breakout,atr_trail_2x,14,2,0.5,-1.14765,-2.2953
avwap_252_breakout,atr_trail_2x,42,1,1.0,19.5658,19.5658
avwap_252_breakout,atr_trail_2x,56,1,0.0,-6.1151,-6.1151
avwap_252_breakout,break_even_at_1r,11,1,0.0,-1.8941,-1.8941
avwap_252_breakout,break_even_at_1r,14,2,0.0,-5.4984,-10.9968
avwap_252_breakout,break_even_at_1r,42,1,0.0,-6.9223,-6.9223
avwap_252_breakout,break_even_at_1r,56,1,0.0,0.0,0.0
avwap_252_breakout,breakeven_plus_trail,11,1,0.0,-3.7882,-3.7882
avwap_252_breakout,breakeven_plus_trail,14,2,0.5,-0.5681500000000002,-1.1363000000000003
avwap_252_breakout,breakeven_plus_trail,42,1,1.0,22.5171,22.5171
avwap_252_breakout,breakeven_plus_trail,56,1,0.0,0.0,0.0
avwap_252_breakout,class_time_stop,11,1,0.0,-10.0752,-10.0752
avwap_252_breakout,class_time_stop,14,2,0.5,-0.37565000000000026,-0.7513000000000005
avwap_252_breakout,class_time_stop,42,1,1.0,11.3432,11.3432
avwap_252_breakout,class_time_stop,56,1,1.0,5.3202,5.3202
avwap_252_breakout,earnings_blackout,11,1,0.0,-42.3541,-42.3541
avwap_252_breakout,earnings_blackout,14,2,0.0,-54.656549999999996,-109.31309999999999
avwap_252_breakout,earnings_blackout,42,1,0.0,-37.3489,-37.3489
avwap_252_breakout,earnings_blackout,56,1,0.0,-8.1656,-8.1656
avwap_252_breakout,fixed_4r_2r,11,1,0.0,-3.7882,-3.7882
avwap_252_breakout,fixed_4r_2r,14,2,0.5,5.798000000000001,11.596000000000002
avwap_252_breakout,fixed_4r_2r,42,1,1.0,22.0025,22.0025
avwap_252_breakout,fixed_4r_2r,56,1,1.0,17.4569,17.4569
avwap_252_breakout,hybrid_50pct_target,11,1,0.0,-10.0,-10.0
avwap_252_breakout,hybrid_50pct_target,14,2,1.0,11.912199999999999,23.824399999999997
avwap_252_breakout,hybrid_50pct_target,42,1,1.0,12.2438,12.2438
avwap_252_breakout,hybrid_50pct_target,56,1,1.0,13.5239,13.5239
avwap_252_breakout,ma_exit_ema9,11,1,0.0,-2.5286,-2.5286
avwap_252_breakout,ma_exit_ema9,14,2,0.0,-6.721550000000001,-13.443100000000001
avwap_252_breakout,ma_exit_ema9,42,1,0.0,-3.6316,-3.6316
avwap_252_breakout,ma_exit_ema9,56,1,0.0,-2.8069,-2.8069
avwap_252_breakout,next_pivot_target,11,1,0.0,-10.0,-10.0
avwap_252_breakout,next_pivot_target,14,2,0.5,2.992400000000001,5.984800000000002
avwap_252_breakout,next_pivot_target,42,1,1.0,3.2358,3.2358
avwap_252_breakout,next_pivot_target,56,1,1.0,0.5288,0.5288
avwap_252_breakout,r_multiple_2r,11,1,0.0,-1.8941,-1.8941
avwap_252_breakout,r_multiple_2r,14,2,0.0,-5.4984,-10.9968
avwap_252_breakout,r_multiple_2r,42,1,0.0,-6.9223,-6.9223
avwap_252_breakout,r_multiple_2r,56,1,0.0,-4.3642,-4.3642
avwap_252_breakout,r_multiple_3r,11,1,0.0,-1.8941,-1.8941
avwap_252_breakout,r_multiple_3r,14,2,0.0,-5.4984,-10.9968
avwap_252_breakout,r_multiple_3r,42,1,0.0,-6.9223,-6.9223
avwap_252_breakout,r_multiple_3r,56,1,0.0,-4.3642,-4.3642
avwap_252_breakout,regime_flip,11,1,0.0,-8.5539,-8.5539
avwap_252_breakout,regime_flip,14,2,0.5,4.6274500000000005,9.254900000000001
avwap_252_breakout,regime_flip,42,1,1.0,8.7679,8.7679
avwap_252_breakout,regime_flip,56,1,0.0,-4.4323,-4.4323
avwap_252_breakout,time_stop_10d,11,1,0.0,-7.8511,-7.8511
avwap_252_breakout,time_stop_10d,14,2,1.0,10.04955,20.0991
avwap_252_breakout,time_stop_10d,42,1,1.0,8.7679,8.7679
avwap_252_breakout,time_stop_10d,56,1,1.0,1.2058,1.2058
avwap_252_breakout,time_stop_20d,11,1,0.0,-8.5539,-8.5539
avwap_252_breakout,time_stop_20d,14,2,0.5,4.6274500000000005,9.254900000000001
avwap_252_breakout,time_stop_20d,42,1,1.0,8.7679,8.7679
avwap_252_breakout,time_stop_20d,56,1,0.0,-4.4323,-4.4323
avwap_252_breakout,trailing_10pct,11,1,0.0,-10.0,-10.0
avwap_252_breakout,trailing_10pct,14,2,0.5,1.2223499999999996,2.444699999999999
avwap_252_breakout,trailing_10pct,42,1,0.0,-0.5794,-0.5794
avwap_252_breakout,trailing_10pct,56,1,0.0,-3.645,-3.645
avwap_252_breakout,trailing_15pct,11,1,0.0,-5.3037,-5.3037
avwap_252_breakout,trailing_15pct,14,2,0.5,-3.2675499999999995,-6.535099999999999
avwap_252_breakout,trailing_15pct,42,1,1.0,20.476,20.476
avwap_252_breakout,trailing_15pct,56,1,1.0,10.044,10.044
avwap_252_breakout,trailing_5pct,11,1,0.0,-5.0,-5.0
avwap_252_breakout,trailing_5pct,14,2,0.0,-4.0559,-8.1118
avwap_252_breakout,trailing_5pct,42,1,0.0,-2.3535,-2.3535
avwap_252_breakout,trailing_5pct,56,1,0.0,-1.9205,-1.9205
avwap_50_reclaim,atr_trail_1x,1,1,0.0,-1.0313,-1.0313
avwap_50_reclaim,atr_trail_1x,4,1,1.0,1.6484,1.6484
avwap_50_reclaim,atr_trail_1x,7,1,0.0,-3.8402,-3.8402
