signal_contribution,timing_contribution,exit_contribution,sizing_contribution,agent_contribution,actual_total_check,ticker,entry_date
-1007.13,0.0,0.0,0.0,0.0,-1007.13,RKLB,2022-05-05
-1007.21,0.0,0.0,0.0,0.0,-1007.21,FOX,2022-05-05
-260.46,0.0,0.0,0.0,0.0,-260.46,CG,2022-05-05
-1347.51,0.0,0.0,0.0,0.0,-1347.51,UUUU,2022-05-12
-1007.21,0.0,0.0,0.0,0.0,-1007.21,FLR,2022-05-13
-306.76,0.0,0.0,0.0,0.0,-306.76,NVDA,2022-05-12
-1007.2,0.0,0.0,0.0,0.0,-1007.2,LCID,2022-05-19
-372.78,0.0,0.0,0.0,0.0,-372.78,HST,2022-05-05
-272.54,0.0,0.0,0.0,0.0,-272.54,BAM,2022-05-05
1302.94,0.0,0.0,0.0,0.0,1302.94,SWIM,2022-05-16
-610.92,0.0,0.0,0.0,0.0,-610.92,BAC,2022-05-12
1656.99,0.0,0.0,0.0,0.0,1656.99,GNRC,2022-05-16
-285.69,0.0,0.0,0.0,0.0,-285.69,SGH,2022-05-17
-653.71,0.0,0.0,0.0,0.0,-653.71,REZI,2022-05-17
72.89,0.0,0.0,0.0,0.0,72.89,CG,2022-05-24
-624.5,0.0,0.0,0.0,0.0,-624.5,NVDA,2022-05-31
1738.69,0.0,0.0,0.0,0.0,1738.69,VET,2022-05-12
-805.17,0.0,0.0,0.0,0.0,-805.17,IFF,2022-05-13
-838.02,0.0,0.0,0.0,0.0,-838.02,HOLX,2022-05-13
234.65,0.0,0.0,0.0,0.0,234.65,XLE,2022-05-13
-331.91,0.0,0.0,0.0,0.0,-331.91,RF,2022-05-16
-536.97,0.0,0.0,0.0,0.0,-536.97,WMB,2022-05-23
-758.31,0.0,0.0,0.0,0.0,-758.31,SWIM,2022-06-02
-1063.96,0.0,0.0,0.0,0.0,-1063.96,BAM,2022-06-02
-931.62,0.0,0.0,0.0,0.0,-931.62,BDX,2022-05-05
