strategy,sector,sector_criteria,direction_mix,total_trades,win_rate,win_rate_ci_low,win_rate_ci_high,statistically_random,profit_factor,expected_value,win_loss_ratio,avg_win_pct,avg_loss_pct,max_drawdown_pct,total_roi_pct,sharpe_ratio,sharpe_daily,sortino_ratio,deflated_sharpe,psr,psr_note,tiered_min_trades,meets_tiered_min,pct_trades_near_event,pct_trades_near_fomc,pct_trades_near_cpi,pct_trades_near_nfp,win_rate_near_event,win_rate_far_from_event,win_rate_event_delta,event_wr_note,adf_statistic,adf_p_value,is_stationary,adf_note,chow_f_statistic,chow_p_value,has_structural_break,chow_note,sharpe_at_0bps,sharpe_at_5bps,sharpe_at_10bps,sharpe_at_20bps,avg_aep_pct,n_aep_eligible,poor_exit_timing,aep_note,calmar_ratio,kelly,avg_hold_days,best_trade_pct,worst_trade_pct,smart_money_lift,macro_correlation,regimes_profitable,regime_verdicts,best_regimes,passes_all,audit_flags,category,spy_benchmark_return,vs_benchmark,beats_benchmark,regime_bear_correction_2022,regime_rate_rising_2022_2023,regime_strong_bull_2023,regime_rate_falling_2024,regime_ai_sector_bull_2024,regime_tariff_shock_2025,regime_ai_divergence_2025_2026,regime_covid_crisis_2020
hull_rsi,Commodities,low_volatility,1L/0S,1,1.0,0.2065,1.0,True,inf,19.2433,999.0,19.2433,0.0,0.0,19.2433,,0.0,999.0,,,insufficient_sample,300,False,0.0,0.0,0.0,0.0,,,,insufficient_sample,,,,insufficient_sample,,,,insufficient_sample,,,,,0.4617,1,False,ok,0.0,"{'full_kelly_pct': 0.0, 'quarter_kelly_pct': 0.0, 'note': 'insufficient_data'}",197.0,19.2433,19.2433,,,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,"['win_rate_100.0pct_exceeds_audit_threshold', 'profit_factor_inf_exceeds_audit_threshold', 'ci_lower_20.6pct_may_be_random']",momentum,75.15,-55.9067,False,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
pivot_r2_continuation,Consumer Discretionary,medium_volatility,8L/2S,10,0.6,0.3127,0.8318,True,1.8762,2.3966,1.2508,8.553,-6.8379,-22.13,23.9665,0.386,2.797,0.944,,,insufficient_sample,150,False,40.0,0.0,20.0,20.0,0.5,0.6667,-0.1667,small_subgroup,,,,insufficient_sample,,,,insufficient_sample,0.386,0.378,0.37,0.354,0.5667,6,True,ok,0.289,"{'full_kelly_pct': 28.02, 'quarter_kelly_pct': 7.01, 'note': 'reasonable'}",94.5,22.4187,-10.4863,,,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,"['profit_factor_1.88_exceeds_audit_threshold', 'ci_lower_31.3pct_may_be_random']",pivot,75.15,-51.1835,False,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
williams_stoch_dual,Communication Services,high_volatility,0L/2S,2,0.5,0.0945,0.9055,True,2.5837,8.2723,2.5837,26.9912,-10.4467,-10.4467,16.5445,0.87,7.745,2.205,,,insufficient_sample,300,False,50.0,50.0,0.0,0.0,,,,insufficient_sample,,,,insufficient_sample,,,,insufficient_sample,0.87,0.865,0.86,0.849,0.2169,1,False,ok,6.14,"{'full_kelly_pct': 30.65, 'quarter_kelly_pct': 7.66, 'note': 'reasonable'}",32.5,26.9912,-10.4467,,,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,"['profit_factor_2.58_exceeds_audit_threshold', 'ci_lower_9.4pct_may_be_random']",confluence,75.15,-58.6055,False,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
bollinger_lower,Information Technology,high_volatility,41L/15S,56,0.4107,0.2917,0.5412,True,1.0626,0.2561,1.5247,10.5766,-6.9371,-50.6201,14.339,0.036,0.309,0.124,0.036,0.6091,low_confidence,300,False,51.79,8.93,21.43,21.43,0.3103,0.5185,-0.2082,ok,-2.0915,0.248,False,non_stationary_edge_may_erode,10.1818,0.0002,True,structural_break_detected,0.036,0.029,0.022,0.008,0.6523,23,True,ok,0.014,"{'full_kelly_pct': 2.42, 'quarter_kelly_pct': 0.61, 'note': 'reasonable'}",89.1,47.4342,-19.0814,,,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,['ci_lower_29.2pct_may_be_random'],mean_reversion,75.15,-60.811,False,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
pivot_r1_breakout,Health Care,high_volatility,11L/9S,20,0.35,0.1812,0.5671,True,0.8909,-0.4916,1.6545,11.4675,-6.9311,-40.0678,-9.8315,-0.08,-0.603,-0.217,,,insufficient_sample,150,False,25.0,0.0,15.0,10.0,0.2,0.4,-0.2,ok,-4.3037,0.0004,True,ok,4.7414,0.0242,True,structural_break_detected,-0.08,-0.088,-0.097,-0.113,0.601,7,True,ok,-0.037,"{'full_kelly_pct': -4.29, 'quarter_kelly_pct': 0.0, 'note': 'negative_edge'}",82.9,25.8114,-14.5016,,,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,['ci_lower_18.1pct_may_be_random'],pivot,75.15,-84.9815,False,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
bollinger_tight,Communication Services,high_volatility,27L/21S,48,0.3333,0.2168,0.4746,True,1.1262,0.597,2.2524,15.9857,-7.0973,-45.5853,28.6577,0.064,0.872,0.396,0.0636,0.6893,low_confidence,300,False,35.42,10.42,18.75,6.25,0.2941,0.3548,-0.0607,ok,-3.2825,0.0157,True,ok,2.4716,0.0961,False,no_structural_break,0.064,0.059,0.053,0.042,0.5544,16,True,ok,0.039,"{'full_kelly_pct': 3.73, 'quarter_kelly_pct': 0.93, 'note': 'reasonable'}",83.7,85.8815,-11.7533,,,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,['ci_lower_21.7pct_may_be_random'],mean_reversion,75.15,-46.4923,False,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
cpr_narrow_bullish,Health Care,high_volatility,21L/21S,42,0.3095,0.1907,0.4603,True,0.5979,-2.1777,1.3338,10.4618,-7.8437,-73.8617,-91.4631,-0.436,-3.512,-1.314,-0.436,0.0137,low_confidence,150,False,38.1,7.14,14.29,16.67,0.4375,0.2308,0.2067,ok,-3.5923,0.0059,True,ok,63.6701,0.0,True,structural_break_detected,-0.436,-0.446,-0.456,-0.476,0.5441,13,True,ok,-0.12,"{'full_kelly_pct': -20.82, 'quarter_kelly_pct': 0.0, 'note': 'negative_edge'}",61.9,29.8914,-13.6666,,,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,['ci_lower_19.1pct_may_be_random'],pivot,75.15,-166.6131,False,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
williams_r_oversold,Energy,high_volatility,12L/1S,13,0.3077,0.1268,0.5763,True,1.0521,0.2118,2.3672,13.905,-5.8741,-26.9481,2.7532,0.03,0.197,0.086,,,insufficient_sample,300,False,30.77,15.38,0.0,15.38,0.0,0.4444,-0.4444,small_subgroup,,,,insufficient_sample,,,,insufficient_sample,0.03,0.023,0.016,0.002,0.3734,4,False,ok,0.023,"{'full_kelly_pct': 1.52, 'quarter_kelly_pct': 0.38, 'note': 'tiny_edge'}",85.8,31.1705,-10.6175,,,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,['ci_lower_12.7pct_may_be_random'],momentum,75.15,-72.3968,False,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
stochrsi_oversold,Commodities,low_volatility,7L/14S,21,0.1905,0.0767,0.4,True,0.2037,-4.3782,0.8655,5.8782,-6.7915,-59.5964,-91.9431,-1.246,-6.169,-2.421,,,insufficient_sample,300,False,33.33,4.76,4.76,23.81,0.0,0.2857,-0.2857,ok,0.0133,0.9596,False,non_stationary_edge_may_erode,2.5022,0.1116,False,no_structural_break,-1.246,-1.26,-1.275,-1.303,0.7554,4,True,ok,-0.227,"{'full_kelly_pct': -74.48, 'quarter_kelly_pct': 0.0, 'note': 'negative_edge'}",81.6,12.9766,-11.4688,,,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,['ci_lower_7.7pct_may_be_random'],momentum,75.15,-167.0931,False,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
ichimoku_cloud_breakout,Utilities,low_volatility,3L/2S,5,0.0,0.0,0.4345,True,0.0,-7.4652,0.0,0.0,-7.4652,-27.1478,-37.326,-12.222,-28.334,-12.222,,,insufficient_sample,300,False,40.0,0.0,0.0,40.0,,,,insufficient_sample,,,,insufficient_sample,,,,insufficient_sample,-12.222,-12.303,-12.385,-12.549,,0,False,no_winning_trades_with_mfe,-5.873,"{'full_kelly_pct': 0.0, 'quarter_kelly_pct': 0.0, 'note': 'insufficient_data'}",11.8,-3.1126,-10.5703,,,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,['ci_lower_0.0pct_may_be_random'],trend,75.15,-112.476,False,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
