entry_date,sector,trades,total_trades,sector_pct
2022-05-09,Broad Market,1,10,10.0
2022-05-09,Commodities,1,10,10.0
2022-05-09,Communication Services,1,10,10.0
2022-05-09,Financials,1,10,10.0
2022-05-09,Industrials,3,10,30.0
2022-05-09,Information Technology,2,10,20.0
2022-05-09,Small Cap,1,10,10.0
2022-05-16,Information Technology,1,1,100.0
2022-05-24,Health Care,1,1,100.0
2022-06-13,Energy,1,7,14.285714285714285
2022-06-13,Fixed Income,2,7,28.57142857142857
2022-06-13,Health Care,2,7,28.57142857142857
2022-06-13,Information Technology,2,7,28.57142857142857
2022-06-20,Energy,1,3,33.33333333333333
2022-06-20,Health Care,2,3,66.66666666666666
2022-07-01,Information Technology,1,1,100.0
2022-07-06,Commodities,1,1,100.0
2022-08-08,Small Cap,1,1,100.0
2022-08-15,Information Technology,1,1,100.0
2022-08-22,Commodities,1,1,100.0
2022-08-29,Health Care,1,1,100.0
2022-08-30,Broad Market,1,1,100.0
2022-08-31,Consumer Staples,1,1,100.0
2022-09-05,Industrials,2,3,66.66666666666666
2022-09-05,Utilities,1,3,33.33333333333333
2022-09-06,Industrials,1,1,100.0
2022-09-16,Information Technology,1,1,100.0
2022-09-26,Energy,1,4,25.0
2022-09-26,Fixed Income,1,4,25.0
2022-09-26,Information Technology,2,4,50.0
2022-09-27,Consumer Discretionary,1,2,50.0
2022-09-27,Fixed Income,1,2,50.0
2022-09-28,Health Care,1,1,100.0
2022-10-10,Information Technology,1,1,100.0
2022-10-17,Financials,1,1,100.0
2022-10-21,Industrials,1,1,100.0
2022-11-18,Health Care,1,1,100.0
2022-11-28,Consumer Staples,1,1,100.0
2022-11-29,Consumer Discretionary,1,1,100.0
2022-12-20,Consumer Discretionary,1,1,100.0
2023-01-16,Financials,1,1,100.0
2023-01-19,Consumer Staples,1,1,100.0
2023-01-20,Financials,1,1,100.0
2023-01-24,Industrials,1,1,100.0
2023-02-06,Consumer Staples,1,2,50.0
2023-02-06,Health Care,1,2,50.0
2023-02-17,Health Care,1,1,100.0
2023-02-21,Financials,1,1,100.0
2023-02-22,Health Care,1,1,100.0
2023-03-01,Consumer Discretionary,1,2,50.0
2023-03-01,Health Care,1,2,50.0
2023-03-02,Consumer Discretionary,1,1,100.0
2023-03-17,Industrials,1,1,100.0
2023-04-04,Information Technology,1,1,100.0
2023-05-23,Consumer Discretionary,1,2,50.0
2023-05-23,Financials,1,2,50.0
2023-05-31,Industrials,1,1,100.0
2023-06-06,Consumer Discretionary,1,1,100.0
2023-06-09,Information Technology,1,1,100.0
2023-06-20,Consumer Discretionary,1,1,100.0
2023-07-03,Financials,1,1,100.0
2023-07-21,Consumer Discretionary,1,1,100.0
2023-08-07,Utilities,1,1,100.0
2023-08-14,Commodities,1,1,100.0
2023-08-22,Financials,1,1,100.0
2023-09-18,Health Care,1,1,100.0
2023-09-26,Information Technology,1,1,100.0
2023-09-27,Fixed Income,1,1,100.0
2023-10-03,Fixed Income,1,1,100.0
2023-10-09,Industrials,1,1,100.0
2023-10-20,Information Technology,1,1,100.0
2023-10-27,Energy,1,2,50.0
2023-10-27,Industrials,1,2,50.0
2023-11-20,Consumer Discretionary,1,1,100.0
2023-11-21,Health Care,1,1,100.0
2023-11-27,Consumer Discretionary,1,2,50.0
2023-11-27,Consumer Staples,1,2,50.0
2023-12-01,Financials,1,1,100.0
2023-12-04,Consumer Discretionary,1,2,50.0
2023-12-04,Information Technology,1,2,50.0
2023-12-05,Consumer Discretionary,1,1,100.0
2023-12-06,Communication Services,1,1,100.0
2023-12-18,Financials,1,1,100.0
2024-01-19,Communication Services,1,1,100.0
2024-02-05,Health Care,1,1,100.0
2024-02-16,Financials,1,1,100.0
2024-02-20,Financials,1,1,100.0
2024-02-29,Industrials,1,1,100.0
2024-03-01,Consumer Discretionary,1,1,100.0
2024-07-01,Consumer Staples,1,5,20.0
2024-07-01,Financials,1,5,20.0
2024-07-01,Health Care,2,5,40.0
2024-07-01,Industrials,1,5,20.0
2024-08-06,Communication Services,1,2,50.0
2024-08-06,Health Care,1,2,50.0
2024-08-20,Consumer Staples,1,1,100.0
2024-08-21,Health Care,1,1,100.0
2024-09-09,Health Care,1,1,100.0
2024-09-16,Financials,1,1,100.0
2024-10-01,Communication Services,1,1,100.0
2024-10-08,Information Technology,1,1,100.0
2024-10-21,Health Care,1,1,100.0
2024-10-25,Consumer Discretionary,2,2,100.0
2024-11-11,Health Care,1,1,100.0
2024-11-18,Health Care,1,1,100.0
2024-12-09,Commodities,1,1,100.0
2024-12-16,Communication Services,1,1,100.0
2024-12-23,Consumer Discretionary,1,3,33.33333333333333
2024-12-23,Consumer Staples,1,3,33.33333333333333
2024-12-23,Fixed Income,1,3,33.33333333333333
2025-01-23,Financials,1,1,100.0
2025-02-10,Health Care,1,1,100.0
2025-02-17,Communication Services,1,1,100.0
2025-02-18,Consumer Discretionary,1,1,100.0
2025-03-04,Health Care,1,1,100.0
2025-03-17,Commodities,1,2,50.0
2025-03-17,Industrials,1,2,50.0
2025-03-28,Health Care,1,1,100.0
2025-04-02,Consumer Staples,1,1,100.0
2025-04-07,Consumer Discretionary,1,8,12.5
2025-04-07,Consumer Staples,1,8,12.5
2025-04-07,Energy,1,8,12.5
2025-04-07,Industrials,2,8,25.0
2025-04-07,Information Technology,3,8,37.5
2025-04-08,Consumer Staples,1,5,20.0
2025-04-08,Energy,1,5,20.0
