signal_contribution,timing_contribution,exit_contribution,sizing_contribution,agent_contribution,actual_total_check,ticker,entry_date
-1008.81,0.0,0.0,0.0,0.0,-1008.81,NVDA,2024-01-02
-1033.05,0.0,0.0,0.0,0.0,-1033.05,TSLA,2024-01-03
-118.92,0.0,0.0,0.0,0.0,-118.92,JPM,2024-01-02
-349.45,0.0,0.0,0.0,0.0,-349.45,BAC,2024-01-02
265.78,0.0,0.0,0.0,0.0,265.78,SPY,2024-01-02
-1008.8,0.0,0.0,0.0,0.0,-1008.8,MSFT,2024-01-02
-1041.6,0.0,0.0,0.0,0.0,-1041.6,UNH,2024-01-02
-1007.18,0.0,0.0,0.0,0.0,-1007.18,PFE,2024-01-02
-8.0,0.0,0.0,0.0,0.0,-8.0,GOOGL,2024-01-02
584.18,0.0,0.0,0.0,0.0,584.18,WMT,2024-01-02
526.75,0.0,0.0,0.0,0.0,526.75,HD,2024-01-02
-181.29,0.0,0.0,0.0,0.0,-181.29,JNJ,2024-01-02
-35.14,0.0,0.0,0.0,0.0,-35.14,AAPL,2024-01-02
-98.18,0.0,0.0,0.0,0.0,-98.18,KO,2024-01-02
1794.94,0.0,0.0,0.0,0.0,1794.94,AVGO,2024-01-02
1366.07,0.0,0.0,0.0,0.0,1366.07,AMZN,2024-01-02
573.16,0.0,0.0,0.0,0.0,573.16,PG,2024-01-02
1178.21,0.0,0.0,0.0,0.0,1178.21,MA,2024-01-02
857.5,0.0,0.0,0.0,0.0,857.5,V,2024-01-02
133.76,0.0,0.0,0.0,0.0,133.76,XOM,2024-01-02
4038.86,0.0,0.0,0.0,0.0,4038.86,META,2024-01-03
228.86,0.0,0.0,0.0,0.0,228.86,SPY,2024-01-29
398.41,0.0,0.0,0.0,0.0,398.41,JPM,2024-01-29
33.45,0.0,0.0,0.0,0.0,33.45,BAC,2024-01-29
-219.61,0.0,0.0,0.0,0.0,-219.61,GOOGL,2024-02-07
-6.48,0.0,0.0,0.0,0.0,-6.48,NVDA,2024-02-09
