strategy,regime,trades,win_rate,avg_pnl,total_roi
adx_initiation,unknown,4,0.25,-1.0848,-4.3394
awesome_oscillator,unknown,75,0.3067,-0.2252,-16.8926
bollinger_lower,unknown,170,0.3706,1.8786,319.3683
bollinger_tight,unknown,244,0.3279,0.174,42.4621
bollinger_upper_short,unknown,8,0.0,-8.075,-64.6003
bullish_engulfing_support,unknown,21,0.3333,0.2132,4.477
camarilla_r3_breakout,unknown,41,0.4146,4.1317,169.4
camarilla_rsi_obv,unknown,3,0.0,-6.3522,-19.0567
camarilla_s3_bounce,unknown,16,0.125,-5.2659,-84.2547
cmf_flip,unknown,61,0.3279,-1.898,-115.7753
cpr_narrow_bullish,unknown,271,0.3173,0.5285,143.2273
cpr_narrow_momentum,unknown,127,0.4173,3.0742,390.4258
cpr_narrow_momentum_short,unknown,77,0.1429,-4.7962,-369.3099
doji_at_support,unknown,3,0.3333,31.1136,93.3407
donchian_10_breakout,unknown,17,0.1765,0.4244,7.2146
donchian_breakdown_short,unknown,5,0.2,-4.9827,-24.9137
evening_star_short,unknown,6,0.0,-6.8441,-41.0643
force_index_breakout,unknown,65,0.2308,-2.29,-148.8484
golden_cross_20_50,unknown,25,0.48,5.0782,126.9547
golden_cross_50_200,unknown,18,0.6667,8.6373,155.4718
golden_cross_9_21,unknown,51,0.3333,0.0348,1.7771
hull_rsi,unknown,219,0.3425,1.4848,325.1665
hull_rsi_short,unknown,107,0.1963,-4.6267,-495.0535
ichimoku_cloud_breakout,unknown,112,0.3571,1.5826,177.2488
ichimoku_tk_cross,unknown,47,0.3617,1.0752,50.5332
inside_bar_breakout,unknown,49,0.5306,7.3938,362.2947
macd_crossover,unknown,132,0.4167,1.4034,185.2486
macd_crossover_short,unknown,39,0.1026,-6.2748,-244.7181
macd_fast_crossover,unknown,106,0.3585,1.4235,150.8886
macd_ichimoku,unknown,48,0.375,3.0694,147.3317
morning_star,unknown,75,0.4267,3.7071,278.0359
pivot_fib_confluence,unknown,6,0.6667,8.0626,48.3755
pivot_r1_breakout,unknown,143,0.3357,0.3997,57.1518
pivot_r2_continuation,unknown,109,0.3486,0.5808,63.304
pivot_s1_bounce,unknown,30,0.4,2.7032,81.097
pivot_s2_bounce,unknown,9,0.3333,-3.4926,-31.4335
pivot_s3_capitulation,unknown,4,0.5,-0.616,-2.4641
ppo_crossover,unknown,55,0.2727,-0.447,-24.5875
prev_day_high_break,unknown,55,0.4,2.4779,136.2818
prev_day_low_bounce,unknown,18,0.5556,2.0592,37.0652
prev_day_low_breakdown,unknown,5,0.2,-4.4778,-22.3891
roc_burst,unknown,30,0.3667,2.5892,77.6752
rsi21_slow,unknown,4,0.5,4.9608,19.843
rsi9_extreme,unknown,27,0.2222,-0.4766,-12.8672
rsi_oversold,unknown,50,0.3,0.0896,4.4816
rsi_volume_200ema,unknown,11,0.1818,-3.574,-39.3137
shooting_star_short,unknown,20,0.0,-7.6666,-153.3312
stoch_oversold,unknown,3,0.0,-7.4742,-22.4226
stochrsi_overbought_short,unknown,77,0.1688,-5.2129,-401.394
stochrsi_oversold,unknown,167,0.2994,-0.455,-75.9932
supertrend_ichimoku_adx,unknown,37,0.5405,4.3289,160.1701
supertrend_macd,unknown,130,0.4308,3.76,488.7938
supertrend_macd_short,unknown,6,0.3333,-5.9359,-35.6156
tema_dema,unknown,82,0.3659,-0.8126,-66.6339
three_white_soldiers,unknown,33,0.5152,2.4534,80.9615
ultimate_oscillator,unknown,25,0.44,3.7254,93.1352
volume_spike_breakout,unknown,4,0.25,-2.5069,-10.0274
williams_r_oversold,unknown,84,0.4048,3.1428,263.9976
williams_stoch_dual,unknown,167,0.2395,-2.4938,-416.4623
