ticker,strategy,entry_date,direction,entry_price,exit_method,pnl_pct,win,hold_days,exit_price,exit_date
AMZN,bollinger_tight,2022-05-05,long,115.1759,trailing_10pct,-10.0,False,7,103.6583,2022-05-12
DIA,bollinger_tight,2022-05-05,long,328.0864,trailing_10pct,-8.7152,False,42,299.493,2022-06-16
QQQ,bollinger_tight,2022-05-06,long,304.1373,trailing_10pct,-6.969,False,38,282.942,2022-06-13
XLF,bollinger_tight,2022-05-09,long,34.2615,trailing_10pct,-6.5628,False,35,32.013,2022-06-13
NVDA,bollinger_tight,2022-05-12,long,16.8635,trailing_10pct,-2.9899,False,8,16.3593,2022-05-20
WMT,bollinger_tight,2022-05-11,long,49.3341,trailing_10pct,-9.8738,False,6,44.463,2022-05-17
AMZN,bollinger_tight,2022-05-11,long,103.1598,trailing_10pct,0.6513,True,13,103.8316,2022-05-24
TSLA,bollinger_tight,2022-05-16,long,250.241,trailing_10pct,-8.6948,False,4,228.483,2022-05-20
AAPL,bollinger_tight,2022-05-16,long,149.4229,trailing_10pct,-10.0,False,4,134.4806,2022-05-20
JPM,bollinger_tight,2022-05-11,long,117.2884,trailing_10pct,1.4653,True,33,119.007,2022-06-13
BAC,bollinger_tight,2022-05-12,long,35.6299,trailing_10pct,-6.034,False,29,33.48,2022-06-10
TSLA,bollinger_tight,2022-05-20,long,218.9596,trailing_10pct,6.184,True,18,232.5,2022-06-07
TSLA,bollinger_tight,2022-05-24,long,208.4046,trailing_10pct,11.5618,True,14,232.5,2022-06-07
WMT,bollinger_tight,2022-05-18,long,40.4018,trailing_10pct,13.9875,True,294,46.053,2023-03-08
BAC,bollinger_tight,2022-05-20,long,34.9045,trailing_10pct,-4.0811,False,21,33.48,2022-06-10
XLK,bollinger_tight,2022-05-18,long,65.6838,trailing_10pct,-1.7429,False,26,64.539,2022-06-13
QQQ,bollinger_tight,2022-05-18,long,289.5606,trailing_10pct,-2.2857,False,26,282.942,2022-06-13
SPY,bollinger_tight,2022-05-19,long,393.7507,trailing_10pct,-4.5967,False,25,375.651,2022-06-13
TLT,bollinger_tight,2022-05-30,short,116.9579,trailing_10pct,-2.3368,False,63,119.691,2022-08-01
JPM,bollinger_tight,2022-06-14,long,115.9516,trailing_10pct,-4.0401,False,100,111.267,2022-09-22
XLK,bollinger_tight,2022-06-16,long,61.7545,trailing_10pct,10.4405,True,75,68.202,2022-08-30
GLD,bollinger_tight,2022-05-10,long,172.6714,trailing_10pct,-9.026,False,128,157.086,2022-09-15
NVDA,bollinger_tight,2022-07-01,long,14.2302,trailing_10pct,21.5268,True,38,17.2935,2022-08-08
WMT,bollinger_tight,2022-07-19,short,43.4366,trailing_10pct,-2.9685,False,13,44.726,2022-08-01
TLT,bollinger_tight,2022-07-13,short,114.9111,trailing_10pct,11.549,True,133,101.64,2022-11-23
GOOGL,bollinger_tight,2022-07-25,long,106.8501,trailing_10pct,2.8282,True,35,109.872,2022-08-29
NVDA,bollinger_tight,2022-08-23,long,17.0543,trailing_10pct,-5.4684,False,6,16.1217,2022-08-29
SPY,bollinger_tight,2022-06-15,long,371.4702,trailing_10pct,4.1079,True,93,386.73,2022-09-16
DIA,bollinger_tight,2022-06-17,long,303.6133,trailing_10pct,1.3019,True,91,307.566,2022-09-16
GOOGL,bollinger_tight,2022-08-23,long,113.6267,trailing_10pct,-7.6053,False,21,104.985,2022-09-13
GLD,bollinger_tight,2022-07-08,long,162.0155,trailing_10pct,-6.7478,False,80,151.083,2022-09-26
BAC,bollinger_tight,2022-08-15,short,36.1551,trailing_10pct,9.4263,True,63,32.747,2022-10-17
AAPL,bollinger_tight,2022-08-10,short,169.8416,trailing_10pct,10.4931,True,76,152.02,2022-10-25
QQQ,bollinger_tight,2022-08-15,short,331.8552,trailing_10pct,13.6554,True,88,286.539,2022-11-11
XLK,bollinger_tight,2022-08-30,long,68.7669,trailing_10pct,-8.7788,False,23,62.73,2022-09-22
MSFT,bollinger_tight,2022-08-31,long,259.3345,trailing_10pct,-7.4612,False,20,239.985,2022-09-20
NVDA,bollinger_tight,2022-09-02,long,13.76,trailing_10pct,-5.1272,False,12,13.0545,2022-09-14
SPY,bollinger_tight,2022-08-26,long,402.6293,trailing_10pct,-8.1356,False,28,369.873,2022-09-23
DIA,bollinger_tight,2022-08-26,long,320.8734,trailing_10pct,-8.9632,False,31,292.113,2022-09-26
META,bollinger_tight,2022-09-13,long,153.58,trailing_10pct,-10.0,False,13,138.222,2022-09-26
GOOGL,bollinger_tight,2022-09-13,long,104.7519,trailing_10pct,-9.7868,False,30,94.5,2022-10-13
META,bollinger_tight,2022-09-16,long,145.5576,trailing_10pct,-8.4775,False,21,133.218,2022-10-07
AAPL,bollinger_tight,2022-09-16,long,149.5672,trailing_10pct,-5.5876,False,13,141.21,2022-09-29
XLK,bollinger_tight,2022-09-16,long,63.6531,trailing_10pct,-8.4915,False,25,58.248,2022-10-11
MSFT,bollinger_tight,2022-09-15,long,244.5669,trailing_10pct,-8.295,False,26,224.28,2022-10-11
JPM,bollinger_tight,2022-09-23,long,108.1992,trailing_10pct,-6.198,False,19,101.493,2022-10-12
QQQ,bollinger_tight,2022-09-26,long,278.2417,trailing_10pct,-4.9934,False,87,264.348,2022-12-22
XLK,bollinger_tight,2022-09-29,long,60.3475,trailing_10pct,-5.3059,False,14,57.1455,2022-10-13
XLF,bollinger_tight,2022-09-30,long,30.6995,trailing_10pct,8.4708,True,161,33.3,2023-03-10
SPY,bollinger_tight,2022-09-27,long,364.5896,trailing_10pct,13.0068,True,394,412.011,2023-10-26
AAPL,bollinger_tight,2022-09-30,long,138.4183,trailing_10pct,1.2626,True,34,140.166,2022-11-03
GOOGL,bollinger_tight,2022-09-30,long,97.0174,trailing_10pct,-3.0772,False,27,94.032,2022-10-27
DIA,bollinger_tight,2022-09-23,long,294.8138,trailing_10pct,37.6618,True,923,405.846,2025-04-03
QQQ,bollinger_tight,2022-10-10,long,264.9493,trailing_10pct,-0.2269,False,73,264.348,2022-12-22
MSFT,bollinger_tight,2022-10-11,long,225.7391,trailing_10pct,-0.0643,False,22,225.594,2022-11-02
TSLA,bollinger_tight,2022-10-11,long,215.7694,trailing_10pct,-7.3845,False,13,199.836,2022-10-24
NVDA,bollinger_tight,2022-10-12,long,11.0204,trailing_10pct,47.5881,True,68,16.2648,2022-12-19
XLK,bollinger_tight,2022-10-12,long,56.8753,trailing_10pct,7.7225,True,71,61.2675,2022-12-22
AAPL,bollinger_tight,2022-10-12,long,135.5194,trailing_10pct,3.4287,True,22,140.166,2022-11-03
