strategy,regime,trades,win_rate,avg_pnl,total_roi
avwap_252_breakout,neutral,3,0.0,-7.2083,-21.625
avwap_50_reclaim,neutral,20,0.25,-3.2639,-65.2785
bollinger_lower,neutral,4,0.0,-3.1123,-12.4492
bollinger_tight,neutral,3,0.3333,-0.4437,-1.331
buyback_8k_recent_long,neutral,3,0.0,-5.544,-16.632
cpr_narrow_bullish,neutral,25,0.24,-2.702,-67.5497
cpr_narrow_momentum,neutral,5,0.2,-1.8123,-9.0616
cup_and_handle_long,neutral,21,0.381,2.4492,51.4336
double_bottom_long,neutral,21,0.3333,1.6283,34.1943
halloween_seasonal_long,neutral,23,0.5217,7.8757,181.1401
head_and_shoulders_bottom_long,neutral,9,0.5556,3.8658,34.7924
hull_rsi,neutral,5,0.4,-1.7057,-8.5284
macd_fast_crossover,neutral,6,0.0,-6.2701,-37.6204
monthly_bias_momentum_long,neutral,12,0.3333,-2.6554,-31.8651
naked_poc_retest_long,neutral,4,0.75,9.4531,37.8123
pivot_r1_breakout,neutral,3,0.3333,-2.2524,-6.7572
poc_magnet_long,neutral,5,0.4,1.8671,9.3353
stochrsi_oversold,neutral,12,0.25,-1.2649,-15.1785
totm_long,neutral,27,0.3704,2.5995,70.1858
ultimate_oscillator,neutral,14,0.1429,-2.5369,-35.5161
williams_r_oversold,neutral,18,0.6667,4.0007,72.0133
