signal_contribution,timing_contribution,exit_contribution,sizing_contribution,agent_contribution,actual_total_check,ticker,entry_date
-1008.81,0.0,0.0,0.0,0.0,-1008.81,NVDA,2024-01-02
582.76,0.0,0.0,0.0,0.0,582.76,MSFT,2024-01-01
-1007.2,0.0,0.0,0.0,0.0,-1007.2,AAPL,2024-01-01
-1003.3,0.0,0.0,0.0,0.0,-1003.3,SPY,2024-01-01
1097.86,0.0,0.0,0.0,0.0,1097.86,NVDA,2024-02-09
3469.27,0.0,0.0,0.0,0.0,3469.27,TSLA,2024-01-01
-8.0,0.0,0.0,0.0,0.0,-8.0,TSLA,2024-04-25
1945.03,0.0,0.0,0.0,0.0,1945.03,JPM,2024-01-01
-694.87,0.0,0.0,0.0,0.0,-694.87,JNJ,2024-01-01
1246.49,0.0,0.0,0.0,0.0,1246.49,XOM,2024-01-02
52.23,0.0,0.0,0.0,0.0,52.23,V,2024-01-04
826.09,0.0,0.0,0.0,0.0,826.09,MSFT,2024-01-29
838.07,0.0,0.0,0.0,0.0,838.07,SPY,2024-04-22
4019.14,0.0,0.0,0.0,0.0,4019.14,NVDA,2024-05-02
1460.92,0.0,0.0,0.0,0.0,1460.92,AAPL,2024-05-06
1127.09,0.0,0.0,0.0,0.0,1127.09,TSLA,2024-05-17
