strategy,sharpe_adj,win_rate_adj,profit_factor_adj,haircut_pct_applied
prev_day_low_bounce,0.0,0.9,inf,0.2
naked_poc_retest_long,0.0,0.9,inf,0.2
head_and_shoulders_bottom_long,0.0,0.9,inf,0.2
williams_r_oversold,0.0,0.675,3.1139200000000002,0.2
cup_and_handle_long,0.0,0.60003,4.730230000000001,0.2
halloween_seasonal_long,0.0,0.45,5.847040000000001,0.2
monthly_bias_momentum_long,0.0,0.4,0.1573,0.4
double_bottom_long,0.0,0.3375,0.4118,0.2
cpr_narrow_bullish,0.0,0.29997,1.3672,0.2
hull_rsi,0.0,0.26664,0.1227,0.4
totm_long,0.0,0.0,0.0,0.2
break_retest_confluence,0.0,0.0,0.0,0.2
xs_momentum_top_decile,0.0,0.0,0.0,0.4
bollinger_tight,0.0,0.0,0.0,0.2
stochrsi_oversold,0.0,0.0,0.0,0.4
buyback_8k_recent_long,0.0,0.0,0.0,0.2
avwap_252_breakout,0.0,0.0,0.0,0.4
ultimate_oscillator,0.0,0.0,0.0,0.2
macd_fast_crossover,0.0,0.0,0.0,0.4
