strategy,exit_method,circuit_breaker_active_during_hold,n,win_rate,avg_pnl_pct,total_pnl_pct
double_bottom_long,atr_trail_1x,no_data,8,0.375,-0.9301625,-7.4413
double_bottom_long,atr_trail_2x,no_data,8,0.0,-2.8224375,-22.5795
double_bottom_long,atr_trail_mae_conditional,no_data,8,0.375,-0.9301625,-7.4413
double_bottom_long,atr_trail_vix_conditional,no_data,8,0.375,-0.7904,-6.3232
double_bottom_long,break_even_at_1r,no_data,8,0.0,-1.280525,-10.2442
double_bottom_long,breakeven_plus_trail,no_data,8,0.125,-2.219,-17.752
double_bottom_long,chandelier_3x,no_data,8,0.125,-0.9700375,-7.7603
double_bottom_long,class_time_stop,no_data,8,0.125,-3.22015,-25.7612
double_bottom_long,earnings_blackout,no_data,8,0.625,7.2985625,58.3885
double_bottom_long,fixed_4r_2r,no_data,8,0.125,-4.603125,-36.825
double_bottom_long,hybrid_50pct_target,no_data,8,0.5,0.6415750000000001,5.132600000000001
double_bottom_long,ma_exit_ema9,no_data,8,0.25,-0.33592500000000003,-2.6874000000000002
double_bottom_long,mfe_lockin_trail,no_data,8,0.375,-0.9301625,-7.4413
double_bottom_long,multi_tier_partial,no_data,8,0.375,-0.817,-6.536
double_bottom_long,next_pivot_target,no_data,8,0.5,-1.101025,-8.8082
double_bottom_long,r_multiple_2r,no_data,8,0.125,-1.8738125,-14.9905
double_bottom_long,r_multiple_3r,no_data,8,0.125,-1.690375,-13.523
double_bottom_long,regime_flip,no_data,8,0.125,-2.861,-22.888
double_bottom_long,reverse_signal,no_data,8,0.375,-0.9301625,-7.4413
double_bottom_long,smc_mitigation_zone,no_data,8,0.375,-0.6478125,-5.1825
double_bottom_long,time_stop_10d,no_data,8,0.5,-0.7751250000000003,-6.201000000000002
double_bottom_long,time_stop_20d,no_data,8,0.125,-2.861,-22.888
double_bottom_long,trailing_10pct,no_data,8,0.125,-4.2815,-34.252
double_bottom_long,trailing_15pct,no_data,8,0.5,3.7867750000000004,30.294200000000004
double_bottom_long,trailing_5pct,no_data,8,0.125,-2.5741875,-20.5935
