strategy,exit_method,win_loss_outcome,n,win_rate,avg_pnl_pct,total_pnl_pct
double_bottom_long,atr_trail_1x,loss,5,0.4,-1.31034,-6.5517
double_bottom_long,atr_trail_1x,win,3,0.3333333333333333,-0.2965333333333333,-0.8896
double_bottom_long,atr_trail_2x,loss,5,0.0,-3.90396,-19.5198
double_bottom_long,atr_trail_2x,win,3,0.0,-1.0199,-3.0597000000000003
double_bottom_long,atr_trail_mae_conditional,loss,5,0.4,-1.31034,-6.5517
double_bottom_long,atr_trail_mae_conditional,win,3,0.3333333333333333,-0.2965333333333333,-0.8896
double_bottom_long,atr_trail_vix_conditional,loss,5,0.2,-1.08036,-5.4018
double_bottom_long,atr_trail_vix_conditional,win,3,0.6666666666666666,-0.3071333333333333,-0.9214
double_bottom_long,break_even_at_1r,loss,5,0.0,-1.7298200000000001,-8.6491
double_bottom_long,break_even_at_1r,win,3,0.0,-0.5317,-1.5951
double_bottom_long,breakeven_plus_trail,loss,5,0.0,-3.819,-19.095
double_bottom_long,breakeven_plus_trail,win,3,0.3333333333333333,0.44766666666666666,1.343
double_bottom_long,chandelier_3x,loss,5,0.0,-1.7178799999999999,-8.5894
double_bottom_long,chandelier_3x,win,3,0.3333333333333333,0.27636666666666665,0.8291
double_bottom_long,class_time_stop,loss,5,0.0,-4.72778,-23.6389
double_bottom_long,class_time_stop,win,3,0.3333333333333333,-0.7074333333333334,-2.1223
double_bottom_long,earnings_blackout,loss,5,0.6,7.859020000000001,39.295100000000005
double_bottom_long,earnings_blackout,win,3,0.6666666666666666,6.364466666666668,19.093400000000003
double_bottom_long,fixed_4r_2r,loss,5,0.0,-5.80492,-29.0246
double_bottom_long,fixed_4r_2r,win,3,0.3333333333333333,-2.6001333333333334,-7.8004
double_bottom_long,hybrid_50pct_target,loss,5,0.2,-2.72586,-13.629299999999999
double_bottom_long,hybrid_50pct_target,win,3,1.0,6.253966666666667,18.7619
double_bottom_long,ma_exit_ema9,loss,5,0.0,-1.0487199999999999,-5.2436
double_bottom_long,ma_exit_ema9,win,3,0.6666666666666666,0.8520666666666665,2.5561999999999996
double_bottom_long,mfe_lockin_trail,loss,5,0.4,-1.31034,-6.5517
double_bottom_long,mfe_lockin_trail,win,3,0.3333333333333333,-0.2965333333333333,-0.8896
double_bottom_long,multi_tier_partial,loss,5,0.4,-1.00278,-5.0139000000000005
double_bottom_long,multi_tier_partial,win,3,0.3333333333333333,-0.5073666666666666,-1.5220999999999998
double_bottom_long,next_pivot_target,loss,5,0.4,-2.18526,-10.9263
double_bottom_long,next_pivot_target,win,3,0.6666666666666666,0.7060333333333334,2.1181
double_bottom_long,r_multiple_2r,loss,5,0.0,-2.67074,-13.3537
double_bottom_long,r_multiple_2r,win,3,0.3333333333333333,-0.5456,-1.6368
double_bottom_long,r_multiple_3r,loss,5,0.0,-2.67074,-13.3537
double_bottom_long,r_multiple_3r,win,3,0.3333333333333333,-0.05643333333333326,-0.16929999999999978
double_bottom_long,regime_flip,loss,5,0.0,-3.4438000000000004,-17.219
double_bottom_long,regime_flip,win,3,0.3333333333333333,-1.8896666666666668,-5.6690000000000005
double_bottom_long,reverse_signal,loss,5,0.4,-1.31034,-6.5517
double_bottom_long,reverse_signal,win,3,0.3333333333333333,-0.2965333333333333,-0.8896
double_bottom_long,smc_mitigation_zone,loss,5,0.4,-0.8585800000000001,-4.2929
double_bottom_long,smc_mitigation_zone,win,3,0.3333333333333333,-0.2965333333333333,-0.8896
double_bottom_long,time_stop_10d,loss,5,0.2,-2.51138,-12.5569
double_bottom_long,time_stop_10d,win,3,1.0,2.1186333333333334,6.3559
double_bottom_long,time_stop_20d,loss,5,0.0,-3.4438000000000004,-17.219
double_bottom_long,time_stop_20d,win,3,0.3333333333333333,-1.8896666666666668,-5.6690000000000005
double_bottom_long,trailing_10pct,loss,5,0.0,-5.82454,-29.1227
double_bottom_long,trailing_10pct,win,3,0.3333333333333333,-1.7097666666666669,-5.129300000000001
double_bottom_long,trailing_15pct,loss,5,0.4,2.2401600000000004,11.200800000000003
double_bottom_long,trailing_15pct,win,3,0.6666666666666666,6.364466666666668,19.093400000000003
double_bottom_long,trailing_5pct,loss,5,0.0,-3.6342999999999996,-18.171499999999998
double_bottom_long,trailing_5pct,win,3,0.3333333333333333,-0.8073333333333333,-2.422
