signal_contribution,timing_contribution,exit_contribution,sizing_contribution,agent_contribution,actual_total_check,ticker,entry_date
-52.27,0.0,0.0,0.0,0.0,-52.27,GOOGL,2024-01-01
3477.07,0.0,0.0,0.0,0.0,3477.07,NVDA,2024-01-01
-654.94,0.0,0.0,0.0,0.0,-654.94,AAPL,2024-01-01
-820.89,0.0,0.0,0.0,0.0,-820.89,GOOGL,2024-02-07
975.09,0.0,0.0,0.0,0.0,975.09,NVDA,2024-02-27
1348.95,0.0,0.0,0.0,0.0,1348.95,AMZN,2024-01-02
-799.14,0.0,0.0,0.0,0.0,-799.14,AAPL,2024-03-11
5049.2,0.0,0.0,0.0,0.0,5049.2,NVDA,2024-04-22
-985.01,0.0,0.0,0.0,0.0,-985.01,NVDA,2024-07-09
2530.63,0.0,0.0,0.0,0.0,2530.63,GOOGL,2024-03-11
1231.16,0.0,0.0,0.0,0.0,1231.16,MSFT,2024-01-01
-400.99,0.0,0.0,0.0,0.0,-400.99,AMZN,2024-05-02
1831.29,0.0,0.0,0.0,0.0,1831.29,AAPL,2024-05-09
-899.45,0.0,0.0,0.0,0.0,-899.45,NVDA,2024-07-26
-242.93,0.0,0.0,0.0,0.0,-242.93,GOOGL,2024-07-29
-27.03,0.0,0.0,0.0,0.0,-27.03,MSFT,2024-08-01
-45.83,0.0,0.0,0.0,0.0,-45.83,AAPL,2024-08-02
-23.47,0.0,0.0,0.0,0.0,-23.47,GOOGL,2024-08-05
-41.83,0.0,0.0,0.0,0.0,-41.83,AAPL,2024-08-05
-28.22,0.0,0.0,0.0,0.0,-28.22,MSFT,2024-08-05
-34.61,0.0,0.0,0.0,0.0,-34.61,GOOGL,2024-08-06
-24.55,0.0,0.0,0.0,0.0,-24.55,AAPL,2024-08-06
-25.83,0.0,0.0,0.0,0.0,-25.83,GOOGL,2024-08-07
-38.56,0.0,0.0,0.0,0.0,-38.56,AAPL,2024-08-07
-678.56,0.0,0.0,0.0,0.0,-678.56,AMZN,2024-08-01
744.75,0.0,0.0,0.0,0.0,744.75,AAPL,2024-08-08
78.15,0.0,0.0,0.0,0.0,78.15,GOOGL,2024-08-08
-996.76,0.0,0.0,0.0,0.0,-996.76,NVDA,2024-08-19
201.54,0.0,0.0,0.0,0.0,201.54,NVDA,2024-09-03
-837.86,0.0,0.0,0.0,0.0,-837.86,AMZN,2024-08-27
-814.88,0.0,0.0,0.0,0.0,-814.88,MSFT,2024-08-06
-471.78,0.0,0.0,0.0,0.0,-471.78,GOOGL,2024-09-03
1176.23,0.0,0.0,0.0,0.0,1176.23,NVDA,2024-09-09
-594.76,0.0,0.0,0.0,0.0,-594.76,AMZN,2024-09-23
-35.9,0.0,0.0,0.0,0.0,-35.9,NVDA,2024-10-03
242.54,0.0,0.0,0.0,0.0,242.54,NVDA,2024-10-07
-757.56,0.0,0.0,0.0,0.0,-757.56,AAPL,2024-09-03
-833.11,0.0,0.0,0.0,0.0,-833.11,NVDA,2024-12-03
665.41,0.0,0.0,0.0,0.0,665.41,MSFT,2024-10-14
2313.43,0.0,0.0,0.0,0.0,2313.43,AMZN,2024-10-15
1951.07,0.0,0.0,0.0,0.0,1951.07,GOOGL,2024-10-21
196.55,0.0,0.0,0.0,0.0,196.55,AAPL,2024-12-09
251.52,0.0,0.0,0.0,0.0,251.52,MSFT,2024-12-19
-179.68,0.0,0.0,0.0,0.0,-179.68,AAPL,2024-12-20
-257.95,0.0,0.0,0.0,0.0,-257.95,AMZN,2024-12-20
-289.34,0.0,0.0,0.0,0.0,-289.34,NVDA,2024-12-30
