signal_contribution,timing_contribution,exit_contribution,sizing_contribution,agent_contribution,actual_total_check,ticker,entry_date
-1160.92,0.0,0.0,0.0,0.0,-1160.92,NVDA,2023-09-01
-988.8,0.0,0.0,0.0,0.0,-988.8,AMZN,2023-09-05
-507.6,0.0,0.0,0.0,0.0,-507.6,AMZN,2023-10-03
-8.0,0.0,0.0,0.0,0.0,-8.0,AAPL,2023-09-01
-490.36,0.0,0.0,0.0,0.0,-490.36,SPY,2023-09-01
-391.56,0.0,0.0,0.0,0.0,-391.56,GOOGL,2023-09-01
-1093.28,0.0,0.0,0.0,0.0,-1093.28,AAPL,2023-11-20
2776.3,0.0,0.0,0.0,0.0,2776.3,MSFT,2023-09-04
11526.76,0.0,0.0,0.0,0.0,11526.76,NVDA,2023-10-19
3436.28,0.0,0.0,0.0,0.0,3436.28,AMZN,2023-10-31
1030.81,0.0,0.0,0.0,0.0,1030.81,SPY,2023-12-19
650.38,0.0,0.0,0.0,0.0,650.38,GOOGL,2023-12-25
