ticker,date,strategy,scaler,multiplier
GOOGL,2023-09-05,break_retest_confluence,per_position_vol_target,0.5715
NVDA,2023-09-05,break_retest_confluence,per_position_vol_target,0.3291
TSLA,2023-10-13,cpr_narrow_bullish,portfolio_vol_target,1.5
TSLA,2023-10-13,cpr_narrow_bullish,per_position_vol_target,0.3179
NVDA,2023-10-20,cpr_narrow_momentum,portfolio_vol_target,1.5
NVDA,2023-10-20,cpr_narrow_momentum,per_position_vol_target,0.3272
MSFT,2023-10-30,cpr_narrow_momentum,portfolio_vol_target,1.5
MSFT,2023-10-30,cpr_narrow_momentum,per_position_vol_target,0.5363
GOOGL,2023-10-30,smc_order_block_bounce,portfolio_vol_target,1.5
GOOGL,2023-10-30,smc_order_block_bounce,per_position_vol_target,0.3959
TSLA,2023-11-07,hull_rsi,portfolio_vol_target,1.5
TSLA,2023-11-07,hull_rsi,per_position_vol_target,0.2637
NVDA,2023-11-08,cpr_narrow_momentum,portfolio_vol_target,1.5
NVDA,2023-11-08,cpr_narrow_momentum,per_position_vol_target,0.3804
AAPL,2023-11-15,cpr_narrow_momentum,portfolio_vol_target,1.5
AAPL,2023-11-15,cpr_narrow_momentum,per_position_vol_target,0.7592
NVDA,2023-12-15,cpr_narrow_momentum,portfolio_vol_target,1.5
NVDA,2023-12-15,cpr_narrow_momentum,per_position_vol_target,0.4469
TSLA,2024-01-10,cpr_narrow_momentum,portfolio_vol_target,1.5
TSLA,2024-01-10,cpr_narrow_momentum,per_position_vol_target,0.3724
GOOGL,2024-02-07,smc_bos_continuation,portfolio_vol_target,1.5
GOOGL,2024-02-07,smc_bos_continuation,per_position_vol_target,0.5613
TSLA,2024-02-20,smc_bos_continuation,portfolio_vol_target,1.5
TSLA,2024-02-20,smc_bos_continuation,per_position_vol_target,0.2976
