signal_contribution,timing_contribution,exit_contribution,sizing_contribution,agent_contribution,actual_total_check,ticker,entry_date
-1008.8,0.0,0.0,0.0,0.0,-1008.8,TSLA,2023-09-04
-1197.44,0.0,0.0,0.0,0.0,-1197.44,NVDA,2023-09-05
-504.81,0.0,0.0,0.0,0.0,-504.81,MSFT,2023-09-04
-716.84,0.0,0.0,0.0,0.0,-716.84,GOOGL,2023-09-05
1294.18,0.0,0.0,0.0,0.0,1294.18,TSLA,2023-10-13
-787.99,0.0,0.0,0.0,0.0,-787.99,NVDA,2023-10-20
227.97,0.0,0.0,0.0,0.0,227.97,AAPL,2023-09-04
-482.35,0.0,0.0,0.0,0.0,-482.35,NVDA,2023-11-08
515.5,0.0,0.0,0.0,0.0,515.5,TSLA,2023-11-07
1016.74,0.0,0.0,0.0,0.0,1016.74,GOOGL,2023-10-30
1329.61,0.0,0.0,0.0,0.0,1329.61,TSLA,2024-01-10
3428.03,0.0,0.0,0.0,0.0,3428.03,NVDA,2023-12-15
2191.85,0.0,0.0,0.0,0.0,2191.85,MSFT,2023-10-30
-480.78,0.0,0.0,0.0,0.0,-480.78,AAPL,2023-11-15
-514.86,0.0,0.0,0.0,0.0,-514.86,GOOGL,2024-02-07
-458.48,0.0,0.0,0.0,0.0,-458.48,TSLA,2024-02-20
163.02,0.0,0.0,0.0,0.0,163.02,NVDA,2024-02-27
