strategy,point_sharpe,ci_low,ci_high,n_trades,method
avwap_252_breakout,-90.15861850478957,,,2,insufficient_sample
avwap_50_reclaim,-52.84960128854008,,,2,insufficient_sample
break_retest_confluence,-25.64759378686328,,,14,insufficient_sample
buyback_8k_recent_long,-5.879386127726633,,,2,insufficient_sample
cpr_narrow_bullish,-12.144764133957972,,,9,insufficient_sample
cpr_narrow_momentum,-1.8940679457550136,-8.226996009095746,-1.5588163633493641,102,bootstrap
cup_and_handle_long,-15.152112168078359,,,3,insufficient_sample
double_bottom_long,-2.920357039987897,,,6,insufficient_sample
head_and_shoulders_bottom_long,5.113932510475829,,,2,insufficient_sample
hull_rsi,12.335465679786894,,,3,insufficient_sample
hull_rsi_short,19.508091267788576,,,2,insufficient_sample
lead_lag_sector_rotation,0.0,,,1,insufficient_sample
macd_fast_crossover,-58.09928882112321,,,4,insufficient_sample
macd_ichimoku,0.0,,,1,insufficient_sample
monthly_bias_momentum_long,0.0,,,1,insufficient_sample
naked_poc_retest_long,0.0,,,1,insufficient_sample
news_sentiment_long,-21.96159937172215,,,5,insufficient_sample
pivot_s1_bounce,0.0,,,1,insufficient_sample
poc_magnet_long,-0.9304885014277465,,,2,insufficient_sample
smc_bos_continuation,3.1637209086230387,,,7,insufficient_sample
smc_choch_reversal,9.336628801197381,,,3,insufficient_sample
smc_order_block_bounce,-21.16358892972776,,,2,insufficient_sample
supertrend_ichimoku_adx,16.808577743185324,,,2,insufficient_sample
supertrend_macd,0.0,,,1,insufficient_sample
ultimate_oscillator,0.0,,,1,insufficient_sample
williams_r_oversold,0.0,,,1,insufficient_sample
xs_momentum_top_decile,-8.291960420575837,,,7,insufficient_sample
