date,event,z_score,today_dispersion,level,dd_from_peak,rolling_peak_equity,current_equity,ticker,reason,exit_price
2022-01-03,dispersion_cb_triggered_dec128,3.0768,0.034267,,,,,,,
2022-04-19,halt_triggered,,,6.0,-0.2065,100000.0,79350.0,,,
2022-06-09,,,,1.0,,,,META,overnight_gap_up_1478.2pct,194.28
2022-06-21,halt_triggered,,,6.0,-1.4379,100000.0,-43793.92999999999,,,
2022-06-22,halt_resumed,,,6.0,-1.4379,100000.0,-43793.92999999999,,,
2022-06-23,halt_triggered,,,6.0,-1.4379,100000.0,-43793.92999999999,,,
2022-06-24,halt_resumed,,,6.0,-1.4379,100000.0,-43793.92999999999,,,
2022-06-27,halt_triggered,,,6.0,-1.448,100000.0,-44802.73000000001,,,
2022-06-28,halt_resumed,,,6.0,-1.448,100000.0,-44802.73000000001,,,
2022-06-29,halt_triggered,,,6.0,-1.448,100000.0,-44802.73000000001,,,
2022-06-30,halt_resumed,,,6.0,-1.4534,100000.0,-45342.140000000014,,,
2022-07-01,halt_triggered,,,6.0,-1.4534,100000.0,-45342.140000000014,,,
2022-07-04,halt_resumed,,,6.0,-1.4534,100000.0,-45342.140000000014,,,
2022-07-05,halt_triggered,,,6.0,-1.4591,100000.0,-45909.57000000001,,,
2022-07-06,halt_resumed,,,6.0,-1.4692,100000.0,-46918.369999999995,,,
2022-07-07,halt_triggered,,,6.0,-1.4692,100000.0,-46918.369999999995,,,
2022-09-06,halt_triggered,,,6.0,-1.5427,100000.0,-54268.70000000001,,,
2022-09-07,halt_resumed,,,6.0,-1.5427,100000.0,-54268.70000000001,,,
2022-09-08,halt_triggered,,,6.0,-1.5427,100000.0,-54268.70000000001,,,
2022-09-09,halt_resumed,,,6.0,-1.5427,100000.0,-54268.70000000001,,,
2022-09-12,halt_triggered,,,6.0,-1.5427,100000.0,-54268.70000000001,,,
2022-09-13,halt_resumed,,,6.0,-1.5427,100000.0,-54268.70000000001,,,
2022-09-14,halt_triggered,,,6.0,-1.5471,100000.0,-54708.70000000001,,,
2022-09-15,halt_resumed,,,6.0,-1.5471,100000.0,-54708.70000000001,,,
2022-09-16,halt_triggered,,,6.0,-1.5558,100000.0,-55579.17999999999,,,
2022-09-19,halt_resumed,,,6.0,-1.5558,100000.0,-55579.17999999999,,,
2022-09-20,halt_triggered,,,6.0,-1.5558,100000.0,-55579.17999999999,,,
2022-09-21,halt_resumed,,,6.0,-1.5558,100000.0,-55579.17999999999,,,
