strategy,exit_method,days_from_quarter_end_at_entry,n,win_rate,avg_pnl_pct,total_pnl_pct
break_retest_confluence,atr_trail_1x,10,4,0.0,-1.885625,-7.5425
break_retest_confluence,atr_trail_1x,11,1,0.0,-2.3685,-2.3685
break_retest_confluence,atr_trail_1x,25,1,0.0,-1.966,-1.966
break_retest_confluence,atr_trail_1x,43,1,1.0,0.8519,0.8519
break_retest_confluence,atr_trail_1x,45,1,1.0,1.4404,1.4404
break_retest_confluence,atr_trail_1x,47,1,0.0,-2.8256,-2.8256
break_retest_confluence,atr_trail_1x,70,1,0.0,-1.8881,-1.8881
break_retest_confluence,atr_trail_1x,80,1,0.0,-1.7827,-1.7827
break_retest_confluence,atr_trail_1x,86,2,0.0,-0.6592,-1.3184
break_retest_confluence,atr_trail_1x,87,1,0.0,-3.2136,-3.2136
break_retest_confluence,atr_trail_2x,10,4,0.25,-2.59965,-10.3986
break_retest_confluence,atr_trail_2x,11,1,0.0,-4.9545,-4.9545
break_retest_confluence,atr_trail_2x,25,1,0.0,-3.9426,-3.9426
break_retest_confluence,atr_trail_2x,43,1,1.0,1.5111,1.5111
break_retest_confluence,atr_trail_2x,45,1,0.0,-0.6908,-0.6908
break_retest_confluence,atr_trail_2x,47,1,0.0,-1.0706,-1.0706
break_retest_confluence,atr_trail_2x,70,1,0.0,-3.8858,-3.8858
break_retest_confluence,atr_trail_2x,80,1,0.0,-3.6465,-3.6465
break_retest_confluence,atr_trail_2x,86,2,0.0,-1.44435,-2.8887
break_retest_confluence,atr_trail_2x,87,1,0.0,-8.1799,-8.1799
break_retest_confluence,atr_trail_mae_conditional,10,4,0.0,-1.885625,-7.5425
break_retest_confluence,atr_trail_mae_conditional,11,1,0.0,-2.3685,-2.3685
break_retest_confluence,atr_trail_mae_conditional,25,1,0.0,-1.966,-1.966
break_retest_confluence,atr_trail_mae_conditional,43,1,1.0,0.8519,0.8519
break_retest_confluence,atr_trail_mae_conditional,45,1,1.0,1.4404,1.4404
