entry_date,sector,trades,total_trades,sector_pct
2022-01-04,Communication Services,1,8,12.5
2022-01-04,Consumer Discretionary,2,8,25.0
2022-01-04,Consumer Staples,2,8,25.0
2022-01-04,Energy,1,8,12.5
2022-01-04,Financials,1,8,12.5
2022-01-04,Information Technology,1,8,12.5
2022-01-05,Communication Services,1,5,20.0
2022-01-05,Consumer Staples,1,5,20.0
2022-01-05,Health Care,1,5,20.0
2022-01-05,Information Technology,2,5,40.0
2022-01-06,Consumer Staples,1,2,50.0
2022-01-06,Health Care,1,2,50.0
2022-01-10,Consumer Discretionary,1,2,50.0
2022-01-10,Information Technology,1,2,50.0
2022-01-18,Health Care,1,1,100.0
2022-01-24,Information Technology,1,1,100.0
2022-01-27,Consumer Discretionary,1,2,50.0
2022-01-27,Financials,1,2,50.0
2022-01-31,Information Technology,1,1,100.0
2022-02-07,Consumer Discretionary,1,2,50.0
2022-02-07,Information Technology,1,2,50.0
2022-02-08,Financials,1,1,100.0
2022-02-14,Consumer Discretionary,1,1,100.0
2022-02-22,Consumer Staples,1,1,100.0
2022-02-23,Information Technology,1,1,100.0
2022-02-24,Information Technology,1,1,100.0
2022-03-01,Energy,1,1,100.0
2022-03-02,Information Technology,1,1,100.0
2022-03-03,Consumer Discretionary,1,2,50.0
2022-03-03,Health Care,1,2,50.0
2022-03-07,Communication Services,1,2,50.0
2022-03-07,Information Technology,1,2,50.0
2022-03-11,Financials,1,1,100.0
2022-03-17,Health Care,1,2,50.0
2022-03-17,Information Technology,1,2,50.0
2022-03-21,Consumer Discretionary,1,3,33.33333333333333
2022-03-21,Energy,1,3,33.33333333333333
2022-03-21,Health Care,1,3,33.33333333333333
2022-03-22,Consumer Discretionary,1,2,50.0
2022-03-22,Consumer Staples,1,2,50.0
2022-03-24,Consumer Staples,1,1,100.0
2022-03-25,Consumer Discretionary,1,1,100.0
2022-03-28,Information Technology,2,2,100.0
2022-03-29,Financials,1,1,100.0
2022-04-08,Information Technology,1,1,100.0
2022-04-11,Consumer Discretionary,1,1,100.0
2022-06-20,Consumer Staples,3,8,37.5
2022-06-20,Energy,1,8,12.5
2022-06-20,Financials,2,8,25.0
2022-06-20,Health Care,2,8,25.0
2022-06-22,Communication Services,1,4,25.0
2022-06-22,Consumer Discretionary,1,4,25.0
2022-06-22,Consumer Staples,1,4,25.0
2022-06-22,Health Care,1,4,25.0
2022-06-24,Information Technology,1,1,100.0
2022-06-28,Consumer Discretionary,1,3,33.33333333333333
2022-06-28,Information Technology,2,3,66.66666666666666
2022-06-30,Information Technology,1,1,100.0
2022-09-05,Communication Services,1,7,14.285714285714285
2022-09-05,Consumer Staples,1,7,14.285714285714285
2022-09-05,Information Technology,5,7,71.42857142857143
2022-09-07,Communication Services,1,6,16.666666666666664
2022-09-07,Consumer Discretionary,1,6,16.666666666666664
2022-09-07,Consumer Staples,2,6,33.33333333333333
2022-09-07,Energy,1,6,16.666666666666664
2022-09-07,Health Care,1,6,16.666666666666664
2022-09-09,Consumer Discretionary,1,1,100.0
2022-09-15,Consumer Discretionary,1,1,100.0
2022-09-19,Communication Services,1,3,33.33333333333333
2022-09-19,Financials,2,3,66.66666666666666
2022-09-23,Consumer Staples,1,1,100.0
2022-09-27,Consumer Discretionary,1,1,100.0
2022-10-05,Consumer Discretionary,1,3,33.33333333333333
2022-10-05,Consumer Staples,1,3,33.33333333333333
2022-10-05,Energy,1,3,33.33333333333333
2022-10-17,Health Care,1,1,100.0
2022-10-21,Health Care,1,1,100.0
2022-10-25,Information Technology,1,1,100.0
2022-10-31,Financials,2,3,66.66666666666666
2022-10-31,Information Technology,1,3,33.33333333333333
2022-11-08,Consumer Discretionary,2,2,100.0
2022-11-14,Consumer Staples,1,3,33.33333333333333
2022-11-14,Information Technology,2,3,66.66666666666666
2022-11-16,Communication Services,1,4,25.0
2022-11-16,Consumer Discretionary,2,4,50.0
2022-11-16,Consumer Staples,1,4,25.0
2022-11-18,Consumer Staples,1,1,100.0
2022-12-06,Health Care,1,2,50.0
2022-12-06,Information Technology,1,2,50.0
2022-12-12,Information Technology,1,1,100.0
2022-12-20,Consumer Discretionary,1,3,33.33333333333333
2022-12-20,Energy,1,3,33.33333333333333
2022-12-20,Financials,1,3,33.33333333333333
2022-12-22,Communication Services,1,1,100.0
2022-12-26,Communication Services,1,2,50.0
2022-12-26,Consumer Discretionary,1,2,50.0
2022-12-28,Consumer Staples,1,1,100.0
2023-01-03,Consumer Discretionary,1,2,50.0
2023-01-03,Information Technology,1,2,50.0
2023-02-16,Consumer Staples,2,6,33.33333333333333
2023-02-16,Energy,1,6,16.666666666666664
2023-02-16,Financials,1,6,16.666666666666664
2023-02-16,Health Care,1,6,16.666666666666664
2023-02-16,Information Technology,1,6,16.666666666666664
2023-02-20,Communication Services,1,1,100.0
2023-02-24,Communication Services,1,3,33.33333333333333
2023-02-24,Consumer Discretionary,1,3,33.33333333333333
2023-02-24,Information Technology,1,3,33.33333333333333
2023-02-28,Health Care,1,1,100.0
2023-03-06,Consumer Discretionary,1,2,50.0
2023-03-06,Information Technology,1,2,50.0
2023-03-16,Consumer Staples,1,1,100.0
2023-03-20,Energy,1,2,50.0
2023-03-20,Financials,1,2,50.0
2023-03-24,Communication Services,1,2,50.0
2023-03-24,Financials,1,2,50.0
2023-03-28,Consumer Discretionary,1,1,100.0
2023-03-30,Consumer Discretionary,1,2,50.0
2023-03-30,Consumer Staples,1,2,50.0
2023-04-11,Consumer Discretionary,1,3,33.33333333333333
2023-04-11,Health Care,2,3,66.66666666666666
2023-04-21,Financials,1,1,100.0
2023-04-25,Financials,1,1,100.0
2023-05-01,Consumer Discretionary,1,1,100.0
2023-05-11,Energy,1,1,100.0
2023-05-19,Consumer Discretionary,1,1,100.0
2023-05-31,Consumer Discretionary,1,1,100.0
2023-06-16,Health Care,2,2,100.0
2023-06-22,Financials,1,1,100.0
2023-07-06,Consumer Discretionary,1,1,100.0
2023-07-18,Financials,1,2,50.0
2023-07-18,Health Care,1,2,50.0
2023-07-26,Health Care,1,1,100.0
2023-08-01,Health Care,1,1,100.0
2023-08-09,Consumer Discretionary,1,1,100.0
2023-08-17,Information Technology,1,1,100.0
2023-08-23,Energy,1,1,100.0
2023-08-25,Financials,1,2,50.0
2023-08-25,Information Technology,1,2,50.0
2023-08-29,Communication Services,1,3,33.33333333333333
2023-08-29,Consumer Discretionary,1,3,33.33333333333333
2023-08-29,Information Technology,1,3,33.33333333333333
2023-09-22,Consumer Staples,1,1,100.0
2023-09-28,Information Technology,1,1,100.0
2023-10-02,Health Care,1,1,100.0
2023-10-04,Consumer Discretionary,1,1,100.0
2023-10-10,Financials,1,2,50.0
2023-10-10,Information Technology,1,2,50.0
2023-10-16,Consumer Discretionary,1,1,100.0
2023-10-18,Energy,1,1,100.0
2023-10-20,Consumer Discretionary,1,1,100.0
2023-10-26,Information Technology,1,1,100.0
2023-10-30,Consumer Discretionary,1,2,50.0
2023-10-30,Information Technology,1,2,50.0
2023-11-07,Communication Services,1,3,33.33333333333333
2023-11-07,Consumer Discretionary,1,3,33.33333333333333
2023-11-07,Financials,1,3,33.33333333333333
2023-11-09,Financials,1,1,100.0
2023-11-17,Communication Services,1,1,100.0
2023-11-23,Consumer Discretionary,1,1,100.0
2023-11-27,Consumer Staples,1,2,50.0
2023-11-27,Information Technology,1,2,50.0
2023-11-29,Energy,1,1,100.0
2023-12-07,Consumer Staples,1,1,100.0
2023-12-21,Consumer Discretionary,1,1,100.0
