strategy,exit_method,trades,win_rate,profit_factor,avg_pnl_pct,total_roi_pct,max_drawdown_pct,avg_hold_days,actual_fire_rate,composite_score,recommended
news_sentiment_long,smc_mitigation_zone,7,0.2857,0.2944,-0.8241,-5.7686,-4.6509,2.7,1.0,34.45,True
news_sentiment_long,ma_exit_ema9,7,0.2857,0.2834,-1.2794,-8.9557,-8.0413,4.0,1.0,29.37,False
news_sentiment_long,next_pivot_target,7,0.5714,0.0913,-3.3978,-23.7848,-15.955,3.6,1.0,28.92,False
news_sentiment_long,chandelier_3x,7,0.1429,0.3882,-1.3767,-9.6368,-6.894,7.7,1.0,25.38,False
news_sentiment_long,multi_tier_partial,7,0.1429,0.1635,-1.3206,-9.2444,-7.4645,3.1,1.0,24.52,False
news_sentiment_long,atr_trail_mae_conditional,7,0.1429,0.1431,-1.3528,-9.4693,-7.5269,3.1,1.0,24.43,False
news_sentiment_long,atr_trail_1x,7,0.1429,0.1431,-1.3528,-9.4693,-7.5269,3.1,1.0,24.43,False
news_sentiment_long,reverse_signal,7,0.1429,0.1431,-1.3528,-9.4693,-7.5269,3.1,1.0,24.43,False
news_sentiment_long,mfe_lockin_trail,7,0.1429,0.1431,-1.3528,-9.4693,-7.5269,3.1,1.0,24.43,False
news_sentiment_long,hybrid_50pct_target,7,0.4286,0.6267,-2.1329,-14.9301,-30.0,76.6,0.8571,17.14,False
news_sentiment_long,r_multiple_2r,7,0.1429,0.2732,-1.7147,-12.003,-12.9292,4.9,1.0,16.32,False
news_sentiment_long,r_multiple_3r,7,0.1429,0.4099,-1.3924,-9.7466,-12.9292,5.9,1.0,16.32,False
news_sentiment_long,break_even_at_1r,7,0.1429,0.0797,-2.1713,-15.199,-13.2566,9.9,1.0,15.83,False
news_sentiment_long,trailing_5pct,7,0.1429,0.2669,-2.7254,-19.0775,-16.0231,12.7,1.0,11.68,False
news_sentiment_long,trailing_10pct,7,0.2857,0.6941,-1.9109,-13.3762,-33.7239,59.3,0.8571,11.43,False
news_sentiment_long,earnings_blackout,7,0.2857,0.3562,-9.1432,-64.0027,-76.6508,584.7,0.0,11.43,False
news_sentiment_long,time_stop_10d,7,0.2857,0.0781,-5.2324,-36.6271,-24.0722,14.9,1.0,11.43,False
news_sentiment_long,time_stop_20d,7,0.1429,0.146,-5.0517,-35.3619,-27.7316,28.9,1.0,5.72,False
news_sentiment_long,trailing_15pct,7,0.1429,0.4225,-5.6692,-39.6844,-53.7152,106.3,0.8571,5.72,False
news_sentiment_long,atr_trail_2x,7,0.1429,0.2663,-2.9975,-20.9823,-21.4234,8.4,1.0,5.72,False
news_sentiment_long,fixed_4r_2r,7,0.1429,0.2486,-3.8967,-27.2767,-29.1292,7.9,1.0,5.72,False
news_sentiment_long,regime_flip,7,0.1429,0.146,-5.0517,-35.3619,-27.7316,28.9,1.0,5.72,False
news_sentiment_long,breakeven_plus_trail,7,0.1429,0.0399,-4.5307,-31.7147,-27.83,16.1,1.0,5.72,False
news_sentiment_long,class_time_stop,7,0.1429,0.1368,-4.4788,-31.3514,-23.547,36.3,1.0,5.72,False
news_sentiment_long,atr_trail_vix_conditional,7,0.0,0.0,-2.6561,-18.593,-16.6506,3.7,1.0,5.02,False
head_and_shoulders_bottom_long,next_pivot_target,6,1.0,999.0,1.6885,10.131,0.0,2.3,1.0,100.0,True
head_and_shoulders_bottom_long,earnings_blackout,6,0.8333,5.5604,6.8358,41.0149,-8.9938,480.0,0.0,79.84,False
head_and_shoulders_bottom_long,regime_flip,6,0.6667,2.4037,1.6363,9.8178,-6.9942,25.2,1.0,76.18,False
head_and_shoulders_bottom_long,time_stop_20d,6,0.6667,2.4037,1.6363,9.8178,-6.9942,25.2,1.0,76.18,False
head_and_shoulders_bottom_long,ma_exit_ema9,6,0.5,1.5001,0.3006,1.8038,-0.5691,6.7,1.0,64.15,False
head_and_shoulders_bottom_long,class_time_stop,6,0.5,1.4313,0.6223,3.7338,-8.6572,29.8,1.0,49.95,False
head_and_shoulders_bottom_long,break_even_at_1r,6,0.3333,1.3725,0.4768,2.8607,-5.0799,10.8,0.6667,46.89,False
head_and_shoulders_bottom_long,r_multiple_3r,6,0.3333,1.403,0.6318,3.7908,-6.8067,7.5,1.0,45.21,False
head_and_shoulders_bottom_long,hybrid_50pct_target,6,0.6667,0.7895,-0.7018,-4.2107,-10.0,65.3,0.6667,41.67,False
head_and_shoulders_bottom_long,smc_mitigation_zone,6,0.3333,0.1782,-0.856,-5.1361,-3.6511,4.0,1.0,37.86,False
head_and_shoulders_bottom_long,atr_trail_1x,6,0.3333,0.2433,-0.8439,-5.0634,-4.0923,4.5,1.0,37.19,False
head_and_shoulders_bottom_long,reverse_signal,6,0.3333,0.2433,-0.8439,-5.0634,-4.0923,4.5,1.0,37.19,False
head_and_shoulders_bottom_long,multi_tier_partial,6,0.3333,0.4416,-0.6227,-3.7364,-4.0923,4.5,1.0,37.19,False
head_and_shoulders_bottom_long,mfe_lockin_trail,6,0.3333,0.2433,-0.8439,-5.0634,-4.0923,4.5,1.0,37.19,False
head_and_shoulders_bottom_long,atr_trail_mae_conditional,6,0.3333,0.2433,-0.8439,-5.0634,-4.0923,4.5,1.0,37.19,False
head_and_shoulders_bottom_long,r_multiple_2r,6,0.3333,0.8653,-0.2112,-1.2674,-6.8067,7.0,1.0,33.12,False
head_and_shoulders_bottom_long,atr_trail_2x,6,0.3333,0.4083,-1.5448,-9.2689,-10.4679,9.2,0.8333,27.63,False
head_and_shoulders_bottom_long,atr_trail_vix_conditional,6,0.1667,0.1167,-1.5659,-9.3953,-6.7963,5.0,1.0,26.47,False
head_and_shoulders_bottom_long,chandelier_3x,6,0.1667,0.3214,-1.6765,-10.0588,-7.903,10.0,0.8333,24.81,False
head_and_shoulders_bottom_long,trailing_5pct,6,0.3333,0.5975,-1.1833,-7.0998,-12.6394,13.7,0.6667,24.37,False
head_and_shoulders_bottom_long,fixed_4r_2r,6,0.3333,0.6291,-1.1387,-6.8325,-13.2252,10.2,0.8333,23.49,False
head_and_shoulders_bottom_long,breakeven_plus_trail,6,0.3333,0.5721,-1.3139,-7.8837,-13.2252,16.2,0.6667,23.49,False
