strategy,regime,trades,win_rate,avg_pnl,total_roi
avwap_50_reclaim,neutral,7,0.1429,-3.7176,-26.0231
bollinger_lower,neutral,4,0.5,-3.9834,-15.9337
bollinger_tight,neutral,3,0.3333,-3.2343,-9.703
cmf_flip,neutral,3,0.3333,5.2106,15.6319
cpr_narrow_bullish,neutral,5,0.2,-3.3764,-16.8819
cup_and_handle_long,neutral,12,0.1667,-4.2996,-51.5954
double_bottom_long,neutral,12,0.3333,-1.9365,-23.2377
halloween_seasonal_long,neutral,7,0.4286,7.9564,55.6946
head_and_shoulders_bottom_long,neutral,6,0.3333,-4.5902,-27.541
hull_rsi,neutral,5,0.2,-7.1034,-35.5172
news_sentiment_long,neutral,7,0.1429,-6.8747,-48.1226
po3_bearish,neutral,4,0.25,-4.5107,-18.0427
poc_magnet_long,neutral,3,0.3333,-4.6897,-14.0692
smc_bos_continuation,neutral,13,0.1538,-6.5999,-85.7983
ultimate_oscillator,neutral,3,0.3333,-6.5403,-19.6209
williams_r_oversold,neutral,3,0.0,-6.9961,-20.9882
