ticker,date,strategy,scaler,multiplier
KO,2022-01-04,cup_and_handle_long,per_position_vol_target,0.9187
MA,2022-01-04,head_and_shoulders_bottom_long,per_position_vol_target,0.486
BAC,2022-01-04,double_bottom_long,per_position_vol_target,0.5494
HD,2022-01-04,news_sentiment_long,per_position_vol_target,0.6461
PG,2022-01-04,news_sentiment_long,per_position_vol_target,0.9265
XOM,2022-01-04,double_bottom_long,correlation_cap_batch223,0.5
XOM,2022-01-04,double_bottom_long,per_position_vol_target,0.5531
AMZN,2022-01-04,po3_htf_aligned_short,per_position_vol_target,0.5093
JNJ,2022-01-04,head_and_shoulders_bottom_long,per_position_vol_target,0.943
GOOGL,2022-01-05,bollinger_lower,per_position_vol_target,0.5803
WMT,2022-01-05,head_and_shoulders_bottom_long,per_position_vol_target,0.7304
MSFT,2022-01-05,bollinger_lower,correlation_cap_batch223,0.5
MSFT,2022-01-05,bollinger_lower,per_position_vol_target,0.5379
NVDA,2022-01-05,bollinger_tight,per_position_vol_target,0.25
COST,2022-01-05,rsi_oversold,per_position_vol_target,0.5765
UNH,2022-01-06,rsi_oversold,per_position_vol_target,0.6375
TSLA,2022-01-10,news_sentiment_long,per_position_vol_target,0.25
AAPL,2022-01-10,halloween_seasonal_long,per_position_vol_target,0.5326
PFE,2022-01-18,bollinger_tight,per_position_vol_target,0.3878
V,2022-01-24,bollinger_lower,per_position_vol_target,0.4449
TSLA,2022-01-27,bollinger_lower,per_position_vol_target,0.25
NVDA,2022-01-27,bollinger_tight,per_position_vol_target,0.25
JPM,2022-01-27,smc_choch_reversal,per_position_vol_target,0.4228
COST,2022-01-27,po3_htf_aligned_short,per_position_vol_target,0.4245
AAPL,2022-01-31,double_bottom_long,per_position_vol_target,0.4263
MSFT,2022-01-31,double_bottom_long,correlation_cap_batch223,0.5
MSFT,2022-01-31,double_bottom_long,per_position_vol_target,0.3823
GOOGL,2022-02-03,avwap_252_breakout,correlation_cap_batch223,0.5
GOOGL,2022-02-03,avwap_252_breakout,portfolio_vol_target,1.5
GOOGL,2022-02-03,avwap_252_breakout,per_position_vol_target,0.3759
AMZN,2022-02-07,smc_choch_reversal,portfolio_vol_target,1.5
AMZN,2022-02-07,smc_choch_reversal,per_position_vol_target,0.2878
BAC,2022-02-08,halloween_seasonal_long,portfolio_vol_target,1.5
BAC,2022-02-08,halloween_seasonal_long,per_position_vol_target,0.4726
HD,2022-02-14,news_sentiment_long,portfolio_vol_target,1.5
HD,2022-02-14,news_sentiment_long,per_position_vol_target,0.4773
PFE,2022-02-21,stochrsi_oversold,portfolio_vol_target,1.5
PFE,2022-02-21,stochrsi_oversold,per_position_vol_target,0.4076
NVDA,2022-02-23,po3_bearish,correlation_cap_batch223,0.5
NVDA,2022-02-23,po3_bearish,portfolio_vol_target,1.5
NVDA,2022-02-23,po3_bearish,per_position_vol_target,0.25
TSLA,2022-02-23,smc_bos_continuation,correlation_cap_batch223,0.5
TSLA,2022-02-23,smc_bos_continuation,portfolio_vol_target,1.5
TSLA,2022-02-23,smc_bos_continuation,per_position_vol_target,0.25
MA,2022-02-24,head_and_shoulders_bottom_long,portfolio_vol_target,1.5
MA,2022-02-24,head_and_shoulders_bottom_long,per_position_vol_target,0.3554
MSFT,2022-02-28,hull_rsi,correlation_cap_batch223,0.5
MSFT,2022-02-28,hull_rsi,portfolio_vol_target,1.5
MSFT,2022-02-28,hull_rsi,per_position_vol_target,0.4021
XOM,2022-03-01,totm_long,portfolio_vol_target,1.5
XOM,2022-03-01,totm_long,per_position_vol_target,0.4168
TSLA,2022-03-01,smc_bos_continuation,portfolio_vol_target,1.5
TSLA,2022-03-01,smc_bos_continuation,per_position_vol_target,0.25
NVDA,2022-03-02,double_bottom_long,correlation_cap_batch223,0.5
NVDA,2022-03-02,double_bottom_long,portfolio_vol_target,1.5
NVDA,2022-03-02,double_bottom_long,per_position_vol_target,0.25
UNH,2022-03-02,totm_long,portfolio_vol_target,1.5
UNH,2022-03-02,totm_long,per_position_vol_target,0.544
JNJ,2022-03-03,cup_and_handle_long,portfolio_vol_target,1.5
JNJ,2022-03-03,cup_and_handle_long,per_position_vol_target,0.6486
V,2022-03-07,avwap_50_reclaim,portfolio_vol_target,1.5
V,2022-03-07,avwap_50_reclaim,per_position_vol_target,0.3453
JPM,2022-03-11,po3_bearish,portfolio_vol_target,1.5
JPM,2022-03-11,po3_bearish,per_position_vol_target,0.3343
BAC,2022-05-16,smc_liquidity_sweep_reversal,portfolio_vol_target,1.5
BAC,2022-05-16,smc_liquidity_sweep_reversal,per_position_vol_target,0.3473
TSLA,2022-05-16,cpr_narrow_bullish,portfolio_vol_target,1.5
TSLA,2022-05-16,cpr_narrow_bullish,per_position_vol_target,0.25
XOM,2022-05-16,monthly_bias_momentum_long,portfolio_vol_target,1.5
XOM,2022-05-16,monthly_bias_momentum_long,per_position_vol_target,0.3549
NVDA,2022-05-16,smc_bos_continuation,correlation_cap_batch223,0.5
NVDA,2022-05-16,smc_bos_continuation,portfolio_vol_target,1.5
NVDA,2022-05-16,smc_bos_continuation,per_position_vol_target,0.25
AAPL,2022-05-16,smc_bos_continuation,correlation_cap_batch223,0.5
AAPL,2022-05-16,smc_bos_continuation,portfolio_vol_target,1.5
AAPL,2022-05-16,smc_bos_continuation,per_position_vol_target,0.3205
UNH,2022-05-16,news_sentiment_long,portfolio_vol_target,1.5
UNH,2022-05-16,news_sentiment_long,per_position_vol_target,0.446
AMZN,2022-05-16,smc_bos_continuation,correlation_cap_batch223,0.5
AMZN,2022-05-16,smc_bos_continuation,portfolio_vol_target,1.5
AMZN,2022-05-16,smc_bos_continuation,per_position_vol_target,0.25
COST,2022-05-16,cpr_narrow_momentum,portfolio_vol_target,1.5
COST,2022-05-16,cpr_narrow_momentum,per_position_vol_target,0.3847
MSFT,2022-07-18,smc_bos_continuation,portfolio_vol_target,1.5
MSFT,2022-07-18,smc_bos_continuation,per_position_vol_target,0.4287
WMT,2022-07-18,hull_rsi,portfolio_vol_target,1.5
WMT,2022-07-18,hull_rsi,per_position_vol_target,0.6129
PFE,2022-07-18,williams_r_oversold,portfolio_vol_target,1.5
PFE,2022-07-18,williams_r_oversold,per_position_vol_target,0.4804
KO,2022-07-18,williams_r_oversold,portfolio_vol_target,1.5
KO,2022-07-18,williams_r_oversold,per_position_vol_target,0.6725
HD,2022-07-18,smc_order_block_bounce,portfolio_vol_target,1.5
HD,2022-07-18,smc_order_block_bounce,per_position_vol_target,0.4724
GOOGL,2022-07-18,po3_bearish,correlation_cap_batch223,0.5
GOOGL,2022-07-18,po3_bearish,portfolio_vol_target,1.5
GOOGL,2022-07-18,po3_bearish,per_position_vol_target,0.3488
NVDA,2022-07-18,smc_bos_continuation,correlation_cap_batch223,0.5
NVDA,2022-07-18,smc_bos_continuation,portfolio_vol_target,1.5
NVDA,2022-07-18,smc_bos_continuation,per_position_vol_target,0.25
JNJ,2022-07-18,williams_r_oversold,correlation_cap_batch223,0.5
JNJ,2022-07-18,williams_r_oversold,portfolio_vol_target,1.5
JNJ,2022-07-18,williams_r_oversold,per_position_vol_target,0.6974
JPM,2022-07-18,smc_bos_continuation,portfolio_vol_target,1.5
JPM,2022-07-18,smc_bos_continuation,per_position_vol_target,0.3855
AMZN,2022-07-18,smc_bos_continuation,correlation_cap_batch223,0.5
