strategy,point_sharpe,ci_low,ci_high,n_trades,method
avwap_252_breakout,-5.807927412885227,,,2,insufficient_sample
avwap_50_reclaim,3.2164084023950434,,,11,insufficient_sample
bollinger_lower,-11.228122247362164,,,4,insufficient_sample
bollinger_tight,-3.525440521860885,,,3,insufficient_sample
cmf_flip,0.0,,,1,insufficient_sample
cpr_narrow_bullish,-4.403007393505968,-12.215813955043496,0.9336276602270568,31,bootstrap
htf_aligned_breakout_long,0.0,,,1,insufficient_sample
hull_rsi,-8.282297604727546,,,8,insufficient_sample
ichimoku_cloud_breakout,0.0,,,1,insufficient_sample
lead_lag_sector_rotation,0.0,,,1,insufficient_sample
macd_fast_crossover,4.402958859972829,,,3,insufficient_sample
monthly_bias_momentum_long,34.92401469087991,,,3,insufficient_sample
orb_stocks_in_play_short,10.854138512020604,,,2,insufficient_sample
pivot_r1_breakout,0.6151503741247941,,,2,insufficient_sample
pivot_s1_bounce,0.0,,,1,insufficient_sample
po3_bearish,-13.802937701486854,,,8,insufficient_sample
po3_bullish,2.2956170728332377,,,19,insufficient_sample
po3_htf_aligned_long,0.0,,,1,insufficient_sample
po3_htf_aligned_short,-2.639817327504972,,,2,insufficient_sample
rsi_oversold,-35.166078010723446,,,2,insufficient_sample
smc_bos_continuation,0.0,,,1,insufficient_sample
smc_choch_reversal,-11.301297814846544,,,6,insufficient_sample
smc_discount_long,0.0,,,1,insufficient_sample
smc_inverse_fvg,0.0,,,1,insufficient_sample
smc_liquidity_sweep_reversal,0.0,,,1,insufficient_sample
smc_order_block_bounce,-13.60286092123359,,,3,insufficient_sample
stochrsi_oversold,0.0,,,1,insufficient_sample
supertrend_macd,-15.401515447961161,,,3,insufficient_sample
ultimate_oscillator,-0.62116899409267,,,4,insufficient_sample
williams_r_oversold,-3.8644045240309097,,,3,insufficient_sample
xs_momentum_top_decile,-3.350204080337512,,,4,insufficient_sample
