strategy,exit_method,hy_oas_band_at_entry,n,win_rate,avg_pnl_pct,total_pnl_pct
avwap_50_reclaim,atr_trail_1x,no_data,4,0.25,-2.73735,-10.9494
avwap_50_reclaim,atr_trail_1x,normal_3_5,7,0.14285714285714285,-1.438257142857143,-10.0678
avwap_50_reclaim,atr_trail_2x,no_data,4,0.75,6.8933,27.5732
avwap_50_reclaim,atr_trail_2x,normal_3_5,7,0.14285714285714285,-3.0019285714285715,-21.0135
avwap_50_reclaim,atr_trail_mae_conditional,no_data,4,0.25,-2.73735,-10.9494
avwap_50_reclaim,atr_trail_mae_conditional,normal_3_5,7,0.14285714285714285,-1.438257142857143,-10.0678
avwap_50_reclaim,atr_trail_vix_conditional,no_data,4,0.25,-2.081475,-8.3259
avwap_50_reclaim,atr_trail_vix_conditional,normal_3_5,7,0.14285714285714285,-1.2815857142857143,-8.9711
avwap_50_reclaim,break_even_at_1r,no_data,4,0.0,-2.846,-11.384
avwap_50_reclaim,break_even_at_1r,normal_3_5,7,0.14285714285714285,-1.9918714285714285,-13.9431
avwap_50_reclaim,breakeven_plus_trail,no_data,4,0.5,9.7116,38.8464
avwap_50_reclaim,breakeven_plus_trail,normal_3_5,7,0.14285714285714285,-3.1408857142857145,-21.9862
avwap_50_reclaim,chandelier_3x,no_data,4,0.5,3.9817500000000003,15.927000000000001
avwap_50_reclaim,chandelier_3x,normal_3_5,7,0.2857142857142857,-2.7322428571428574,-19.125700000000002
avwap_50_reclaim,class_time_stop,no_data,4,0.75,8.3209,33.2836
avwap_50_reclaim,class_time_stop,normal_3_5,7,0.5714285714285714,-3.3713,-23.5991
avwap_50_reclaim,earnings_blackout,no_data,4,0.0,-64.011475,-256.0459
avwap_50_reclaim,earnings_blackout,normal_3_5,7,0.2857142857142857,-3.7374,-26.1618
avwap_50_reclaim,fixed_4r_2r,no_data,4,0.75,7.979450000000001,31.917800000000003
avwap_50_reclaim,fixed_4r_2r,normal_3_5,7,0.2857142857142857,-1.9532857142857143,-13.673
avwap_50_reclaim,hybrid_50pct_target,no_data,4,0.75,-0.6578250000000008,-2.631300000000003
avwap_50_reclaim,hybrid_50pct_target,normal_3_5,7,0.7142857142857143,-2.9717571428571428,-20.8023
avwap_50_reclaim,ma_exit_ema9,no_data,4,0.25,-3.4520999999999997,-13.808399999999999
avwap_50_reclaim,ma_exit_ema9,normal_3_5,7,0.2857142857142857,-1.4430999999999998,-10.1017
avwap_50_reclaim,mfe_lockin_trail,no_data,4,0.25,-2.73735,-10.9494
avwap_50_reclaim,mfe_lockin_trail,normal_3_5,7,0.2857142857142857,-1.5452142857142857,-10.8165
avwap_50_reclaim,multi_tier_partial,no_data,4,0.25,-2.59875,-10.395
avwap_50_reclaim,multi_tier_partial,normal_3_5,7,0.2857142857142857,-1.4122857142857141,-9.886
avwap_50_reclaim,next_pivot_target,no_data,4,0.75,4.388175,17.5527
avwap_50_reclaim,next_pivot_target,normal_3_5,7,0.5714285714285714,-2.518785714285714,-17.6315
avwap_50_reclaim,r_multiple_2r,no_data,4,0.25,-1.7971750000000002,-7.188700000000001
avwap_50_reclaim,r_multiple_2r,normal_3_5,7,0.2857142857142857,-1.4773571428571426,-10.341499999999998
avwap_50_reclaim,r_multiple_3r,no_data,4,0.25,-1.2727499999999998,-5.090999999999999
avwap_50_reclaim,r_multiple_3r,normal_3_5,7,0.14285714285714285,-2.0009714285714284,-14.006799999999998
avwap_50_reclaim,regime_flip,no_data,4,0.75,4.795925,19.1837
avwap_50_reclaim,regime_flip,normal_3_5,7,0.2857142857142857,-3.6224571428571433,-25.357200000000002
avwap_50_reclaim,reverse_signal,no_data,4,0.25,-2.73735,-10.9494
avwap_50_reclaim,reverse_signal,normal_3_5,7,0.14285714285714285,-1.438257142857143,-10.0678
avwap_50_reclaim,smc_mitigation_zone,no_data,4,0.25,-2.164475,-8.6579
avwap_50_reclaim,smc_mitigation_zone,normal_3_5,7,0.14285714285714285,-1.296642857142857,-9.0765
avwap_50_reclaim,time_stop_10d,no_data,4,0.75,4.13575,16.543
avwap_50_reclaim,time_stop_10d,normal_3_5,7,0.2857142857142857,-1.9723285714285714,-13.8063
avwap_50_reclaim,time_stop_20d,no_data,4,0.75,4.795925,19.1837
avwap_50_reclaim,time_stop_20d,normal_3_5,7,0.2857142857142857,-3.6224571428571433,-25.357200000000002
avwap_50_reclaim,trailing_10pct,no_data,4,0.25,-0.14737499999999937,-0.5894999999999975
avwap_50_reclaim,trailing_10pct,normal_3_5,7,0.42857142857142855,1.9377857142857138,13.564499999999997
avwap_50_reclaim,trailing_15pct,no_data,4,0.5,3.95565,15.8226
avwap_50_reclaim,trailing_15pct,normal_3_5,7,0.2857142857142857,-0.49041428571428547,-3.4328999999999983
avwap_50_reclaim,trailing_5pct,no_data,4,0.5,0.9420999999999999,3.7683999999999997
avwap_50_reclaim,trailing_5pct,normal_3_5,7,0.2857142857142857,-2.324842857142857,-16.273899999999998
cpr_narrow_bullish,atr_trail_1x,no_data,19,0.42105263157894735,-0.5070578947368422,-9.6341
cpr_narrow_bullish,atr_trail_1x,normal_3_5,12,0.25,-0.3194416666666667,-3.8333000000000004
cpr_narrow_bullish,atr_trail_2x,no_data,19,0.3684210526315789,0.24416842105263142,4.639199999999997
cpr_narrow_bullish,atr_trail_2x,normal_3_5,12,0.3333333333333333,0.8086166666666665,9.703399999999998
cpr_narrow_bullish,atr_trail_mae_conditional,no_data,19,0.42105263157894735,-0.5070578947368422,-9.6341
cpr_narrow_bullish,atr_trail_mae_conditional,normal_3_5,12,0.25,-0.3194416666666667,-3.8333000000000004
cpr_narrow_bullish,atr_trail_vix_conditional,no_data,19,0.42105263157894735,-0.08199473684210527,-1.5579
cpr_narrow_bullish,atr_trail_vix_conditional,normal_3_5,12,0.25,-0.0535333333333333,-0.6423999999999996
cpr_narrow_bullish,break_even_at_1r,no_data,19,0.15789473684210525,-0.1815736842105263,-3.4498999999999995
cpr_narrow_bullish,break_even_at_1r,normal_3_5,12,0.16666666666666666,0.8714833333333333,10.457799999999999
cpr_narrow_bullish,breakeven_plus_trail,no_data,19,0.2631578947368421,0.21549473684210527,4.0944
cpr_narrow_bullish,breakeven_plus_trail,normal_3_5,12,0.25,1.2770666666666666,15.3248
cpr_narrow_bullish,chandelier_3x,no_data,19,0.47368421052631576,1.3603947368421054,25.847500000000004
cpr_narrow_bullish,chandelier_3x,normal_3_5,12,0.3333333333333333,0.6886166666666668,8.2634
cpr_narrow_bullish,class_time_stop,no_data,19,0.5263157894736842,-1.6548421052631577,-31.441999999999997
cpr_narrow_bullish,class_time_stop,normal_3_5,12,0.5833333333333334,1.5917416666666666,19.1009
cpr_narrow_bullish,earnings_blackout,no_data,19,0.5263157894736842,-6.597142105263158,-125.34570000000001
cpr_narrow_bullish,earnings_blackout,normal_3_5,12,0.4166666666666667,-1.1852666666666665,-14.223199999999999
cpr_narrow_bullish,fixed_4r_2r,no_data,19,0.47368421052631576,2.0166684210526316,38.3167
cpr_narrow_bullish,fixed_4r_2r,normal_3_5,12,0.3333333333333333,0.13439166666666666,1.6126999999999998
cpr_narrow_bullish,hybrid_50pct_target,no_data,19,0.5789473684210527,-3.368994736842106,-64.0109
cpr_narrow_bullish,hybrid_50pct_target,normal_3_5,12,0.5833333333333334,-2.545033333333333,-30.540399999999998
cpr_narrow_bullish,ma_exit_ema9,no_data,19,0.42105263157894735,0.548,10.412
cpr_narrow_bullish,ma_exit_ema9,normal_3_5,12,0.25,0.8481833333333332,10.178199999999999
cpr_narrow_bullish,mfe_lockin_trail,no_data,19,0.42105263157894735,-0.5728368421052632,-10.8839
cpr_narrow_bullish,mfe_lockin_trail,normal_3_5,12,0.25,-0.2802833333333334,-3.3634000000000004
cpr_narrow_bullish,multi_tier_partial,no_data,19,0.47368421052631576,-0.005978947368421013,-0.11359999999999926
cpr_narrow_bullish,multi_tier_partial,normal_3_5,12,0.5,0.09303333333333336,1.1164000000000003
cpr_narrow_bullish,next_pivot_target,no_data,19,0.7368421052631579,1.3043263157894736,24.7822
cpr_narrow_bullish,next_pivot_target,normal_3_5,12,0.75,0.6184916666666666,7.421899999999999
cpr_narrow_bullish,r_multiple_2r,no_data,19,0.3684210526315789,0.02542105263157902,0.48300000000000143
cpr_narrow_bullish,r_multiple_2r,normal_3_5,12,0.3333333333333333,0.323025,3.8763
cpr_narrow_bullish,r_multiple_3r,no_data,19,0.3684210526315789,1.177478947368421,22.3721
cpr_narrow_bullish,r_multiple_3r,normal_3_5,12,0.25,0.3937916666666667,4.7255
cpr_narrow_bullish,regime_flip,no_data,19,0.5263157894736842,-1.2451578947368422,-23.658
cpr_narrow_bullish,regime_flip,normal_3_5,12,0.5,1.6693083333333334,20.0317
cpr_narrow_bullish,reverse_signal,no_data,19,0.42105263157894735,-0.5070578947368422,-9.6341
cpr_narrow_bullish,reverse_signal,normal_3_5,12,0.25,-0.3194416666666667,-3.8333000000000004
cpr_narrow_bullish,smc_mitigation_zone,no_data,19,0.47368421052631576,-0.29534736842105264,-5.6116
cpr_narrow_bullish,smc_mitigation_zone,normal_3_5,12,0.3333333333333333,-0.048825000000000014,-0.5859000000000002
cpr_narrow_bullish,time_stop_10d,no_data,19,0.5789473684210527,0.2572315789473685,4.887400000000001
cpr_narrow_bullish,time_stop_10d,normal_3_5,12,0.25,-0.6308166666666667,-7.569800000000001
cpr_narrow_bullish,time_stop_20d,no_data,19,0.5263157894736842,-1.2451578947368422,-23.658
