date,level,event,dd_from_peak,rolling_peak_equity,current_equity,z_score,today_dispersion
2022-03-03,6.0,halt_triggered,-0.2038,100000.0,79618.0,,
2022-05-02,6.0,halt_resumed,-0.1808,100000.0,81922.5,,
2022-05-09,,dispersion_cb_triggered_dec128,,,,3.3651,0.031405
2022-05-20,6.0,halt_triggered,-0.2043,100000.0,79571.16,,
2022-07-20,6.0,halt_triggered,-0.2584,100000.0,74158.35,,
2022-08-29,6.0,halt_resumed,-0.2396,100000.0,76044.0,,
2022-08-30,6.0,halt_triggered,-0.238,100000.0,76204.31,,
2022-11-01,6.0,halt_triggered,-0.2517,100000.0,74829.45,,
2023-01-03,6.0,halt_triggered,-0.2749,100000.0,72505.86,,
2023-03-07,6.0,halt_triggered,-0.2884,100000.0,71155.44,,
2023-05-09,6.0,halt_triggered,-0.3179,100000.0,68213.95999999999,,
2023-07-10,6.0,halt_resumed,-0.2827,100000.0,71732.59,,
2023-07-11,6.0,halt_triggered,-0.2827,100000.0,71732.59,,
2023-08-09,6.0,halt_resumed,-0.2296,100000.0,77036.05,,
2023-08-10,6.0,halt_triggered,-0.2296,100000.0,77036.05,,
2023-08-15,6.0,halt_resumed,-0.2098,100000.0,79017.3,,
2023-08-16,6.0,halt_triggered,-0.2098,100000.0,79017.3,,
2023-10-19,6.0,halt_triggered,-0.2073,100000.0,79269.1,,
2023-10-25,6.0,halt_resumed,-0.1812,100000.0,81878.94,,
2023-10-27,6.0,halt_triggered,-0.2157,100000.0,78432.44,,
2023-12-27,6.0,halt_triggered,-0.2158,100000.0,78424.78,,
