strategy,exit_method,8K_filed_during_hold,n,win_rate,avg_pnl_pct,total_pnl_pct
avwap_252_breakout,atr_trail_1x,no,4,0.5,-0.04809999999999989,-0.19239999999999957
avwap_252_breakout,atr_trail_1x,yes,1,0.0,-0.4954,-0.4954
avwap_252_breakout,atr_trail_2x,no,4,0.25,-1.525925,-6.1037
avwap_252_breakout,atr_trail_2x,yes,1,0.0,-0.4597,-0.4597
avwap_252_breakout,atr_trail_mae_conditional,no,4,0.5,-0.04809999999999989,-0.19239999999999957
avwap_252_breakout,atr_trail_mae_conditional,yes,1,0.0,-0.4954,-0.4954
avwap_252_breakout,atr_trail_vix_conditional,no,4,0.5,0.16857499999999992,0.6742999999999997
avwap_252_breakout,atr_trail_vix_conditional,yes,1,1.0,1.2101,1.2101
avwap_252_breakout,break_even_at_1r,no,4,0.0,-1.6093499999999998,-6.437399999999999
avwap_252_breakout,break_even_at_1r,yes,1,0.0,0.0,0.0
avwap_252_breakout,breakeven_plus_trail,no,4,0.0,-1.551675,-6.2067
avwap_252_breakout,breakeven_plus_trail,yes,1,0.0,0.0,0.0
avwap_252_breakout,chandelier_3x,no,4,0.25,-1.5506000000000002,-6.202400000000001
avwap_252_breakout,chandelier_3x,yes,1,0.0,-0.0606,-0.0606
avwap_252_breakout,class_time_stop,no,4,1.0,2.633125,10.5325
avwap_252_breakout,class_time_stop,yes,1,1.0,11.7812,11.7812
avwap_252_breakout,earnings_blackout,no,4,0.25,-10.2391,-40.9564
avwap_252_breakout,earnings_blackout,yes,1,0.0,-13.1443,-13.1443
avwap_252_breakout,fixed_4r_2r,no,4,0.5,3.9425499999999998,15.770199999999999
avwap_252_breakout,fixed_4r_2r,yes,1,1.0,14.3447,14.3447
avwap_252_breakout,hybrid_50pct_target,no,4,1.0,6.376799999999999,25.507199999999997
avwap_252_breakout,hybrid_50pct_target,yes,1,1.0,10.376,10.376
avwap_252_breakout,ma_exit_ema9,no,4,0.25,-0.9284,-3.7136
avwap_252_breakout,ma_exit_ema9,yes,1,1.0,0.0277,0.0277
avwap_252_breakout,mfe_lockin_trail,no,4,0.5,0.3249750000000001,1.2999000000000005
avwap_252_breakout,mfe_lockin_trail,yes,1,0.0,-0.4954,-0.4954
avwap_252_breakout,multi_tier_partial,no,4,0.5,0.5214000000000001,2.0856000000000003
avwap_252_breakout,multi_tier_partial,yes,1,0.0,-0.4954,-0.4954
avwap_252_breakout,next_pivot_target,no,4,1.0,5.554449999999999,22.217799999999997
avwap_252_breakout,next_pivot_target,yes,1,1.0,1.754,1.754
avwap_252_breakout,r_multiple_2r,no,4,0.5,2.089925,8.3597
avwap_252_breakout,r_multiple_2r,yes,1,1.0,7.1723,7.1723
avwap_252_breakout,r_multiple_3r,no,4,0.25,0.23417500000000047,0.9367000000000019
avwap_252_breakout,r_multiple_3r,yes,1,1.0,10.7585,10.7585
avwap_252_breakout,regime_flip,no,4,0.0,-3.29525,-13.181
avwap_252_breakout,regime_flip,yes,1,1.0,2.3018,2.3018
avwap_252_breakout,reverse_signal,no,4,0.5,-0.04809999999999989,-0.19239999999999957
avwap_252_breakout,reverse_signal,yes,1,0.0,-0.4954,-0.4954
avwap_252_breakout,smc_mitigation_zone,no,4,0.5,-0.12422499999999988,-0.4968999999999995
avwap_252_breakout,smc_mitigation_zone,yes,1,0.0,-0.4954,-0.4954
avwap_252_breakout,time_stop_10d,no,4,0.75,1.50445,6.0178
avwap_252_breakout,time_stop_10d,yes,1,1.0,5.4091,5.4091
avwap_252_breakout,time_stop_20d,no,4,0.0,-3.29525,-13.181
avwap_252_breakout,time_stop_20d,yes,1,1.0,2.3018,2.3018
avwap_252_breakout,trailing_10pct,no,4,0.0,-3.6483,-14.5932
avwap_252_breakout,trailing_10pct,yes,1,1.0,9.9934,9.9934
avwap_252_breakout,trailing_15pct,no,4,0.75,4.714525,18.8581
avwap_252_breakout,trailing_15pct,yes,1,1.0,35.1621,35.1621
avwap_252_breakout,trailing_5pct,no,4,0.5,0.514825,2.0593
avwap_252_breakout,trailing_5pct,yes,1,1.0,1.5307,1.5307
avwap_50_reclaim,atr_trail_1x,no,4,0.5,-0.18290000000000006,-0.7316000000000003
avwap_50_reclaim,atr_trail_1x,yes,12,0.4166666666666667,-1.4013083333333334,-16.8157
avwap_50_reclaim,atr_trail_2x,no,4,0.25,-2.206025,-8.8241
avwap_50_reclaim,atr_trail_2x,yes,12,0.3333333333333333,-2.3181749999999997,-27.818099999999998
avwap_50_reclaim,atr_trail_mae_conditional,no,4,0.5,-0.18290000000000006,-0.7316000000000003
avwap_50_reclaim,atr_trail_mae_conditional,yes,12,0.4166666666666667,-1.4013083333333334,-16.8157
avwap_50_reclaim,atr_trail_vix_conditional,no,4,0.0,-1.775625,-7.1025
avwap_50_reclaim,atr_trail_vix_conditional,yes,12,0.3333333333333333,-1.9229999999999998,-23.075999999999997
avwap_50_reclaim,break_even_at_1r,no,4,0.25,1.302125,5.2085
avwap_50_reclaim,break_even_at_1r,yes,12,0.08333333333333333,-1.976075,-23.7129
avwap_50_reclaim,breakeven_plus_trail,no,4,0.25,-0.6120249999999998,-2.4480999999999993
avwap_50_reclaim,breakeven_plus_trail,yes,12,0.25,-2.018708333333333,-24.2245
avwap_50_reclaim,chandelier_3x,no,4,0.25,-0.8675750000000004,-3.4703000000000017
avwap_50_reclaim,chandelier_3x,yes,12,0.3333333333333333,-2.9803416666666664,-35.7641
avwap_50_reclaim,class_time_stop,no,4,0.5,1.975325,7.9013
avwap_50_reclaim,class_time_stop,yes,12,0.6666666666666666,0.836725,10.040700000000001
avwap_50_reclaim,earnings_blackout,no,4,0.25,-15.519675000000001,-62.078700000000005
avwap_50_reclaim,earnings_blackout,yes,12,0.25,-25.426875,-305.1225
avwap_50_reclaim,fixed_4r_2r,no,4,0.25,-3.0562750000000003,-12.225100000000001
avwap_50_reclaim,fixed_4r_2r,yes,12,0.3333333333333333,-1.640725,-19.6887
avwap_50_reclaim,hybrid_50pct_target,no,4,1.0,8.749525,34.9981
avwap_50_reclaim,hybrid_50pct_target,yes,12,0.9166666666666666,6.101116666666667,73.21340000000001
avwap_50_reclaim,ma_exit_ema9,no,4,0.75,-0.40992499999999993,-1.6396999999999997
avwap_50_reclaim,ma_exit_ema9,yes,12,0.3333333333333333,-1.1436833333333334,-13.7242
avwap_50_reclaim,mfe_lockin_trail,no,4,0.5,-0.18290000000000006,-0.7316000000000003
avwap_50_reclaim,mfe_lockin_trail,yes,12,0.4166666666666667,-1.4013083333333334,-16.8157
avwap_50_reclaim,multi_tier_partial,no,4,0.75,0.8535750000000001,3.4143000000000003
avwap_50_reclaim,multi_tier_partial,yes,12,0.5,-0.9598583333333334,-11.5183
avwap_50_reclaim,next_pivot_target,no,4,0.75,1.071425,4.2857
avwap_50_reclaim,next_pivot_target,yes,12,0.6666666666666666,-0.7509666666666667,-9.0116
avwap_50_reclaim,r_multiple_2r,no,4,0.25,-1.6772749999999998,-6.709099999999999
avwap_50_reclaim,r_multiple_2r,yes,12,0.3333333333333333,-1.1453416666666667,-13.7441
avwap_50_reclaim,r_multiple_3r,no,4,0.25,-1.0868499999999999,-4.3473999999999995
avwap_50_reclaim,r_multiple_3r,yes,12,0.3333333333333333,-0.2534833333333332,-3.0417999999999985
avwap_50_reclaim,regime_flip,no,4,0.5,-1.1667999999999996,-4.6671999999999985
avwap_50_reclaim,regime_flip,yes,12,0.5,-2.5924416666666668,-31.1093
avwap_50_reclaim,reverse_signal,no,4,0.5,-0.18290000000000006,-0.7316000000000003
avwap_50_reclaim,reverse_signal,yes,12,0.4166666666666667,-1.4013083333333334,-16.8157
avwap_50_reclaim,smc_mitigation_zone,no,4,0.5,-0.5989,-2.3956
avwap_50_reclaim,smc_mitigation_zone,yes,12,0.5,-1.205425,-14.4651
avwap_50_reclaim,time_stop_10d,no,4,0.75,1.0413000000000001,4.1652000000000005
avwap_50_reclaim,time_stop_10d,yes,12,0.5,-1.9268666666666665,-23.1224
avwap_50_reclaim,time_stop_20d,no,4,0.5,-1.1667999999999996,-4.6671999999999985
