strategy,exit_method,regime_at_entry,n,win_rate,avg_pnl_pct,total_pnl_pct
avwap_252_breakout,atr_trail_1x,neutral,5,0.4,-0.1375599999999999,-0.6877999999999995
avwap_252_breakout,atr_trail_2x,neutral,5,0.2,-1.3126799999999998,-6.5634
avwap_252_breakout,atr_trail_mae_conditional,neutral,5,0.4,-0.1375599999999999,-0.6877999999999995
avwap_252_breakout,atr_trail_vix_conditional,neutral,5,0.6,0.37687999999999994,1.8843999999999996
avwap_252_breakout,break_even_at_1r,neutral,5,0.0,-1.28748,-6.437399999999999
avwap_252_breakout,breakeven_plus_trail,neutral,5,0.0,-1.2413399999999999,-6.2067
avwap_252_breakout,chandelier_3x,neutral,5,0.2,-1.2526000000000002,-6.263000000000001
avwap_252_breakout,class_time_stop,neutral,5,1.0,4.46274,22.3137
avwap_252_breakout,earnings_blackout,neutral,5,0.2,-10.820139999999999,-54.100699999999996
avwap_252_breakout,fixed_4r_2r,neutral,5,0.6,6.02298,30.1149
avwap_252_breakout,hybrid_50pct_target,neutral,5,1.0,7.176640000000001,35.8832
avwap_252_breakout,ma_exit_ema9,neutral,5,0.4,-0.7371800000000001,-3.6859
avwap_252_breakout,mfe_lockin_trail,neutral,5,0.4,0.16090000000000013,0.8045000000000007
avwap_252_breakout,multi_tier_partial,neutral,5,0.4,0.31804000000000004,1.5902000000000003
avwap_252_breakout,next_pivot_target,neutral,5,1.0,4.794359999999999,23.971799999999998
avwap_252_breakout,r_multiple_2r,neutral,5,0.6,3.1064,15.532
avwap_252_breakout,r_multiple_3r,neutral,5,0.4,2.3390400000000002,11.695200000000002
avwap_252_breakout,regime_flip,neutral,5,0.2,-2.17584,-10.879199999999999
avwap_252_breakout,reverse_signal,neutral,5,0.4,-0.1375599999999999,-0.6877999999999995
avwap_252_breakout,smc_mitigation_zone,neutral,5,0.4,-0.19845999999999991,-0.9922999999999995
avwap_252_breakout,time_stop_10d,neutral,5,0.8,2.28538,11.4269
avwap_252_breakout,time_stop_20d,neutral,5,0.2,-2.17584,-10.879199999999999
avwap_252_breakout,trailing_10pct,neutral,5,0.2,-0.91996,-4.5998
avwap_252_breakout,trailing_15pct,neutral,5,0.8,10.80404,54.0202
avwap_252_breakout,trailing_5pct,neutral,5,0.6,0.718,3.59
avwap_50_reclaim,atr_trail_1x,neutral,16,0.4375,-1.09670625,-17.5473
avwap_50_reclaim,atr_trail_2x,neutral,16,0.3125,-2.2901374999999997,-36.642199999999995
avwap_50_reclaim,atr_trail_mae_conditional,neutral,16,0.4375,-1.09670625,-17.5473
avwap_50_reclaim,atr_trail_vix_conditional,neutral,16,0.25,-1.88615625,-30.1785
avwap_50_reclaim,break_even_at_1r,neutral,16,0.125,-1.156525,-18.5044
avwap_50_reclaim,breakeven_plus_trail,neutral,16,0.25,-1.6670374999999997,-26.672599999999996
avwap_50_reclaim,chandelier_3x,neutral,16,0.3125,-2.45215,-39.2344
avwap_50_reclaim,class_time_stop,neutral,16,0.625,1.121375,17.942
avwap_50_reclaim,earnings_blackout,neutral,16,0.25,-22.950075000000002,-367.20120000000003
avwap_50_reclaim,fixed_4r_2r,neutral,16,0.3125,-1.9946125000000001,-31.913800000000002
avwap_50_reclaim,hybrid_50pct_target,neutral,16,0.9375,6.76321875,108.2115
avwap_50_reclaim,ma_exit_ema9,neutral,16,0.4375,-0.96024375,-15.3639
avwap_50_reclaim,mfe_lockin_trail,neutral,16,0.4375,-1.09670625,-17.5473
avwap_50_reclaim,multi_tier_partial,neutral,16,0.5625,-0.5065,-8.104
avwap_50_reclaim,next_pivot_target,neutral,16,0.6875,-0.29536874999999996,-4.725899999999999
avwap_50_reclaim,r_multiple_2r,neutral,16,0.3125,-1.278325,-20.4532
avwap_50_reclaim,r_multiple_3r,neutral,16,0.3125,-0.4618249999999997,-7.389199999999995
avwap_50_reclaim,regime_flip,neutral,16,0.5,-2.23603125,-35.7765
