date,level,event,dd_from_peak,rolling_peak_equity,current_equity,z_score,today_dispersion
2022-02-24,6.0,halt_triggered,-0.2015,100000.0,79849.17,,
2022-04-26,6.0,halt_triggered,-0.2029,100000.0,79714.73999999999,,
2022-06-28,6.0,halt_triggered,-0.2407,100000.0,75928.73,,
2022-08-30,6.0,halt_triggered,-0.2817,100000.0,71831.47,,
2022-11-01,6.0,halt_triggered,-0.3276,100000.0,67236.09,,
2023-01-03,6.0,halt_triggered,-0.3379,100000.0,66209.67,,
2023-01-04,6.0,halt_resumed,-0.3176,100000.0,68235.05,,
2023-01-05,6.0,halt_triggered,-0.3176,100000.0,68235.05,,
2023-03-07,6.0,halt_triggered,-0.3662,100000.0,63379.03,,
2023-05-09,6.0,halt_triggered,-0.3871,100000.0,61288.88,,
2023-07-11,6.0,halt_triggered,-0.3935,100000.0,60650.26,,
2023-08-14,6.0,halt_resumed,-0.3556,100000.0,64437.86,,
2023-08-15,6.0,halt_triggered,-0.3556,100000.0,64437.86,,
2023-09-12,6.0,halt_resumed,-0.3238,100000.0,67624.04,,
2023-09-12,,dispersion_cb_triggered_dec128,,,,3.0492,0.023246
2023-09-13,6.0,halt_triggered,-0.3176,100000.0,68235.48999999999,,
2023-11-14,6.0,halt_triggered,-0.3105,100000.0,68953.79,,
