strategy,exit_method,days_from_quarter_end_at_entry,n,win_rate,avg_pnl_pct,total_pnl_pct
avwap_252_breakout,atr_trail_1x,37,1,0.0,-0.9999,-0.9999
avwap_252_breakout,atr_trail_1x,56,1,0.0,-2.3864,-2.3864
avwap_252_breakout,atr_trail_1x,66,1,0.0,-2.8596,-2.8596
avwap_252_breakout,atr_trail_1x,72,1,0.0,-1.3072,-1.3072
avwap_252_breakout,atr_trail_1x,82,1,1.0,4.1035,4.1035
avwap_252_breakout,atr_trail_2x,37,1,1.0,9.0156,9.0156
avwap_252_breakout,atr_trail_2x,56,1,0.0,-1.459,-1.459
avwap_252_breakout,atr_trail_2x,66,1,0.0,-6.0445,-6.0445
avwap_252_breakout,atr_trail_2x,72,1,0.0,-4.4993,-4.4993
avwap_252_breakout,atr_trail_2x,82,1,1.0,4.1035,4.1035
avwap_252_breakout,atr_trail_mae_conditional,37,1,0.0,-0.9999,-0.9999
avwap_252_breakout,atr_trail_mae_conditional,56,1,0.0,-2.3864,-2.3864
avwap_252_breakout,atr_trail_mae_conditional,66,1,0.0,-2.8596,-2.8596
avwap_252_breakout,atr_trail_mae_conditional,72,1,0.0,-1.3072,-1.3072
avwap_252_breakout,atr_trail_mae_conditional,82,1,1.0,4.1035,4.1035
avwap_252_breakout,atr_trail_vix_conditional,37,1,1.0,6.0256,6.0256
avwap_252_breakout,atr_trail_vix_conditional,56,1,1.0,0.2794,0.2794
avwap_252_breakout,atr_trail_vix_conditional,66,1,0.0,-4.4521,-4.4521
avwap_252_breakout,atr_trail_vix_conditional,72,1,0.0,-2.9033,-2.9033
avwap_252_breakout,atr_trail_vix_conditional,82,1,1.0,1.7938,1.7938
avwap_252_breakout,break_even_at_1r,37,1,1.0,7.2258,7.2258
avwap_252_breakout,break_even_at_1r,56,1,0.0,0.0,0.0
avwap_252_breakout,break_even_at_1r,66,1,0.0,-3.1932,-3.1932
avwap_252_breakout,break_even_at_1r,72,1,0.0,-3.1033,-3.1033
avwap_252_breakout,break_even_at_1r,82,1,1.0,1.2821,1.2821
avwap_252_breakout,breakeven_plus_trail,37,1,1.0,7.2258,7.2258
avwap_252_breakout,breakeven_plus_trail,56,1,0.0,0.0,0.0
avwap_252_breakout,breakeven_plus_trail,66,1,0.0,-6.3865,-6.3865
avwap_252_breakout,breakeven_plus_trail,72,1,0.0,-6.2067,-6.2067
avwap_252_breakout,breakeven_plus_trail,82,1,1.0,1.379,1.379
avwap_252_breakout,chandelier_3x,37,1,1.0,6.5555,6.5555
avwap_252_breakout,chandelier_3x,56,1,0.0,-2.6456,-2.6456
avwap_252_breakout,chandelier_3x,66,1,0.0,-5.5957,-5.5957
avwap_252_breakout,chandelier_3x,72,1,0.0,-4.8318,-4.8318
avwap_252_breakout,chandelier_3x,82,1,1.0,4.1035,4.1035
avwap_252_breakout,class_time_stop,37,1,1.0,0.1863,0.1863
avwap_252_breakout,class_time_stop,56,1,1.0,0.905,0.905
avwap_252_breakout,class_time_stop,66,1,0.0,-16.281,-16.281
avwap_252_breakout,class_time_stop,72,1,1.0,4.1191,4.1191
avwap_252_breakout,class_time_stop,82,1,1.0,4.3599,4.3599
avwap_252_breakout,earnings_blackout,37,1,1.0,22.116,22.116
avwap_252_breakout,earnings_blackout,56,1,1.0,0.8468,0.8468
avwap_252_breakout,earnings_blackout,66,1,0.0,-21.1019,-21.1019
avwap_252_breakout,earnings_blackout,72,1,1.0,4.4266,4.4266
avwap_252_breakout,earnings_blackout,82,1,0.0,-7.4383,-7.4383
avwap_252_breakout,fixed_4r_2r,37,1,1.0,11.2637,11.2637
avwap_252_breakout,fixed_4r_2r,56,1,0.0,-7.1186,-7.1186
avwap_252_breakout,fixed_4r_2r,66,1,0.0,-6.3865,-6.3865
avwap_252_breakout,fixed_4r_2r,72,1,0.0,-6.2067,-6.2067
avwap_252_breakout,fixed_4r_2r,82,1,1.0,7.0527,7.0527
avwap_252_breakout,hybrid_50pct_target,37,1,1.0,7.8368,7.8368
avwap_252_breakout,hybrid_50pct_target,56,1,1.0,7.8174,7.8174
avwap_252_breakout,hybrid_50pct_target,66,1,0.0,-21.1019,-21.1019
avwap_252_breakout,hybrid_50pct_target,72,1,1.0,7.6929,7.6929
avwap_252_breakout,hybrid_50pct_target,82,1,1.0,3.2858,3.2858
avwap_252_breakout,ma_exit_ema9,37,1,1.0,10.1935,10.1935
avwap_252_breakout,ma_exit_ema9,56,1,0.0,-2.7887,-2.7887
avwap_252_breakout,ma_exit_ema9,66,1,0.0,-5.6219,-5.6219
avwap_252_breakout,ma_exit_ema9,72,1,0.0,-2.3173,-2.3173
avwap_252_breakout,ma_exit_ema9,82,1,1.0,3.163,3.163
avwap_252_breakout,mfe_lockin_trail,37,1,0.0,-0.9999,-0.9999
avwap_252_breakout,mfe_lockin_trail,56,1,0.0,-2.3864,-2.3864
avwap_252_breakout,mfe_lockin_trail,66,1,0.0,-2.8596,-2.8596
