exit_method,regime_at_entry,sector,cap_band,vol_band,hold_duration_band,n,win_rate,avg_pnl_pct,total_pnl_pct,sharpe_proxy
atr_trail_1x,bear,Health Care,unknown,high_25_40,long_ge_11d,6,0.0,-1.8705833333333333,-11.2235,-5.279378748117966
atr_trail_1x,bull,Information Technology,unknown,mid_15_25,long_ge_11d,7,0.2857142857142857,-0.5325857142857143,-3.7281000000000004,-0.5564891188823781
atr_trail_1x,neutral,Information Technology,unknown,mid_15_25,long_ge_11d,6,0.0,-1.7148,-10.2888,-6.64288140952399
atr_trail_2x,bear,Health Care,unknown,high_25_40,long_ge_11d,6,0.3333333333333333,-0.23886666666666656,-1.4331999999999994,-0.10502831407659152
atr_trail_2x,bull,Information Technology,unknown,mid_15_25,long_ge_11d,7,0.7142857142857143,2.917814285714286,20.4247,1.8380766903361998
atr_trail_2x,neutral,Information Technology,unknown,mid_15_25,long_ge_11d,6,0.0,-3.7824833333333334,-22.6949,-7.541766186394327
atr_trail_mae_conditional,bear,Health Care,unknown,high_25_40,long_ge_11d,6,0.0,-1.8705833333333333,-11.2235,-5.279378748117966
atr_trail_mae_conditional,bull,Information Technology,unknown,mid_15_25,long_ge_11d,7,0.2857142857142857,-0.5325857142857143,-3.7281000000000004,-0.5564891188823781
atr_trail_mae_conditional,neutral,Information Technology,unknown,mid_15_25,long_ge_11d,6,0.0,-1.7148,-10.2888,-6.64288140952399
atr_trail_vix_conditional,bear,Health Care,unknown,high_25_40,long_ge_11d,6,0.0,-2.48535,-14.9121,-5.106573374162405
atr_trail_vix_conditional,bull,Information Technology,unknown,mid_15_25,long_ge_11d,7,0.14285714285714285,-1.335842857142857,-9.3509,-3.2142555726039275
atr_trail_vix_conditional,neutral,Information Technology,unknown,mid_15_25,long_ge_11d,6,0.16666666666666666,-1.9133666666666667,-11.4802,-4.046919316454958
break_even_at_1r,bear,Health Care,unknown,high_25_40,long_ge_11d,6,0.0,-2.1419333333333332,-12.8516,-4.71675369106916
break_even_at_1r,bull,Information Technology,unknown,mid_15_25,long_ge_11d,7,0.2857142857142857,-0.7393714285714286,-5.1756,-1.0270567859784245
break_even_at_1r,neutral,Information Technology,unknown,mid_15_25,long_ge_11d,6,0.0,-1.6168500000000001,-9.7011,-2.1002778314563266
breakeven_plus_trail,bear,Health Care,unknown,high_25_40,long_ge_11d,6,0.3333333333333333,-1.75715,-10.5429,-1.1480778181367737
breakeven_plus_trail,bull,Information Technology,unknown,mid_15_25,long_ge_11d,7,0.7142857142857143,12.2448,85.7136,1.7088951874151534
breakeven_plus_trail,neutral,Information Technology,unknown,mid_15_25,long_ge_11d,6,0.0,-3.1640333333333337,-18.9842,-2.0437460068652293
chandelier_3x,bear,Health Care,unknown,high_25_40,long_ge_11d,6,0.3333333333333333,-0.7842500000000001,-4.705500000000001,-0.35693881447509396
chandelier_3x,bull,Information Technology,unknown,mid_15_25,long_ge_11d,7,0.42857142857142855,9.677842857142858,67.7449,1.2683206259401703
chandelier_3x,neutral,Information Technology,unknown,mid_15_25,long_ge_11d,6,0.0,-1.9775166666666666,-11.8651,-2.9299343103322224
class_time_stop,bear,Health Care,unknown,high_25_40,long_ge_11d,6,0.5,1.0814000000000004,6.488400000000002,0.32401364771562646
class_time_stop,bull,Information Technology,unknown,mid_15_25,long_ge_11d,7,0.7142857142857143,3.5001285714285713,24.500899999999998,0.3835076277090283
class_time_stop,neutral,Information Technology,unknown,mid_15_25,long_ge_11d,6,0.3333333333333333,-3.82795,-22.9677,-1.9214275570183559
earnings_blackout,bear,Health Care,unknown,high_25_40,long_ge_11d,6,1.0,18.57983333333333,111.47899999999998,1.5309294254508103
earnings_blackout,bull,Information Technology,unknown,mid_15_25,long_ge_11d,7,0.7142857142857143,19.380085714285713,135.6606,1.0630685016773422
earnings_blackout,neutral,Information Technology,unknown,mid_15_25,long_ge_11d,6,1.0,15.128183333333332,90.7691,4.429244645187347
fixed_4r_2r,bear,Health Care,unknown,high_25_40,long_ge_11d,6,0.3333333333333333,-0.35348333333333315,-2.120899999999999,-0.11289530702451805
fixed_4r_2r,bull,Information Technology,unknown,mid_15_25,long_ge_11d,7,0.7142857142857143,9.3856,65.6992,1.9178388611083137
fixed_4r_2r,neutral,Information Technology,unknown,mid_15_25,long_ge_11d,6,0.0,-6.692216666666667,-40.1533,-8.633945089494071
hybrid_50pct_target,bear,Health Care,unknown,high_25_40,long_ge_11d,6,0.6666666666666666,-0.06545000000000008,-0.3927000000000005,-0.020768416054319498
hybrid_50pct_target,bull,Information Technology,unknown,mid_15_25,long_ge_11d,7,0.7142857142857143,-2.5611714285714293,-17.928200000000004,-0.20062535991902564
hybrid_50pct_target,neutral,Information Technology,unknown,mid_15_25,long_ge_11d,6,0.16666666666666666,-7.030433333333334,-42.1826,-2.367494696195853
ma_exit_ema9,bear,Health Care,unknown,high_25_40,long_ge_11d,6,0.16666666666666666,-1.4643833333333334,-8.7863,-3.3042076361682398
ma_exit_ema9,bull,Information Technology,unknown,mid_15_25,long_ge_11d,7,0.2857142857142857,-0.9795428571428572,-6.8568,-0.9864111864909503
ma_exit_ema9,neutral,Information Technology,unknown,mid_15_25,long_ge_11d,6,0.5,-0.37186666666666673,-2.2312000000000003,-0.44716718284491824
mfe_lockin_trail,bear,Health Care,unknown,high_25_40,long_ge_11d,6,0.0,-1.8705833333333333,-11.2235,-5.279378748117966
mfe_lockin_trail,bull,Information Technology,unknown,mid_15_25,long_ge_11d,7,0.2857142857142857,-0.5232142857142857,-3.6625000000000005,-0.5421959510901381
mfe_lockin_trail,neutral,Information Technology,unknown,mid_15_25,long_ge_11d,6,0.0,-1.7148,-10.2888,-6.64288140952399
multi_tier_partial,bear,Health Care,unknown,high_25_40,long_ge_11d,6,0.16666666666666666,-1.6757,-10.0542,-3.1183714477842472
multi_tier_partial,bull,Information Technology,unknown,mid_15_25,long_ge_11d,7,0.5714285714285714,-0.07551428571428558,-0.5285999999999991,-0.07671599170077138
multi_tier_partial,neutral,Information Technology,unknown,mid_15_25,long_ge_11d,6,0.0,-1.7148,-10.2888,-6.64288140952399
next_pivot_target,bear,Health Care,unknown,high_25_40,long_ge_11d,6,1.0,2.188216666666667,13.1293,1.6744244908140744
next_pivot_target,bull,Information Technology,unknown,mid_15_25,long_ge_11d,7,0.8571428571428571,3.2811,22.9677,1.533155017428961
next_pivot_target,neutral,Information Technology,unknown,mid_15_25,long_ge_11d,6,0.16666666666666666,-6.8495833333333325,-41.0975,-3.8043740497202267
r_multiple_2r,bear,Health Care,unknown,high_25_40,long_ge_11d,6,0.16666666666666666,-1.2366666666666666,-7.42,-0.9214156481780337
r_multiple_2r,bull,Information Technology,unknown,mid_15_25,long_ge_11d,7,0.42857142857142855,1.5200142857142858,10.6401,0.7019461183275513
r_multiple_2r,neutral,Information Technology,unknown,mid_15_25,long_ge_11d,6,0.0,-3.3544,-20.1264,-8.548580502975407
r_multiple_3r,bear,Health Care,unknown,high_25_40,long_ge_11d,6,0.16666666666666666,-0.7840333333333334,-4.7042,-0.4373648336120081
r_multiple_3r,bull,Information Technology,unknown,mid_15_25,long_ge_11d,7,0.2857142857142857,0.9714285714285715,6.800000000000001,0.4182136046096867
r_multiple_3r,neutral,Information Technology,unknown,mid_15_25,long_ge_11d,6,0.0,-3.3544,-20.1264,-8.548580502975407
regime_flip,bear,Health Care,unknown,high_25_40,long_ge_11d,6,0.6666666666666666,2.6838333333333337,16.103,1.414083175875063
regime_flip,bull,Information Technology,unknown,mid_15_25,long_ge_11d,7,0.7142857142857143,4.899714285714286,34.298,0.7113904556022733
regime_flip,neutral,Information Technology,unknown,mid_15_25,long_ge_11d,6,0.3333333333333333,-1.6089333333333335,-9.6536,-0.9285318789253133
