strategy,exit_method,regime_at_entry,n,win_rate,avg_pnl_pct,total_pnl_pct
avwap_252_breakout,atr_trail_1x,bear,2,0.0,-1.9297499999999999,-3.8594999999999997
avwap_252_breakout,atr_trail_1x,bull,1,1.0,4.1035,4.1035
avwap_252_breakout,atr_trail_1x,neutral,2,0.0,-1.8468,-3.6936
avwap_252_breakout,atr_trail_2x,bear,2,0.5,1.4855499999999995,2.971099999999999
avwap_252_breakout,atr_trail_2x,bull,1,1.0,4.1035,4.1035
avwap_252_breakout,atr_trail_2x,neutral,2,0.0,-2.9791499999999997,-5.9582999999999995
avwap_252_breakout,atr_trail_mae_conditional,bear,2,0.0,-1.9297499999999999,-3.8594999999999997
avwap_252_breakout,atr_trail_mae_conditional,bull,1,1.0,4.1035,4.1035
avwap_252_breakout,atr_trail_mae_conditional,neutral,2,0.0,-1.8468,-3.6936
avwap_252_breakout,atr_trail_vix_conditional,bear,2,0.5,0.7867500000000001,1.5735000000000001
avwap_252_breakout,atr_trail_vix_conditional,bull,1,1.0,1.7938,1.7938
avwap_252_breakout,atr_trail_vix_conditional,neutral,2,0.5,-1.3119500000000002,-2.6239000000000003
avwap_252_breakout,break_even_at_1r,bear,2,0.5,2.0162999999999998,4.0325999999999995
avwap_252_breakout,break_even_at_1r,bull,1,1.0,1.2821,1.2821
avwap_252_breakout,break_even_at_1r,neutral,2,0.0,-1.55165,-3.1033
avwap_252_breakout,breakeven_plus_trail,bear,2,0.5,0.41964999999999986,0.8392999999999997
avwap_252_breakout,breakeven_plus_trail,bull,1,1.0,1.379,1.379
avwap_252_breakout,breakeven_plus_trail,neutral,2,0.0,-3.10335,-6.2067
avwap_252_breakout,chandelier_3x,bear,2,0.5,0.4799000000000002,0.9598000000000004
avwap_252_breakout,chandelier_3x,bull,1,1.0,4.1035,4.1035
avwap_252_breakout,chandelier_3x,neutral,2,0.0,-3.7387,-7.4774
avwap_252_breakout,class_time_stop,bear,2,0.5,-8.04735,-16.0947
avwap_252_breakout,class_time_stop,bull,1,1.0,4.3599,4.3599
avwap_252_breakout,class_time_stop,neutral,2,1.0,2.5120500000000003,5.024100000000001
avwap_252_breakout,earnings_blackout,bear,2,0.5,0.5070499999999996,1.0140999999999991
avwap_252_breakout,earnings_blackout,bull,1,0.0,-7.4383,-7.4383
avwap_252_breakout,earnings_blackout,neutral,2,1.0,2.6367,5.2734
avwap_252_breakout,fixed_4r_2r,bear,2,0.5,2.4386,4.8772
avwap_252_breakout,fixed_4r_2r,bull,1,1.0,7.0527,7.0527
avwap_252_breakout,fixed_4r_2r,neutral,2,0.0,-6.662649999999999,-13.325299999999999
avwap_252_breakout,hybrid_50pct_target,bear,2,0.5,-6.63255,-13.2651
avwap_252_breakout,hybrid_50pct_target,bull,1,1.0,3.2858,3.2858
avwap_252_breakout,hybrid_50pct_target,neutral,2,1.0,7.75515,15.5103
avwap_252_breakout,ma_exit_ema9,bear,2,0.5,2.2858,4.5716
avwap_252_breakout,ma_exit_ema9,bull,1,1.0,3.163,3.163
avwap_252_breakout,ma_exit_ema9,neutral,2,0.0,-2.553,-5.106
avwap_252_breakout,mfe_lockin_trail,bear,2,0.0,-1.9297499999999999,-3.8594999999999997
avwap_252_breakout,mfe_lockin_trail,bull,1,1.0,4.1035,4.1035
avwap_252_breakout,mfe_lockin_trail,neutral,2,0.0,-1.8468,-3.6936
avwap_252_breakout,multi_tier_partial,bear,2,0.0,-1.9297499999999999,-3.8594999999999997
avwap_252_breakout,multi_tier_partial,bull,1,1.0,3.131,3.131
avwap_252_breakout,multi_tier_partial,neutral,2,0.0,-1.8468,-3.6936
avwap_252_breakout,next_pivot_target,bear,2,0.5,1.0306500000000005,2.061300000000001
avwap_252_breakout,next_pivot_target,bull,1,1.0,5.2896,5.2896
avwap_252_breakout,next_pivot_target,neutral,2,0.5,-3.4505,-6.901
avwap_252_breakout,r_multiple_2r,bear,2,0.5,1.21935,2.4387
avwap_252_breakout,r_multiple_2r,bull,1,1.0,4.1035,4.1035
avwap_252_breakout,r_multiple_2r,neutral,2,0.0,-3.3312999999999997,-6.662599999999999
avwap_252_breakout,r_multiple_3r,bear,2,0.5,2.6273000000000004,5.254600000000001
avwap_252_breakout,r_multiple_3r,bull,1,1.0,5.2896,5.2896
avwap_252_breakout,r_multiple_3r,neutral,2,0.0,-3.3312999999999997,-6.662599999999999
avwap_252_breakout,regime_flip,bear,2,0.5,-4.599500000000001,-9.199000000000002
avwap_252_breakout,regime_flip,bull,1,1.0,7.2953,7.2953
avwap_252_breakout,regime_flip,neutral,2,0.5,-2.4405,-4.881
avwap_252_breakout,reverse_signal,bear,2,0.0,-1.9297499999999999,-3.8594999999999997
avwap_252_breakout,reverse_signal,bull,1,1.0,4.1035,4.1035
avwap_252_breakout,reverse_signal,neutral,2,0.0,-1.8468,-3.6936
avwap_252_breakout,smc_mitigation_zone,bear,2,0.5,-0.33730000000000004,-0.6746000000000001
avwap_252_breakout,smc_mitigation_zone,bull,1,1.0,4.1035,4.1035
avwap_252_breakout,smc_mitigation_zone,neutral,2,0.5,-0.5094,-1.0188
