strategy,exit_method,sector_momentum_vs_spy_at_entry,n,win_rate,avg_pnl_pct,total_pnl_pct
avwap_252_breakout,atr_trail_1x,spy_mild_down_neg5_0,3,0.0,-1.5645,-4.6935
avwap_252_breakout,atr_trail_1x,spy_mild_up_0_5pct,1,1.0,4.1035,4.1035
avwap_252_breakout,atr_trail_1x,spy_strong_down_lt_neg5,1,0.0,-2.8596,-2.8596
avwap_252_breakout,atr_trail_2x,spy_mild_down_neg5_0,3,0.3333333333333333,1.0190999999999997,3.0572999999999992
avwap_252_breakout,atr_trail_2x,spy_mild_up_0_5pct,1,1.0,4.1035,4.1035
avwap_252_breakout,atr_trail_2x,spy_strong_down_lt_neg5,1,0.0,-6.0445,-6.0445
avwap_252_breakout,atr_trail_mae_conditional,spy_mild_down_neg5_0,3,0.0,-1.5645,-4.6935
avwap_252_breakout,atr_trail_mae_conditional,spy_mild_up_0_5pct,1,1.0,4.1035,4.1035
avwap_252_breakout,atr_trail_mae_conditional,spy_strong_down_lt_neg5,1,0.0,-2.8596,-2.8596
avwap_252_breakout,atr_trail_vix_conditional,spy_mild_down_neg5_0,3,0.6666666666666666,1.1339,3.4016999999999995
avwap_252_breakout,atr_trail_vix_conditional,spy_mild_up_0_5pct,1,1.0,1.7938,1.7938
avwap_252_breakout,atr_trail_vix_conditional,spy_strong_down_lt_neg5,1,0.0,-4.4521,-4.4521
avwap_252_breakout,break_even_at_1r,spy_mild_down_neg5_0,3,0.3333333333333333,1.3741666666666665,4.1225
avwap_252_breakout,break_even_at_1r,spy_mild_up_0_5pct,1,1.0,1.2821,1.2821
avwap_252_breakout,break_even_at_1r,spy_strong_down_lt_neg5,1,0.0,-3.1932,-3.1932
avwap_252_breakout,breakeven_plus_trail,spy_mild_down_neg5_0,3,0.3333333333333333,0.33969999999999995,1.0191
avwap_252_breakout,breakeven_plus_trail,spy_mild_up_0_5pct,1,1.0,1.379,1.379
avwap_252_breakout,breakeven_plus_trail,spy_strong_down_lt_neg5,1,0.0,-6.3865,-6.3865
avwap_252_breakout,chandelier_3x,spy_mild_down_neg5_0,3,0.3333333333333333,-0.30729999999999996,-0.9218999999999999
avwap_252_breakout,chandelier_3x,spy_mild_up_0_5pct,1,1.0,4.1035,4.1035
avwap_252_breakout,chandelier_3x,spy_strong_down_lt_neg5,1,0.0,-5.5957,-5.5957
avwap_252_breakout,class_time_stop,spy_mild_down_neg5_0,3,1.0,1.7368000000000003,5.210400000000001
avwap_252_breakout,class_time_stop,spy_mild_up_0_5pct,1,1.0,4.3599,4.3599
avwap_252_breakout,class_time_stop,spy_strong_down_lt_neg5,1,0.0,-16.281,-16.281
avwap_252_breakout,earnings_blackout,spy_mild_down_neg5_0,3,1.0,9.129800000000001,27.389400000000002
avwap_252_breakout,earnings_blackout,spy_mild_up_0_5pct,1,0.0,-7.4383,-7.4383
avwap_252_breakout,earnings_blackout,spy_strong_down_lt_neg5,1,0.0,-21.1019,-21.1019
avwap_252_breakout,fixed_4r_2r,spy_mild_down_neg5_0,3,0.3333333333333333,-0.6871999999999998,-2.0615999999999994
avwap_252_breakout,fixed_4r_2r,spy_mild_up_0_5pct,1,1.0,7.0527,7.0527
avwap_252_breakout,fixed_4r_2r,spy_strong_down_lt_neg5,1,0.0,-6.3865,-6.3865
avwap_252_breakout,hybrid_50pct_target,spy_mild_down_neg5_0,3,1.0,7.782366666666667,23.3471
avwap_252_breakout,hybrid_50pct_target,spy_mild_up_0_5pct,1,1.0,3.2858,3.2858
avwap_252_breakout,hybrid_50pct_target,spy_strong_down_lt_neg5,1,0.0,-21.1019,-21.1019
avwap_252_breakout,ma_exit_ema9,spy_mild_down_neg5_0,3,0.3333333333333333,1.6958333333333335,5.0875
avwap_252_breakout,ma_exit_ema9,spy_mild_up_0_5pct,1,1.0,3.163,3.163
avwap_252_breakout,ma_exit_ema9,spy_strong_down_lt_neg5,1,0.0,-5.6219,-5.6219
avwap_252_breakout,mfe_lockin_trail,spy_mild_down_neg5_0,3,0.0,-1.5645,-4.6935
avwap_252_breakout,mfe_lockin_trail,spy_mild_up_0_5pct,1,1.0,4.1035,4.1035
avwap_252_breakout,mfe_lockin_trail,spy_strong_down_lt_neg5,1,0.0,-2.8596,-2.8596
avwap_252_breakout,multi_tier_partial,spy_mild_down_neg5_0,3,0.0,-1.5645,-4.6935
avwap_252_breakout,multi_tier_partial,spy_mild_up_0_5pct,1,1.0,3.131,3.131
avwap_252_breakout,multi_tier_partial,spy_strong_down_lt_neg5,1,0.0,-2.8596,-2.8596
avwap_252_breakout,next_pivot_target,spy_mild_down_neg5_0,3,0.6666666666666666,0.5156000000000001,1.5468000000000002
avwap_252_breakout,next_pivot_target,spy_mild_up_0_5pct,1,1.0,5.2896,5.2896
avwap_252_breakout,next_pivot_target,spy_strong_down_lt_neg5,1,0.0,-6.3865,-6.3865
avwap_252_breakout,r_multiple_2r,spy_mild_down_neg5_0,3,0.3333333333333333,-0.34356666666666663,-1.0307
avwap_252_breakout,r_multiple_2r,spy_mild_up_0_5pct,1,1.0,4.1035,4.1035
avwap_252_breakout,r_multiple_2r,spy_strong_down_lt_neg5,1,0.0,-3.1932,-3.1932
avwap_252_breakout,r_multiple_3r,spy_mild_down_neg5_0,3,0.3333333333333333,0.595066666666667,1.785200000000001
avwap_252_breakout,r_multiple_3r,spy_mild_up_0_5pct,1,1.0,5.2896,5.2896
avwap_252_breakout,r_multiple_3r,spy_strong_down_lt_neg5,1,0.0,-3.1932,-3.1932
avwap_252_breakout,regime_flip,spy_mild_down_neg5_0,3,0.6666666666666666,-0.11823333333333326,-0.3546999999999998
avwap_252_breakout,regime_flip,spy_mild_up_0_5pct,1,1.0,7.2953,7.2953
avwap_252_breakout,regime_flip,spy_strong_down_lt_neg5,1,0.0,-13.7253,-13.7253
avwap_252_breakout,reverse_signal,spy_mild_down_neg5_0,3,0.0,-1.5645,-4.6935
avwap_252_breakout,reverse_signal,spy_mild_up_0_5pct,1,1.0,4.1035,4.1035
avwap_252_breakout,reverse_signal,spy_strong_down_lt_neg5,1,0.0,-2.8596,-2.8596
avwap_252_breakout,smc_mitigation_zone,spy_mild_down_neg5_0,3,0.3333333333333333,-0.6728999999999999,-2.0187
avwap_252_breakout,smc_mitigation_zone,spy_mild_up_0_5pct,1,1.0,4.1035,4.1035
avwap_252_breakout,smc_mitigation_zone,spy_strong_down_lt_neg5,1,1.0,0.3253,0.3253
avwap_252_breakout,time_stop_10d,spy_mild_down_neg5_0,3,0.6666666666666666,3.578333333333333,10.735
avwap_252_breakout,time_stop_10d,spy_mild_up_0_5pct,1,1.0,3.163,3.163
avwap_252_breakout,time_stop_10d,spy_strong_down_lt_neg5,1,0.0,-2.3031,-2.3031
avwap_252_breakout,time_stop_20d,spy_mild_down_neg5_0,3,0.6666666666666666,-0.11823333333333326,-0.3546999999999998
avwap_252_breakout,time_stop_20d,spy_mild_up_0_5pct,1,1.0,7.2953,7.2953
avwap_252_breakout,time_stop_20d,spy_strong_down_lt_neg5,1,0.0,-13.7253,-13.7253
avwap_252_breakout,trailing_10pct,spy_mild_down_neg5_0,3,0.3333333333333333,-1.5523333333333336,-4.657000000000001
avwap_252_breakout,trailing_10pct,spy_mild_up_0_5pct,1,1.0,1.2821,1.2821
avwap_252_breakout,trailing_10pct,spy_strong_down_lt_neg5,1,0.0,-9.6421,-9.6421
avwap_252_breakout,trailing_15pct,spy_mild_down_neg5_0,3,0.6666666666666666,2.086133333333333,6.2584
avwap_252_breakout,trailing_15pct,spy_mild_up_0_5pct,1,0.0,-0.898,-0.898
avwap_252_breakout,trailing_15pct,spy_strong_down_lt_neg5,1,0.0,-14.6259,-14.6259
avwap_252_breakout,trailing_5pct,spy_mild_down_neg5_0,3,0.6666666666666666,1.2579666666666667,3.7739
avwap_252_breakout,trailing_5pct,spy_mild_up_0_5pct,1,1.0,4.1035,4.1035
avwap_252_breakout,trailing_5pct,spy_strong_down_lt_neg5,1,0.0,-4.6584,-4.6584
avwap_50_reclaim,atr_trail_1x,spy_mild_down_neg5_0,3,0.0,-1.3307666666666667,-3.9923
avwap_50_reclaim,atr_trail_1x,spy_mild_up_0_5pct,2,0.5,-0.9493,-1.8986
avwap_50_reclaim,atr_trail_2x,spy_mild_down_neg5_0,3,0.3333333333333333,-0.35169999999999996,-1.0551
avwap_50_reclaim,atr_trail_2x,spy_mild_up_0_5pct,2,0.5,-0.013800000000000257,-0.027600000000000513
avwap_50_reclaim,atr_trail_mae_conditional,spy_mild_down_neg5_0,3,0.0,-1.3307666666666667,-3.9923
avwap_50_reclaim,atr_trail_mae_conditional,spy_mild_up_0_5pct,2,0.5,-0.9493,-1.8986
avwap_50_reclaim,atr_trail_vix_conditional,spy_mild_down_neg5_0,3,0.0,-1.0967,-3.2901
