date,level,event,dd_from_peak,rolling_peak_equity,current_equity
2022-02-24,6,halt_triggered,-0.2015,100000.0,79849.17
2022-04-26,6,halt_triggered,-0.2029,100000.0,79714.73999999999
2022-06-28,6,halt_triggered,-0.2304,100000.0,76961.47
2022-08-30,6,halt_triggered,-0.2305,100000.0,76953.47
2022-11-01,6,halt_triggered,-0.2501,100000.0,74994.07
2023-01-03,6,halt_triggered,-0.2601,100000.0,73985.27
2023-01-04,6,halt_resumed,-0.2399,100000.0,76010.65
2023-01-05,6,halt_triggered,-0.2399,100000.0,76010.65
2023-03-07,6,halt_triggered,-0.25,100000.0,75001.85
2023-05-09,6,halt_triggered,-0.2746,100000.0,72535.15
2023-07-11,6,halt_triggered,-0.2808,100000.0,71924.47
2023-08-14,6,halt_resumed,-0.2308,100000.0,76924.53
2023-08-15,6,halt_triggered,-0.2308,100000.0,76924.53
2023-10-17,6,halt_triggered,-0.2348,100000.0,76515.13
2023-12-19,6,halt_triggered,-0.2716,100000.0,72842.02
